Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
29/06/07;32,1103;171038;5593;1,1775;49343,8399;41904;1344635
02/07/07;32,1103;171038;5593;1,1612;49343,8399;41904;1344635
03/07/07;32,1103;171038;5593;1,1686;49343,8399;41904;1344635
04/07/07;32,1103;171038;5593;1,1701;49343,8399;41904;1344635
05/07/07;32,1103;171038;5593;1,1616;49343,8399;41904;1344635
06/07/07;32,1103;171038;5593;1,1662;49343,8399;41904;1344635
09/07/07;32,1103;171038;5593;1,1604;49343,8399;41904;1344635
10/07/07;32,1103;171038;5593;1,146;49343,8399;41904;1344635
11/07/07;32,1103;171038;5593;1,1354;49343,8399;41904;1344635
12/07/07;32,1103;171038;5593;1,1479;49343,8399;41904;1344635
13/07/07;32,1103;171038;5593;1,1592;49343,8399;41904;1344635
16/07/07;32,1103;171038;5593;1,1721;49343,8399;41904;1344635
17/07/07;32,1103;171038;5593;1,1744;49343,8399;41904;1344635
18/07/07;32,1103;171038;5593;1,1561;49343,8399;41904;1344635
19/07/07;32,1103;171038;5593;1,1612;49343,8399;41904;1344635
20/07/07;32,1103;171038;5593;1,1487;49343,8399;41904;1344635
23/07/07;32,1103;171038;5593;1,1487;49343,8399;41904;1344635
24/07/07;32,1103;171038;5593;1,1241;49343,8399;41904;1344635
25/07/07;32,1103;171038;5593;1,1081;49343,8399;41904;1344635
26/07/07;32,1103;171038;5593;1,0796;49343,8399;41904;1344635
27/07/07;32,1103;171038;5593;1,0765;49343,8399;41904;1344635
30/07/07;32,1103;171038;5593;1,0711;49343,8399;41904;1344635
31/07/07;32,1103;171038;5593;1,1058;49343,8399;41904;1344635
01/08/07;32,1103;171038;5593;1,0808;49343,8399;41904;1344635
02/08/07;32,1103;171038;5593;1,0793;49343,8399;41904;1344635
03/08/07;32,1103;171038;5593;1,0621;49343,8399;41904;1344635
06/08/07;32,1103;171038;5593;1,0562;49343,8399;41904;1344635
07/08/07;32,1103;171038;5593;1,0972;49343,8399;41904;1344635
08/08/07;32,1103;171038;5593;1,1292;49343,8399;41904;1344635
09/08/07;32,1103;171038;5593;1,0828;49343,8399;41904;1344635
10/08/07;32,1103;171038;5593;1,052;49343,8399;41904;1344635
13/08/07;32,1103;171038;5593;1,0843;49343,8399;41904;1344635
14/08/07;32,1103;171038;5593;1,0543;49343,8399;41904;1344635
15/08/07;32,1103;171038;5593;1,0469;49343,8399;41904;1344635
16/08/07;32,1103;171038;5593;1,0258;49343,8399;41904;1344635
17/08/07;32,1103;171038;5593;1,064;49343,8399;41904;1344635
20/08/07;32,1103;171038;5593;1,0668;49343,8399;41904;1344635
21/08/07;32,1103;171038;5593;1,064;49343,8399;41904;1344635
22/08/07;32,1103;171038;5593;1,0804;49343,8399;41904;1344635
23/08/07;32,1103;171038;5593;1,0734;49343,8399;41904;1344635
24/08/07;32,1103;171038;5593;1,0722;49343,8399;41904;1344635
27/08/07;32,1103;171038;5593;1,0824;49343,8399;41904;1344635
28/08/07;32,1103;171038;5593;1,052;49343,8399;41904;1344635
29/08/07;32,1103;171038;5593;1,0488;49343,8399;41904;1344635
30/08/07;32,1103;171038;5593;1,073;49343,8399;41904;1344635
31/08/07;32,1103;171038;5593;1,0804;49343,8399;41904;1344635
03/09/07;32,1103;171038;5593;1,0711;49343,8399;41904;1344635
04/09/07;32,1103;171038;5593;1,0707;49343,8399;41904;1344635
05/09/07;32,1103;171038;5593;1,059;49343,8399;41904;1344635
06/09/07;32,1103;171038;5593;1,0633;49343,8399;41904;1344635
07/09/07;32,1103;171038;5593;1,0317;49343,8399;41904;1344635
10/09/07;32,1103;171038;5593;1,0192;49343,8399;41904;1344635
11/09/07;32,1103;171038;5593;1,0438;49343,8399;41904;1344635
12/09/07;32,1103;171038;5593;1,0504;49343,8399;41904;1344635
13/09/07;32,1103;171038;5593;1,057;49343,8399;41904;1344635
14/09/07;32,1103;171038;5593;1,0465;49343,8399;41904;1344635
17/09/07;32,1103;171038;5593;1,0317;49343,8399;41904;1344635
18/09/07;32,1103;171038;5593;1,0652;49343,8399;41904;1344635
19/09/07;32,1103;171038;5593;1,0882;49343,8399;41904;1344635
20/09/07;32,1103;171038;5593;1,0754;49343,8399;41904;1344635
21/09/07;32,1103;171038;5593;1,0742;49343,8399;41904;1344635
24/09/07;32,1103;171038;5593;1,0676;49343,8399;41904;1344635
25/09/07;32,1103;171038;5593;1,0508;49343,8399;41904;1344635
26/09/07;32,1103;171038;5593;1,0551;49343,8399;41904;1344635
27/09/07;32,1103;171038;5593;1,0629;49343,8399;41904;1344635
28/09/07;33,4984;549200;9100;1,068;44214,9024;41400;1351600
01/10/07;33,4984;549200;9100;1,0838;44214,9024;41400;1351600
02/10/07;33,4984;549200;9100;1,1031;44214,9024;41400;1351600
03/10/07;33,4984;549200;9100;1,1162;44214,9024;41400;1351600
04/10/07;33,4984;549200;9100;1,1233;44214,9024;41400;1351600
05/10/07;33,4984;549200;9100;1,1355;44214,9024;41400;1351600
08/10/07;33,4984;549200;9100;1,1221;44214,9024;41400;1351600
09/10/07;33,4984;549200;9100;1,1264;44214,9024;41400;1351600
10/10/07;33,4984;549200;9100;1,1027;44214,9024;41400;1351600
11/10/07;33,4984;549200;9100;1,0937;44214,9024;41400;1351600
12/10/07;33,4984;549200;9100;1,0921;44214,9024;41400;1351600
15/10/07;33,4984;549200;9100;1,0747;44214,9024;41400;1351600
16/10/07;33,4984;549200;9100;1,0739;44214,9024;41400;1351600
17/10/07;33,4984;549200;9100;1,0731;44214,9024;41400;1351600
18/10/07;33,4984;549200;9100;1,0621;44214,9024;41400;1351600
19/10/07;33,4984;549200;9100;1,0514;44214,9024;41400;1351600
22/10/07;33,4984;549200;9100;1,0435;44214,9024;41400;1351600
23/10/07;33,4984;549200;9100;1,0502;44214,9024;41400;1351600
24/10/07;33,4984;549200;9100;1,0435;44214,9024;41400;1351600
25/10/07;33,4984;549200;9100;1,049;44214,9024;41400;1351600
26/10/07;33,4984;549200;9100;1,0561;44214,9024;41400;1351600
29/10/07;33,4984;549200;9100;1,0629;44214,9024;41400;1351600
30/10/07;33,4984;549200;9100;1,0676;44214,9024;41400;1351600
31/10/07;33,4984;549200;9100;1,0775;44214,9024;41400;1351600
01/11/07;33,4984;549200;9100;1,0483;44214,9024;41400;1351600
02/11/07;33,4984;549200;9100;1,021;44214,9024;41400;1351600
05/11/07;33,4984;549200;9100;1,0131;44214,9024;41400;1351600
06/11/07;33,4984;549200;9100;1,0028;44214,9024;41400;1351600
07/11/07;33,4984;549200;9100;0,9882;44214,9024;41400;1351600
08/11/07;33,4984;549200;9100;0,9634;44214,9024;41400;1351600
09/11/07;33,4984;549200;9100;0,9247;44214,9024;41400;1351600
12/11/07;33,4984;549200;9100;0,9503;44214,9024;41400;1351600
13/11/07;33,4984;549200;9100;0,9645;44214,9024;41400;1351600
14/11/07;33,4984;549200;9100;0,9713;44214,9024;41400;1351600
15/11/07;33,4984;549200;9100;0,9393;44214,9024;41400;1351600
16/11/07;33,4984;549200;9100;0,9188;44214,9024;41400;1351600
19/11/07;33,4984;549200;9100;0,8773;44214,9024;41400;1351600
20/11/07;33,4984;549200;9100;0,8769;44214,9024;41400;1351600
21/11/07;33,4984;549200;9100;0,839;44214,9024;41400;1351600
22/11/07;33,4984;549200;9100;0,8291;44214,9024;41400;1351600
23/11/07;33,4984;549200;9100;0,8706;44214,9024;41400;1351600
26/11/07;33,4984;549200;9100;0,8595;44214,9024;41400;1351600
27/11/07;33,4984;549200;9100;0,8745;44214,9024;41400;1351600
28/11/07;33,4984;549200;9100;0,9093;44214,9024;41400;1351600
29/11/07;33,4984;549200;9100;0,9199;44214,9024;41400;1351600
30/11/07;33,4984;549200;9100;0,9484;44214,9024;41400;1351600
03/12/07;33,4984;549200;9100;0,9353;44214,9024;41400;1351600
04/12/07;33,4984;549200;9100;0,9097;44214,9024;41400;1351600
05/12/07;33,4984;549200;9100;0,9306;44214,9024;41400;1351600
06/12/07;33,4984;549200;9100;0,9448;44214,9024;41400;1351600
07/12/07;33,4984;549200;9100;0,9515;44214,9024;41400;1351600
10/12/07;33,4984;549200;9100;0,9665;44214,9024;41400;1351600
11/12/07;33,4984;549200;9100;0,9547;44214,9024;41400;1351600
12/12/07;33,4984;549200;9100;0,9618;44214,9024;41400;1351600
13/12/07;33,4984;549200;9100;0,9373;44214,9024;41400;1351600
14/12/07;33,4984;549200;9100;0,9381;44214,9024;41400;1351600
17/12/07;33,4984;549200;9100;0,9136;44214,9024;41400;1351600
18/12/07;33,4984;549200;9100;0,9144;44214,9024;41400;1351600
19/12/07;33,4984;549200;9100;0,9089;44214,9024;41400;1351600
20/12/07;33,4984;549200;9100;0,903;44214,9024;41400;1351600
21/12/07;33,4984;549200;9100;0,9109;44214,9024;41400;1351600
