Year,Quarter,MVA,DELTA_MVA
2007,3,1582963.8551398332,-0.0009351203300762506
2007,4,1479327.1301892588,-0.06547005139382633
2008,1,1352434.8907207847,-0.08577699744629176
2008,2,1210949.1155622199,-0.10461559083495656
2008,3,844314.303996458,-0.30276648857829225
2008,4,1118960.9200630786,0.3252895453347346
2009,1,690095.8134342964,-0.3832708532882507
2009,2,763251.5351879545,0.1060080648650729
2009,3,823377.5647788147,0.0787761659412238
2009,4,1300842.2171757608,0.5798854290196847
2010,1,1298920.475252045,-0.001477305931758543
2010,2,1173395.881685596,-0.09663762790565919
2010,3,791732.2951475731,-0.3252641265365266
2010,4,1056827.5658671423,0.33482942699736323
2011,1,839566.4687886401,-0.20557856749339834
2011,2,985002.0282307757,0.17322697469323164
2011,3,896715.3355103155,-0.08963097556158087
2011,4,478083.06385866407,-0.46685079988445854
2012,1,436391.7454047059,-0.08720517752179446
2012,2,470444.92910938413,0.07803351933959621
2012,3,351642.6074801791,-0.25253183588164907
2012,4,582820.8756135214,0.6574239390099308
2013,1,660999.5379289651,0.13413840441653163
2013,2,713170.3807056854,0.07892720007064041
2013,3,767895.2053951932,0.07673457306984253
2013,4,915391.4673993067,0.19207863386541835
2014,1,943192.5206541718,0.03037067117727229
2014,2,1032000.8442008714,0.09415715413551481
2014,3,903962.6403759157,-0.12406792547161331
2014,4,1005316.0388232459,0.11212122483865274
2015,1,922287.9505516731,-0.08258904171941774
2015,2,1149890.8595511254,0.2467807465806206
2015,3,1113566.4863414378,-0.031589409471319156
2015,4,828852.3066007439,-0.2556777554217772
2016,1,853428.4364525205,0.029650795028329336
2016,2,737295.5009812602,-0.13607811798959343
2016,3,628447.9424181913,-0.14763084600164328
