Date;PX_LAST
14/12/01;15,7941
17/12/01;16,1275
18/12/01;15,9473
19/12/01;15,8932
20/12/01;15,7941
21/12/01;16,1725
24/12/01;16,0374
27/12/01;15,9924
28/12/01;16,0284
02/01/02;15,9473
03/01/02;15,9743
04/01/02;15,9383
07/01/02;16,3798
08/01/02;16,6681
09/01/02;16,6681
10/01/02;16,3978
11/01/02;16,4158
14/01/02;16,3257
15/01/02;16,623
16/01/02;16,578
17/01/02;16,9564
18/01/02;16,7582
21/01/02;16,623
22/01/02;16,596
23/01/02;16,7672
24/01/02;17,0105
25/01/02;16,9384
28/01/02;16,8933
29/01/02;16,9384
30/01/02;16,7582
31/01/02;16,7582
01/02/02;16,6861
04/02/02;16,1725
05/02/02;16,2176
06/02/02;16,1275
07/02/02;15,9473
08/02/02;16,3167
11/02/02;16,7131
12/02/02;16,7942
13/02/02;17,2808
14/02/02;17,1726
15/02/02;17,0735
18/02/02;17,0915
19/02/02;16,6681
20/02/02;16,8122
21/02/02;16,587
22/02/02;16,6681
25/02/02;16,9294
26/02/02;16,8393
27/02/02;16,9384
28/02/02;17,0735
01/03/02;17,1636
04/03/02;16,8483
05/03/02;16,9204
06/03/02;16,8483
07/03/02;16,9834
08/03/02;16,9834
11/03/02;16,7402
12/03/02;16,7582
13/03/02;16,8843
14/03/02;17,1907
15/03/02;17,2988
18/03/02;17,6141
19/03/02;17,9295
20/03/02;18,0105
21/03/02;18,3349
22/03/02;18,6502
25/03/02;18,8845
26/03/02;18,7944
27/03/02;19,353
28/03/02;19,7134
02/04/02;20,3621
03/04/02;19,7494
04/04/02;19,2989
05/04/02;19,6413
08/04/02;19,2899
09/04/02;19,7584
10/04/02;19,5512
11/04/02;19,371
12/04/02;19,7224
15/04/02;19,9657
16/04/02;20,6324
17/04/02;20,272
18/04/02;20,6324
19/04/02;21,0108
22/04/02;20,9477
23/04/02;21,0378
24/04/02;20,6774
25/04/02;21,0829
26/04/02;21,1459
29/04/02;20,7225
30/04/02;21,1369
02/05/02;20,8757
03/05/02;20,272
06/05/02;20,9027
07/05/02;20,6054
08/05/02;21,0649
09/05/02;21,2451
10/05/02;21,7316
13/05/02;21,3532
14/05/02;21,3081
15/05/02;21,4883
16/05/02;20,9477
17/05/02;20,7856
20/05/02;21,0829
21/05/02;21,4162
22/05/02;21,7586
23/05/02;21,7586
24/05/02;21,9388
27/05/02;21,8037
28/05/02;21,4433
29/05/02;21,4883
30/05/02;21,5334
31/05/02;22,074
03/06/02;21,6595
04/06/02;20,9838
05/06/02;20,8126
06/06/02;21,6325
07/06/02;21,5514
10/06/02;21,5334
11/06/02;22,2541
12/06/02;21,3532
13/06/02;20,9477
14/06/02;20,3801
17/06/02;20,5873
18/06/02;20,7765
19/06/02;21,0829
20/06/02;20,3441
21/06/02;20,9027
24/06/02;19,9116
25/06/02;20,9477
26/06/02;20,0017
27/06/02;19,6323
28/06/02;20,272
01/07/02;20,5423
02/07/02;18,7854
03/07/02;18,0826
04/07/02;18,2538
05/07/02;18,9205
08/07/02;18,9205
09/07/02;18,47
10/07/02;19,0106
11/07/02;18,6592
12/07/02;18,9205
15/07/02;18,47
16/07/02;18,2448
17/07/02;18,8214
18/07/02;18,3799
19/07/02;17,3438
22/07/02;17,0285
23/07/02;16,7582
24/07/02;15,9924
25/07/02;16,7582
26/07/02;16,8933
29/07/02;18,0196
30/07/02;18,1907
31/07/02;18,8304
01/08/02;18,1096
02/08/02;18,407
05/08/02;18,9205
06/08/02;19,371
07/08/02;18,2898
08/08/02;19,1908
09/08/02;20,1188
12/08/02;20,0017
13/08/02;20,7225
14/08/02;19,8215
15/08/02;20,4972
16/08/02;19,9116
19/08/02;20,7225
20/08/02;20,5423
21/08/02;20,3801
22/08/02;20,6324
23/08/02;20,5873
26/08/02;20,8126
27/08/02;20,4522
28/08/02;19,8936
29/08/02;19,4611
30/08/02;19,7314
02/09/02;19,2809
03/09/02;18,1187
04/09/02;17,8844
05/09/02;17,6051
06/09/02;17,7943
09/09/02;17,6592
10/09/02;18,0736
11/09/02;18,6502
12/09/02;16,8032
13/09/02;16,2717
16/09/02;16,6681
17/09/02;16,5239
18/09/02;15,9203
19/09/02;15,4968
20/09/02;15,4428
23/09/02;15,1364
24/09/02;15,0914
25/09/02;14,4247
26/09/02;14,8661
27/09/02;15,2896
30/09/02;14,0192
01/10/02;14,2445
02/10/02;15,2085
03/10/02;14,776
04/10/02;13,9561
07/10/02;12,9831
08/10/02;13,0642
09/10/02;12,8299
10/10/02;13,4786
11/10/02;14,731
14/10/02;14,4156
15/10/02;15,9743
16/10/02;15,9924
17/10/02;16,6501
18/10/02;16,4338
21/10/02;15,677
22/10/02;15,6049
23/10/02;15,0193
24/10/02;15,1815
25/10/02;14,6679
28/10/02;15,1184
29/10/02;14,4427
30/10/02;14,704
31/10/02;14,8842
01/11/02;14,5778
04/11/02;15,4518
05/11/02;16,0284
06/11/02;16,3527
07/11/02;15,5329
08/11/02;15,0824
11/11/02;15,1094
12/11/02;15,5599
13/11/02;15,5779
14/11/02;16,2266
15/11/02;16,1185
18/11/02;16,2266
19/11/02;15,659
20/11/02;15,3166
21/11/02;16,0554
22/11/02;16,2626
25/11/02;15,677
26/11/02;15,1454
27/11/02;15,0914
28/11/02;14,6048
29/11/02;14,758
02/12/02;14,704
03/12/02;13,9652
04/12/02;14,4337
05/12/02;14,5868
06/12/02;14,0012
09/12/02;14,1453
10/12/02;14,3255
11/12/02;14,2354
12/12/02;13,785
13/12/02;13,6498
16/12/02;13,3885
17/12/02;13,7129
18/12/02;13,6048
19/12/02;13,4336
20/12/02;13,6048
23/12/02;13,3615
24/12/02;13,3345
27/12/02;13,1633
30/12/02;12,92
31/12/02;12,9561
02/01/03;13,3885
03/01/03;13,1272
06/01/03;12,9561
07/01/03;12,902
08/01/03;12,884
09/01/03;13,0642
10/01/03;13,6858
13/01/03;13,83
14/01/03;13,6048
15/01/03;13,7399
16/01/03;14,1273
17/01/03;13,5147
20/01/03;13,4606
21/01/03;13,4246
22/01/03;13,2534
23/01/03;13,2894
24/01/03;13,3255
27/01/03;12,929
28/01/03;13,0281
29/01/03;12,9741
30/01/03;13,0552
31/01/03;12,902
03/02/03;12,938
04/02/03;12,8119
05/02/03;13,1182
06/02/03;12,902
07/02/03;12,8389
10/02/03;12,875
11/02/03;13,0642
12/02/03;12,884
13/02/03;13,0191
14/02/03;13,1993
17/02/03;13,3345
18/02/03;13,4246
19/02/03;13,1092
20/02/03;12,929
21/02/03;13,0011
24/02/03;12,7669
25/02/03;12,5776
26/02/03;12,5326
27/02/03;12,5686
28/02/03;12,4785
03/03/03;12,7939
04/03/03;12,2983
05/03/03;12,2713
06/03/03;12,4335
07/03/03;12,3344
10/03/03;11,8028
11/03/03;11,3974
12/03/03;11,7127
13/03/03;11,8749
14/03/03;12,884
17/03/03;12,9651
18/03/03;12,7038
19/03/03;12,857
20/03/03;12,6137
21/03/03;13,0011
24/03/03;12,4785
25/03/03;12,7488
26/03/03;13,0191
27/03/03;12,893
28/03/03;13,1813
31/03/03;12,857
01/04/03;13,0011
02/04/03;13,3164
03/04/03;13,1993
04/04/03;13,5147
07/04/03;13,9652
08/04/03;13,7489
09/04/03;13,7399
10/04/03;13,9742
11/04/03;14,2354
14/04/03;14,2985
15/04/03;14,4427
16/04/03;14,1724
17/04/03;14,3616
22/04/03;14,3255
23/04/03;15,0013
24/04/03;14,6048
25/04/03;14,4156
28/04/03;14,5688
29/04/03;14,4156
30/04/03;14,8571
02/05/03;14,8842
05/05/03;14,8211
06/05/03;15,1815
07/05/03;15,0824
08/05/03;14,8661
09/05/03;15,0373
12/05/03;15,1815
13/05/03;15,3887
14/05/03;15,7491
15/05/03;15,686
16/05/03;15,3887
19/05/03;14,4607
20/05/03;14,6139
21/05/03;14,722
22/05/03;14,8481
23/05/03;15,8572
26/05/03;15,2986
27/05/03;15,2085
28/05/03;15,686
29/05/03;15,5148
30/05/03;16,0374
02/06/03;16,3077
03/06/03;16,3257
04/06/03;15,8662
05/06/03;15,5599
