Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
30/09/09;26,0756;1706,6;274,7;1,4091;609,5886;432,6;10261,2
01/10/09;26,0756;1706,6;274,7;1,4014;609,5886;432,6;10261,2
02/10/09;26,0756;1706,6;274,7;1,4107;609,5886;432,6;10261,2
05/10/09;26,0756;1706,6;274,7;1,3905;609,5886;432,6;10261,2
06/10/09;26,0756;1706,6;274,7;1,389;609,5886;432,6;10261,2
07/10/09;26,0756;1706,6;274,7;1,3549;609,5886;432,6;10261,2
08/10/09;26,0756;1706,6;274,7;1,3704;609,5886;432,6;10261,2
09/10/09;26,0756;1706,6;274,7;1,3611;609,5886;432,6;10261,2
12/10/09;26,0756;1706,6;274,7;1,3472;609,5886;432,6;10261,2
13/10/09;26,0756;1706,6;274,7;1,3394;609,5886;432,6;10261,2
14/10/09;26,0756;1706,6;274,7;1,3317;609,5886;432,6;10261,2
15/10/09;26,0756;1706,6;274,7;1,2992;609,5886;432,6;10261,2
16/10/09;26,0756;1706,6;274,7;1,2868;609,5886;432,6;10261,2
19/10/09;26,0756;1706,6;274,7;1,2914;609,5886;432,6;10261,2
20/10/09;26,0756;1706,6;274,7;1,3007;609,5886;432,6;10261,2
21/10/09;26,0756;1706,6;274,7;1,293;609,5886;432,6;10261,2
22/10/09;26,0756;1706,6;274,7;1,3007;609,5886;432,6;10261,2
23/10/09;26,0756;1706,6;274,7;1,3007;609,5886;432,6;10261,2
26/10/09;26,0756;1706,6;274,7;1,2729;609,5886;432,6;10261,2
27/10/09;26,0756;1706,6;274,7;1,2744;609,5886;432,6;10261,2
28/10/09;26,0756;1706,6;274,7;1,2729;609,5886;432,6;10261,2
29/10/09;26,0756;1706,6;274,7;1,2682;609,5886;432,6;10261,2
30/10/09;26,0756;1706,6;274,7;1,2481;609,5886;432,6;10261,2
02/11/09;26,0756;1706,6;274,7;1,2543;609,5886;432,6;10261,2
03/11/09;26,0756;1706,6;274,7;1,2388;609,5886;432,6;10261,2
04/11/09;26,0756;1706,6;274,7;1,2388;609,5886;432,6;10261,2
05/11/09;26,0756;1706,6;274,7;1,2388;609,5886;432,6;10261,2
06/11/09;26,0756;1706,6;274,7;1,3317;609,5886;432,6;10261,2
09/11/09;26,0756;1706,6;274,7;1,3317;609,5886;432,6;10261,2
10/11/09;26,0756;1706,6;274,7;1,3069;609,5886;432,6;10261,2
11/11/09;26,0756;1706,6;274,7;1,3007;609,5886;432,6;10261,2
12/11/09;26,0756;1706,6;274,7;1,3007;609,5886;432,6;10261,2
13/11/09;26,0756;1706,6;274,7;1,2775;609,5886;432,6;10261,2
16/11/09;26,0756;1706,6;274,7;1,2636;609,5886;432,6;10261,2
17/11/09;26,0756;1706,6;274,7;1,2589;609,5886;432,6;10261,2
18/11/09;26,0756;1706,6;274,7;1,2574;609,5886;432,6;10261,2
19/11/09;26,0756;1706,6;274,7;1,2543;609,5886;432,6;10261,2
20/11/09;26,0756;1706,6;274,7;1,2512;609,5886;432,6;10261,2
23/11/09;26,0756;1706,6;274,7;1,2558;609,5886;432,6;10261,2
24/11/09;26,0756;1706,6;274,7;1,2496;609,5886;432,6;10261,2
25/11/09;26,0756;1706,6;274,7;1,2388;609,5886;432,6;10261,2
26/11/09;26,0756;1706,6;274,7;1,2388;609,5886;432,6;10261,2
27/11/09;26,0756;1706,6;274,7;1,228;609,5886;432,6;10261,2
30/11/09;26,0756;1706,6;274,7;1,262;609,5886;432,6;10261,2
01/12/09;26,0756;1706,6;274,7;1,2574;609,5886;432,6;10261,2
02/12/09;26,0756;1706,6;274,7;1,2512;609,5886;432,6;10261,2
03/12/09;26,0756;1706,6;274,7;1,2388;609,5886;432,6;10261,2
04/12/09;26,0756;1706,6;274,7;1,2311;609,5886;432,6;10261,2
07/12/09;26,0756;1706,6;274,7;1,2388;609,5886;432,6;10261,2
08/12/09;26,0756;1706,6;274,7;1,2264;609,5886;432,6;10261,2
09/12/09;26,0756;1706,6;274,7;1,2264;609,5886;432,6;10261,2
10/12/09;26,0756;1706,6;274,7;1,2233;609,5886;432,6;10261,2
11/12/09;26,0756;1706,6;274,7;1,2249;609,5886;432,6;10261,2
14/12/09;26,0756;1706,6;274,7;1,2264;609,5886;432,6;10261,2
15/12/09;26,0756;1706,6;274,7;1,2465;609,5886;432,6;10261,2
16/12/09;26,0756;1706,6;274,7;1,2311;609,5886;432,6;10261,2
17/12/09;26,0756;1706,6;274,7;1,2249;609,5886;432,6;10261,2
18/12/09;26,0756;1706,6;274,7;1,2233;609,5886;432,6;10261,2
21/12/09;26,0756;1706,6;274,7;1,2233;609,5886;432,6;10261,2
22/12/09;26,0756;1706,6;274,7;1,2233;609,5886;432,6;10261,2
23/12/09;26,0756;1706,6;274,7;1,2233;609,5886;432,6;10261,2
28/12/09;26,0756;1706,6;274,7;1,2125;609,5886;432,6;10261,2
29/12/09;26,0756;1706,6;274,7;1,2218;609,5886;432,6;10261,2
30/12/09;24,5711;1724,356;340,96;1,2035;550,1154;433,444;10089,682
04/01/10;24,5711;1724,356;340,96;1,1912;550,1154;433,444;10089,682
05/01/10;24,5711;1724,356;340,96;1,2112;550,1154;433,444;10089,682
07/01/10;24,5711;1724,356;340,96;1,2173;550,1154;433,444;10089,682
08/01/10;24,5711;1724,356;340,96;1,2234;550,1154;433,444;10089,682
11/01/10;24,5711;1724,356;340,96;1,2188;550,1154;433,444;10089,682
12/01/10;24,5711;1724,356;340,96;1,2035;550,1154;433,444;10089,682
13/01/10;24,5711;1724,356;340,96;1,2142;550,1154;433,444;10089,682
14/01/10;24,5711;1724,356;340,96;1,2127;550,1154;433,444;10089,682
15/01/10;24,5711;1724,356;340,96;1,2142;550,1154;433,444;10089,682
18/01/10;24,5711;1724,356;340,96;1,205;550,1154;433,444;10089,682
19/01/10;24,5711;1724,356;340,96;1,2066;550,1154;433,444;10089,682
20/01/10;24,5711;1724,356;340,96;1,2004;550,1154;433,444;10089,682
21/01/10;24,5711;1724,356;340,96;1,2035;550,1154;433,444;10089,682
22/01/10;24,5711;1724,356;340,96;1,1974;550,1154;433,444;10089,682
25/01/10;24,5711;1724,356;340,96;1,1943;550,1154;433,444;10089,682
26/01/10;24,5711;1724,356;340,96;1,1851;550,1154;433,444;10089,682
27/01/10;24,5711;1724,356;340,96;1,1851;550,1154;433,444;10089,682
28/01/10;24,5711;1724,356;340,96;1,1912;550,1154;433,444;10089,682
29/01/10;24,5711;1724,356;340,96;1,1882;550,1154;433,444;10089,682
01/02/10;24,5711;1724,356;340,96;1,1866;550,1154;433,444;10089,682
02/02/10;24,5711;1724,356;340,96;1,1866;550,1154;433,444;10089,682
03/02/10;24,5711;1724,356;340,96;1,1851;550,1154;433,444;10089,682
04/02/10;24,5711;1724,356;340,96;1,1866;550,1154;433,444;10089,682
05/02/10;24,5711;1724,356;340,96;1,1882;550,1154;433,444;10089,682
08/02/10;24,5711;1724,356;340,96;1,1759;550,1154;433,444;10089,682
09/02/10;24,5711;1724,356;340,96;1,1728;550,1154;433,444;10089,682
10/02/10;24,5711;1724,356;340,96;1,1698;550,1154;433,444;10089,682
11/02/10;24,5711;1724,356;340,96;1,159;550,1154;433,444;10089,682
12/02/10;24,5711;1724,356;340,96;1,1636;550,1154;433,444;10089,682
15/02/10;24,5711;1724,356;340,96;1,1498;550,1154;433,444;10089,682
16/02/10;24,5711;1724,356;340,96;1,1176;550,1154;433,444;10089,682
17/02/10;24,5711;1724,356;340,96;1,1268;550,1154;433,444;10089,682
18/02/10;24,5711;1724,356;340,96;1,1192;550,1154;433,444;10089,682
19/02/10;24,5711;1724,356;340,96;1,1038;550,1154;433,444;10089,682
22/02/10;24,5711;1724,356;340,96;1,1192;550,1154;433,444;10089,682
23/02/10;24,5711;1724,356;340,96;1,1038;550,1154;433,444;10089,682
24/02/10;24,5711;1724,356;340,96;1,1008;550,1154;433,444;10089,682
25/02/10;24,5711;1724,356;340,96;1,1054;550,1154;433,444;10089,682
26/02/10;24,5711;1724,356;340,96;1,1038;550,1154;433,444;10089,682
01/03/10;24,5711;1724,356;340,96;1,1008;550,1154;433,444;10089,682
02/03/10;24,5711;1724,356;340,96;1,0916;550,1154;433,444;10089,682
03/03/10;24,5711;1724,356;340,96;1,0962;550,1154;433,444;10089,682
04/03/10;24,5711;1724,356;340,96;1,0885;550,1154;433,444;10089,682
05/03/10;24,5711;1724,356;340,96;1,09;550,1154;433,444;10089,682
08/03/10;24,5711;1724,356;340,96;1,0962;550,1154;433,444;10089,682
09/03/10;24,5711;1724,356;340,96;1,0946;550,1154;433,444;10089,682
10/03/10;24,5711;1724,356;340,96;1,0946;550,1154;433,444;10089,682
11/03/10;24,5711;1724,356;340,96;1,0946;550,1154;433,444;10089,682
12/03/10;24,5711;1724,356;340,96;1,0946;550,1154;433,444;10089,682
15/03/10;24,5711;1724,356;340,96;1,0946;550,1154;433,444;10089,682
16/03/10;24,5711;1724,356;340,96;1,0962;550,1154;433,444;10089,682
17/03/10;24,5711;1724,356;340,96;1,0962;550,1154;433,444;10089,682
18/03/10;24,5711;1724,356;340,96;1,1008;550,1154;433,444;10089,682
19/03/10;24,5711;1724,356;340,96;1,0977;550,1154;433,444;10089,682
22/03/10;24,5711;1724,356;340,96;1,0946;550,1154;433,444;10089,682
23/03/10;24,5711;1724,356;340,96;1,087;550,1154;433,444;10089,682
24/03/10;24,5711;1724,356;340,96;1,0854;550,1154;433,444;10089,682
25/03/10;24,5711;1724,356;340,96;1,0747;550,1154;433,444;10089,682
26/03/10;24,5711;1724,356;340,96;1,0517;550,1154;433,444;10089,682
29/03/10;24,5711;1724,356;340,96;1,0655;550,1154;433,444;10089,682
30/03/10;24,5711;1724,356;340,96;1,0609;550,1154;433,444;10089,682
31/03/10;24,4418;1526,8;327,9;1,0097;481,1757;456,1;10697,4
01/04/10;24,4418;1526,8;327,9;1,0053;481,1757;456,1;10697,4
06/04/10;24,4418;1526,8;327,9;1,0184;481,1757;456,1;10697,4
07/04/10;24,4418;1526,8;327,9;1,017;481,1757;456,1;10697,4
08/04/10;24,4418;1526,8;327,9;1,014;481,1757;456,1;10697,4
09/04/10;24,4418;1526,8;327,9;1,017;481,1757;456,1;10697,4
12/04/10;24,4418;1526,8;327,9;1,0126;481,1757;456,1;10697,4
13/04/10;24,4418;1526,8;327,9;1,0126;481,1757;456,1;10697,4
14/04/10;24,4418;1526,8;327,9;1,0053;481,1757;456,1;10697,4
15/04/10;24,4418;1526,8;327,9;1,0053;481,1757;456,1;10697,4
16/04/10;24,4418;1526,8;327,9;1,0053;481,1757;456,1;10697,4
19/04/10;24,4418;1526,8;327,9;0,9995;481,1757;456,1;10697,4
20/04/10;24,4418;1526,8;327,9;1,0053;481,1757;456,1;10697,4
21/04/10;24,4418;1526,8;327,9;1,0024;481,1757;456,1;10697,4
22/04/10;24,4418;1526,8;327,9;0,9893;481,1757;456,1;10697,4
23/04/10;24,4418;1526,8;327,9;0,9849;481,1757;456,1;10697,4
26/04/10;24,4418;1526,8;327,9;0,9849;481,1757;456,1;10697,4
27/04/10;24,4418;1526,8;327,9;0,9834;481,1757;456,1;10697,4
28/04/10;24,4418;1526,8;327,9;0,9849;481,1757;456,1;10697,4
29/04/10;24,4418;1526,8;327,9;0,9834;481,1757;456,1;10697,4
30/04/10;24,4418;1526,8;327,9;0,9907;481,1757;456,1;10697,4
03/05/10;24,4418;1526,8;327,9;0,9966;481,1757;456,1;10697,4
04/05/10;24,4418;1526,8;327,9;0,9762;481,1757;456,1;10697,4
05/05/10;24,4418;1526,8;327,9;0,9616;481,1757;456,1;10697,4
06/05/10;24,4418;1526,8;327,9;0,9616;481,1757;456,1;10697,4
07/05/10;24,4418;1526,8;327,9;0,9689;481,1757;456,1;10697,4
10/05/10;24,4418;1526,8;327,9;1,0053;481,1757;456,1;10697,4
11/05/10;24,4418;1526,8;327,9;0,998;481,1757;456,1;10697,4
12/05/10;24,4418;1526,8;327,9;1,0053;481,1757;456,1;10697,4
14/05/10;24,4418;1526,8;327,9;0,9805;481,1757;456,1;10697,4
17/05/10;24,4418;1526,8;327,9;1,0024;481,1757;456,1;10697,4
18/05/10;24,4418;1526,8;327,9;0,9849;481,1757;456,1;10697,4
19/05/10;24,4418;1526,8;327,9;0,9747;481,1757;456,1;10697,4
20/05/10;24,4418;1526,8;327,9;0,9689;481,1757;456,1;10697,4
21/05/10;24,4418;1526,8;327,9;0,9689;481,1757;456,1;10697,4
24/05/10;24,4418;1526,8;327,9;0,9732;481,1757;456,1;10697,4
25/05/10;24,4418;1526,8;327,9;0,9747;481,1757;456,1;10697,4
26/05/10;24,4418;1526,8;327,9;0,9834;481,1757;456,1;10697,4
27/05/10;24,4418;1526,8;327,9;0,9776;481,1757;456,1;10697,4
28/05/10;24,4418;1526,8;327,9;0,9689;481,1757;456,1;10697,4
31/05/10;24,4418;1526,8;327,9;0,9674;481,1757;456,1;10697,4
01/06/10;24,4418;1526,8;327,9;0,9689;481,1757;456,1;10697,4
02/06/10;24,4418;1526,8;327,9;0,9834;481,1757;456,1;10697,4
03/06/10;24,4418;1526,8;327,9;0,9834;481,1757;456,1;10697,4
04/06/10;24,4418;1526,8;327,9;0,9747;481,1757;456,1;10697,4
07/06/10;24,4418;1526,8;327,9;0,9689;481,1757;456,1;10697,4
08/06/10;24,4418;1526,8;327,9;0,9616;481,1757;456,1;10697,4
09/06/10;24,4418;1526,8;327,9;0,9747;481,1757;456,1;10697,4
10/06/10;24,4418;1526,8;327,9;0,982;481,1757;456,1;10697,4
11/06/10;24,4418;1526,8;327,9;0,963;481,1757;456,1;10697,4
14/06/10;24,4418;1526,8;327,9;0,9703;481,1757;456,1;10697,4
15/06/10;24,4418;1526,8;327,9;0,9732;481,1757;456,1;10697,4
16/06/10;24,4418;1526,8;327,9;0,9718;481,1757;456,1;10697,4
17/06/10;24,4418;1526,8;327,9;0,9689;481,1757;456,1;10697,4
18/06/10;24,4418;1526,8;327,9;0,9703;481,1757;456,1;10697,4
21/06/10;24,4418;1526,8;327,9;0,9762;481,1757;456,1;10697,4
22/06/10;24,4418;1526,8;327,9;1,0009;481,1757;456,1;10697,4
23/06/10;24,4418;1526,8;327,9;1,0038;481,1757;456,1;10697,4
24/06/10;24,4418;1526,8;327,9;1,0038;481,1757;456,1;10697,4
28/06/10;24,4418;1526,8;327,9;0,9834;481,1757;456,1;10697,4
29/06/10;24,4418;1526,8;327,9;0,9834;481,1757;456,1;10697,4
30/06/10;24,1258;1516,9;283,1;0,98;481,2411;458;10366,6
01/07/10;24,1258;1516,9;283,1;0,9771;481,2411;458;10366,6
02/07/10;24,1258;1516,9;283,1;0,9872;481,2411;458;10366,6
05/07/10;24,1258;1516,9;283,1;0,9829;481,2411;458;10366,6
06/07/10;24,1258;1516,9;283,1;0,9727;481,2411;458;10366,6
07/07/10;24,1258;1516,9;283,1;0,9771;481,2411;458;10366,6
08/07/10;24,1258;1516,9;283,1;0,9872;481,2411;458;10366,6
09/07/10;24,1258;1516,9;283,1;0,9785;481,2411;458;10366,6
12/07/10;24,1258;1516,9;283,1;0,9945;481,2411;458;10366,6
13/07/10;24,1258;1516,9;283,1;1,0134;481,2411;458;10366,6
14/07/10;24,1258;1516,9;283,1;1,0119;481,2411;458;10366,6
15/07/10;24,1258;1516,9;283,1;1,0163;481,2411;458;10366,6
16/07/10;24,1258;1516,9;283,1;1,0061;481,2411;458;10366,6
19/07/10;24,1258;1516,9;283,1;1,0148;481,2411;458;10366,6
20/07/10;24,1258;1516,9;283,1;1,0017;481,2411;458;10366,6
21/07/10;24,1258;1516,9;283,1;1,0017;481,2411;458;10366,6
22/07/10;24,1258;1516,9;283,1;1,0148;481,2411;458;10366,6
23/07/10;24,1258;1516,9;283,1;1,0134;481,2411;458;10366,6
26/07/10;24,1258;1516,9;283,1;1,0366;481,2411;458;10366,6
27/07/10;24,1258;1516,9;283,1;1,0366;481,2411;458;10366,6
28/07/10;24,1258;1516,9;283,1;1,0308;481,2411;458;10366,6
29/07/10;24,1258;1516,9;283,1;1,0308;481,2411;458;10366,6
30/07/10;24,1258;1516,9;283,1;1,0163;481,2411;458;10366,6
02/08/10;24,1258;1516,9;283,1;1,0235;481,2411;458;10366,6
03/08/10;24,1258;1516,9;283,1;1,0308;481,2411;458;10366,6
04/08/10;24,1258;1516,9;283,1;1,0438;481,2411;458;10366,6
05/08/10;24,1258;1516,9;283,1;1,0409;481,2411;458;10366,6
06/08/10;24,1258;1516,9;283,1;1,0337;481,2411;458;10366,6
09/08/10;24,1258;1516,9;283,1;1,0366;481,2411;458;10366,6
10/08/10;24,1258;1516,9;283,1;1,0337;481,2411;458;10366,6
11/08/10;24,1258;1516,9;283,1;1,0279;481,2411;458;10366,6
12/08/10;24,1258;1516,9;283,1;1,0467;481,2411;458;10366,6
13/08/10;24,1258;1516,9;283,1;1,054;481,2411;458;10366,6
16/08/10;24,1258;1516,9;283,1;1,0351;481,2411;458;10366,6
17/08/10;24,1258;1516,9;283,1;1,0453;481,2411;458;10366,6
18/08/10;24,1258;1516,9;283,1;1,0453;481,2411;458;10366,6
19/08/10;24,1258;1516,9;283,1;1,054;481,2411;458;10366,6
20/08/10;24,1258;1516,9;283,1;1,0555;481,2411;458;10366,6
23/08/10;24,1258;1516,9;283,1;1,0627;481,2411;458;10366,6
24/08/10;24,1258;1516,9;283,1;1,0482;481,2411;458;10366,6
25/08/10;24,1258;1516,9;283,1;1,0453;481,2411;458;10366,6
26/08/10;24,1258;1516,9;283,1;1,0642;481,2411;458;10366,6
27/08/10;24,1258;1516,9;283,1;1,0337;481,2411;458;10366,6
30/08/10;24,1258;1516,9;283,1;1,0366;481,2411;458;10366,6
31/08/10;24,1258;1516,9;283,1;1,0395;481,2411;458;10366,6
01/09/10;24,1258;1516,9;283,1;1,0351;481,2411;458;10366,6
02/09/10;24,1258;1516,9;283,1;1,0351;481,2411;458;10366,6
03/09/10;24,1258;1516,9;283,1;1,0337;481,2411;458;10366,6
06/09/10;24,1258;1516,9;283,1;1,0337;481,2411;458;10366,6
07/09/10;24,1258;1516,9;283,1;1,0308;481,2411;458;10366,6
08/09/10;24,1258;1516,9;283,1;1,0346;481,2411;458;10366,6
09/09/10;24,1258;1516,9;283,1;1,038;481,2411;458;10366,6
10/09/10;24,1258;1516,9;283,1;1,038;481,2411;458;10366,6
13/09/10;24,1258;1516,9;283,1;1,0453;481,2411;458;10366,6
14/09/10;24,1258;1516,9;283,1;1,0453;481,2411;458;10366,6
15/09/10;24,1258;1516,9;283,1;1,0526;481,2411;458;10366,6
16/09/10;24,1258;1516,9;283,1;1,0598;481,2411;458;10366,6
17/09/10;24,1258;1516,9;283,1;1,0642;481,2411;458;10366,6
20/09/10;24,1258;1516,9;283,1;1,07;481,2411;458;10366,6
21/09/10;24,1258;1516,9;283,1;1,0859;481,2411;458;10366,6
22/09/10;24,1258;1516,9;283,1;1,0888;481,2411;458;10366,6
23/09/10;24,1258;1516,9;283,1;1,0743;481,2411;458;10366,6
24/09/10;24,1258;1516,9;283,1;1,0743;481,2411;458;10366,6
27/09/10;24,1258;1516,9;283,1;1,0743;481,2411;458;10366,6
28/09/10;24,1258;1516,9;283,1;1,0758;481,2411;458;10366,6
29/09/10;24,1258;1516,9;283,1;1,0816;481,2411;458;10366,6
30/09/10;22,8331;1024,7;146,9;1,0235;496,6983;485,3;10142,6
01/10/10;22,8331;1024,7;146,9;1,0358;496,6983;485,3;10142,6
04/10/10;22,8331;1024,7;146,9;1,0207;496,6983;485,3;10142,6
05/10/10;22,8331;1024,7;146,9;1,0276;496,6983;485,3;10142,6
06/10/10;22,8331;1024,7;146,9;1,0276;496,6983;485,3;10142,6
07/10/10;22,8331;1024,7;146,9;1,0344;496,6983;485,3;10142,6
08/10/10;22,8331;1024,7;146,9;1,0386;496,6983;485,3;10142,6
11/10/10;22,8331;1024,7;146,9;1,0413;496,6983;485,3;10142,6
12/10/10;22,8331;1024,7;146,9;1,0468;496,6983;485,3;10142,6
13/10/10;22,8331;1024,7;146,9;1,0619;496,6983;485,3;10142,6
14/10/10;22,8331;1024,7;146,9;1,0646;496,6983;485,3;10142,6
15/10/10;22,8331;1024,7;146,9;1,0687;496,6983;485,3;10142,6
18/10/10;22,8331;1024,7;146,9;1,0701;496,6983;485,3;10142,6
19/10/10;22,8331;1024,7;146,9;1,0687;496,6983;485,3;10142,6
20/10/10;22,8331;1024,7;146,9;1,0756;496,6983;485,3;10142,6
21/10/10;22,8331;1024,7;146,9;1,0687;496,6983;485,3;10142,6
22/10/10;22,8331;1024,7;146,9;1,0714;496,6983;485,3;10142,6
25/10/10;22,8331;1024,7;146,9;1,0619;496,6983;485,3;10142,6
26/10/10;22,8331;1024,7;146,9;1,066;496,6983;485,3;10142,6
27/10/10;22,8331;1024,7;146,9;1,0728;496,6983;485,3;10142,6
28/10/10;22,8331;1024,7;146,9;1,0756;496,6983;485,3;10142,6
29/10/10;22,8331;1024,7;146,9;1,0742;496,6983;485,3;10142,6
01/11/10;22,8331;1024,7;146,9;1,0605;496,6983;485,3;10142,6
02/11/10;22,8331;1024,7;146,9;1,0605;496,6983;485,3;10142,6
03/11/10;22,8331;1024,7;146,9;1,0605;496,6983;485,3;10142,6
04/11/10;22,8331;1024,7;146,9;1,0687;496,6983;485,3;10142,6
05/11/10;22,8331;1024,7;146,9;1,0687;496,6983;485,3;10142,6
08/11/10;22,8331;1024,7;146,9;1,0619;496,6983;485,3;10142,6
09/11/10;22,8331;1024,7;146,9;1,0619;496,6983;485,3;10142,6
10/11/10;22,8331;1024,7;146,9;1,0605;496,6983;485,3;10142,6
11/11/10;22,8331;1024,7;146,9;1,0619;496,6983;485,3;10142,6
12/11/10;22,8331;1024,7;146,9;1,0577;496,6983;485,3;10142,6
15/11/10;22,8331;1024,7;146,9;1,0577;496,6983;485,3;10142,6
16/11/10;22,8331;1024,7;146,9;1,0536;496,6983;485,3;10142,6
17/11/10;22,8331;1024,7;146,9;1,0454;496,6983;485,3;10142,6
18/11/10;22,8331;1024,7;146,9;1,0495;496,6983;485,3;10142,6
19/11/10;22,8331;1024,7;146,9;1,0536;496,6983;485,3;10142,6
22/11/10;22,8331;1024,7;146,9;1,044;496,6983;485,3;10142,6
23/11/10;22,8331;1024,7;146,9;1,0413;496,6983;485,3;10142,6
24/11/10;22,8331;1024,7;146,9;1,0344;496,6983;485,3;10142,6
25/11/10;22,8331;1024,7;146,9;1,0509;496,6983;485,3;10142,6
26/11/10;22,8331;1024,7;146,9;1,0399;496,6983;485,3;10142,6
29/11/10;22,8331;1024,7;146,9;1,0262;496,6983;485,3;10142,6
30/11/10;22,8331;1024,7;146,9;1,018;496,6983;485,3;10142,6
01/12/10;22,8331;1024,7;146,9;1,0399;496,6983;485,3;10142,6
02/12/10;22,8331;1024,7;146,9;1,0344;496,6983;485,3;10142,6
03/12/10;22,8331;1024,7;146,9;1,0413;496,6983;485,3;10142,6
07/12/10;22,8331;1024,7;146,9;1,0564;496,6983;485,3;10142,6
08/12/10;22,8331;1024,7;146,9;1,0523;496,6983;485,3;10142,6
09/12/10;22,8331;1024,7;146,9;1,0468;496,6983;485,3;10142,6
10/12/10;22,8331;1024,7;146,9;1,0303;496,6983;485,3;10142,6
13/12/10;22,8331;1024,7;146,9;1,0386;496,6983;485,3;10142,6
14/12/10;22,8331;1024,7;146,9;1,0413;496,6983;485,3;10142,6
15/12/10;22,8331;1024,7;146,9;1,0399;496,6983;485,3;10142,6
16/12/10;22,8331;1024,7;146,9;1,0413;496,6983;485,3;10142,6
17/12/10;22,8331;1024,7;146,9;1,0317;496,6983;485,3;10142,6
20/12/10;22,8331;1024,7;146,9;1,0372;496,6983;485,3;10142,6
21/12/10;22,8331;1024,7;146,9;1,0413;496,6983;485,3;10142,6
22/12/10;22,8331;1024,7;146,9;1,0386;496,6983;485,3;10142,6
23/12/10;22,8331;1024,7;146,9;1,0358;496,6983;485,3;10142,6
27/12/10;22,8331;1024,7;146,9;1,0413;496,6983;485,3;10142,6
28/12/10;22,8331;1024,7;146,9;1,0413;496,6983;485,3;10142,6
29/12/10;22,8331;1024,7;146,9;1,0413;496,6983;485,3;10142,6
30/12/10;23,1168;959,749;273,364;1,1156;527,1523;452,998;10521,864
03/01/11;23,1168;959,749;273,364;1,1141;527,1523;452,998;10521,864
04/01/11;23,1168;959,749;273,364;1,1141;527,1523;452,998;10521,864
05/01/11;23,1168;959,749;273,364;1,1156;527,1523;452,998;10521,864
07/01/11;23,1168;959,749;273,364;1,1273;527,1523;452,998;10521,864
10/01/11;23,1168;959,749;273,364;1,1258;527,1523;452,998;10521,864
11/01/11;23,1168;959,749;273,364;1,1288;527,1523;452,998;10521,864
12/01/11;23,1168;959,749;273,364;1,1302;527,1523;452,998;10521,864
13/01/11;23,1168;959,749;273,364;1,1302;527,1523;452,998;10521,864
14/01/11;23,1168;959,749;273,364;1,1288;527,1523;452,998;10521,864
17/01/11;23,1168;959,749;273,364;1,1288;527,1523;452,998;10521,864
18/01/11;23,1168;959,749;273,364;1,1302;527,1523;452,998;10521,864
19/01/11;23,1168;959,749;273,364;1,1229;527,1523;452,998;10521,864
20/01/11;23,1168;959,749;273,364;1,1097;527,1523;452,998;10521,864
