Year,Quarter,MVA,DELTA_MVA
2009,4,11270.322670331341,-0.0008848954046910306
2010,1,10658.269921362547,-0.05430658614415693
2010,2,11146.303373071763,0.04578918110631093
2010,3,11050.61705200414,-0.008584578928543375
2010,4,11071.379292734195,0.0018788308953561661
2011,1,10471.093092539277,-0.05421964005775389
2011,2,10337.30731504433,-0.012776677307001445
2011,3,11015.045235640493,0.06556232681694789
2011,4,11125.31499137825,0.010010830947926283
2012,1,10993.983344284161,-0.01180475763570448
2012,2,11705.104986027784,0.06468280144460462
2012,3,11142.089279254451,-0.048100013408286076
2012,4,11777.481922355932,0.057026346421808295
2013,1,11360.086688118407,-0.03544010824972938
2013,2,11254.185675896255,-0.009322201064971997
2013,3,10816.938047130372,-0.03885200061185782
2013,4,11374.665989793803,0.05156061172148344
2014,1,11129.172309949161,-0.021582495702723643
2014,2,10817.486599999998,-0.028006189613087807
2014,3,11139.70918387053,0.029787195102282896
2014,4,11115.707356978715,-0.0021546188051809016
2015,1,10888.109391848639,-0.020475346986099374
2015,2,10762.020533755582,-0.011580418009710025
2015,3,10057.188479889794,-0.06549253940326999
2015,4,10107.404518993337,0.004993049419721467
2016,1,9940.32239080785,-0.016530665995559343
2016,2,9993.96438114387,0.005396403479390457
2016,3,9552.795016262622,-0.04414357987042901
