Date;PX_LAST
30/09/09;9,1
01/10/09;9,05
02/10/09;9,11
05/10/09;8,98
06/10/09;8,97
07/10/09;8,75
08/10/09;8,85
09/10/09;8,79
12/10/09;8,7
13/10/09;8,65
14/10/09;8,6
15/10/09;8,39
16/10/09;8,31
19/10/09;8,34
20/10/09;8,4
21/10/09;8,35
22/10/09;8,4
23/10/09;8,4
26/10/09;8,22
27/10/09;8,23
28/10/09;8,22
29/10/09;8,19
30/10/09;8,06
02/11/09;8,1
03/11/09;8
04/11/09;8
05/11/09;8
06/11/09;8,6
09/11/09;8,6
10/11/09;8,44
11/11/09;8,4
12/11/09;8,4
13/11/09;8,25
16/11/09;8,16
17/11/09;8,13
18/11/09;8,12
19/11/09;8,1
20/11/09;8,08
23/11/09;8,11
24/11/09;8,07
25/11/09;8
26/11/09;8
27/11/09;7,93
30/11/09;8,15
01/12/09;8,12
02/12/09;8,08
03/12/09;8
04/12/09;7,95
07/12/09;8
08/12/09;7,92
09/12/09;7,92
10/12/09;7,9
11/12/09;7,91
14/12/09;7,92
15/12/09;8,05
16/12/09;7,95
17/12/09;7,91
18/12/09;7,9
21/12/09;7,9
22/12/09;7,9
23/12/09;7,9
28/12/09;7,83
29/12/09;7,89
30/12/09;7,85
04/01/10;7,77
05/01/10;7,9
07/01/10;7,94
08/01/10;7,98
11/01/10;7,95
12/01/10;7,85
13/01/10;7,92
14/01/10;7,91
15/01/10;7,92
18/01/10;7,86
19/01/10;7,87
20/01/10;7,83
21/01/10;7,85
22/01/10;7,81
25/01/10;7,79
26/01/10;7,73
27/01/10;7,73
28/01/10;7,77
29/01/10;7,75
01/02/10;7,74
02/02/10;7,74
03/02/10;7,73
04/02/10;7,74
05/02/10;7,75
08/02/10;7,67
09/02/10;7,65
10/02/10;7,63
11/02/10;7,56
12/02/10;7,59
15/02/10;7,5
16/02/10;7,29
17/02/10;7,35
18/02/10;7,3
19/02/10;7,2
22/02/10;7,3
23/02/10;7,2
24/02/10;7,18
25/02/10;7,21
26/02/10;7,2
01/03/10;7,18
02/03/10;7,12
03/03/10;7,15
04/03/10;7,1
05/03/10;7,11
08/03/10;7,15
09/03/10;7,14
10/03/10;7,14
11/03/10;7,14
12/03/10;7,14
15/03/10;7,14
16/03/10;7,15
17/03/10;7,15
18/03/10;7,18
19/03/10;7,16
22/03/10;7,14
23/03/10;7,09
24/03/10;7,08
25/03/10;7,01
26/03/10;6,86
29/03/10;6,95
30/03/10;6,92
31/03/10;6,93
01/04/10;6,9
06/04/10;6,99
07/04/10;6,98
08/04/10;6,96
09/04/10;6,98
12/04/10;6,95
13/04/10;6,95
14/04/10;6,9
15/04/10;6,9
16/04/10;6,9
19/04/10;6,86
20/04/10;6,9
21/04/10;6,88
22/04/10;6,79
23/04/10;6,76
26/04/10;6,76
27/04/10;6,75
28/04/10;6,76
29/04/10;6,75
30/04/10;6,8
03/05/10;6,84
04/05/10;6,7
05/05/10;6,6
06/05/10;6,6
07/05/10;6,65
10/05/10;6,9
11/05/10;6,85
12/05/10;6,9
14/05/10;6,73
17/05/10;6,88
18/05/10;6,76
19/05/10;6,69
20/05/10;6,65
21/05/10;6,65
24/05/10;6,68
25/05/10;6,69
26/05/10;6,75
27/05/10;6,71
28/05/10;6,65
31/05/10;6,64
01/06/10;6,65
02/06/10;6,75
03/06/10;6,75
04/06/10;6,69
07/06/10;6,65
08/06/10;6,6
09/06/10;6,69
10/06/10;6,74
11/06/10;6,61
14/06/10;6,66
15/06/10;6,68
16/06/10;6,67
17/06/10;6,65
18/06/10;6,66
21/06/10;6,7
22/06/10;6,87
23/06/10;6,89
24/06/10;6,89
28/06/10;6,75
29/06/10;6,75
30/06/10;6,75
01/07/10;6,73
02/07/10;6,8
05/07/10;6,77
06/07/10;6,7
07/07/10;6,73
08/07/10;6,8
09/07/10;6,74
12/07/10;6,85
13/07/10;6,98
14/07/10;6,97
15/07/10;7
16/07/10;6,93
19/07/10;6,99
20/07/10;6,9
21/07/10;6,9
22/07/10;6,99
23/07/10;6,98
26/07/10;7,14
27/07/10;7,14
28/07/10;7,1
29/07/10;7,1
30/07/10;7
02/08/10;7,05
03/08/10;7,1
04/08/10;7,19
05/08/10;7,17
06/08/10;7,12
09/08/10;7,14
10/08/10;7,12
11/08/10;7,08
12/08/10;7,21
13/08/10;7,26
16/08/10;7,13
17/08/10;7,2
18/08/10;7,2
19/08/10;7,26
20/08/10;7,27
23/08/10;7,32
24/08/10;7,22
25/08/10;7,2
26/08/10;7,33
27/08/10;7,12
30/08/10;7,14
31/08/10;7,16
01/09/10;7,13
02/09/10;7,13
03/09/10;7,12
06/09/10;7,12
07/09/10;7,1
08/09/10;7,126
09/09/10;7,15
10/09/10;7,15
13/09/10;7,2
14/09/10;7,2
15/09/10;7,25
16/09/10;7,3
17/09/10;7,33
20/09/10;7,37
