Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
30/12/02;18,9418;123,695;89,306;1,9675;168,2388;87,493;1724,661
02/01/03;18,9418;123,695;89,306;1,96175;168,2388;87,493;1724,661
03/01/03;18,9418;123,695;89,306;1,956;168,2388;87,493;1724,661
07/01/03;18,9418;123,695;89,306;1,9566;168,2388;87,493;1724,661
08/01/03;18,9418;123,695;89,306;1,9572;168,2388;87,493;1724,661
09/01/03;18,9418;123,695;89,306;1,9572;168,2388;87,493;1724,661
10/01/03;18,9418;123,695;89,306;1,9572;168,2388;87,493;1724,661
13/01/03;18,9418;123,695;89,306;1,9572;168,2388;87,493;1724,661
14/01/03;18,9418;123,695;89,306;1,9572;168,2388;87,493;1724,661
15/01/03;18,9418;123,695;89,306;1,9572;168,2388;87,493;1724,661
16/01/03;18,9418;123,695;89,306;1,9572;168,2388;87,493;1724,661
17/01/03;18,9418;123,695;89,306;1,9572;168,2388;87,493;1724,661
20/01/03;18,9418;123,695;89,306;1,9572;168,2388;87,493;1724,661
21/01/03;18,9418;123,695;89,306;1,9572;168,2388;87,493;1724,661
22/01/03;18,9418;123,695;89,306;1,9572;168,2388;87,493;1724,661
23/01/03;18,9418;123,695;89,306;1,9572;168,2388;87,493;1724,661
24/01/03;18,9418;123,695;89,306;2,0124;168,2388;87,493;1724,661
27/01/03;18,9418;123,695;89,306;2,0021;168,2388;87,493;1724,661
28/01/03;18,9418;123,695;89,306;1,97905;168,2388;87,493;1724,661
29/01/03;18,9418;123,695;89,306;1,956;168,2388;87,493;1724,661
30/01/03;18,9418;123,695;89,306;1,9566;168,2388;87,493;1724,661
31/01/03;18,9418;123,695;89,306;1,9572;168,2388;87,493;1724,661
03/02/03;18,9418;123,695;89,306;1,9595;168,2388;87,493;1724,661
04/02/03;18,9418;123,695;89,306;1,9618;168,2388;87,493;1724,661
