Date;PX_LAST
05/04/94;796,7606
06/04/94;809,458
07/04/94;809,458
08/04/94;806,2837
11/04/94;818,981
12/04/94;828,4842
13/04/94;831,6784
14/04/94;828,4842
15/04/94;828,4842
18/04/94;834,8528
19/04/94;825,3297
20/04/94;815,7869
21/04/94;803,0895
22/04/94;806,2837
25/04/94;809,458
26/04/94;803,0895
27/04/94;809,458
28/04/94;812,6324
29/04/94;809,458
04/05/94;799,935
05/05/94;796,7606
09/05/94;790,3921
10/05/94;793,5863
11/05/94;796,7606
12/05/94;793,5863
13/05/94;806,2837
16/05/94;812,6324
17/05/94;806,2837
18/05/94;809,458
19/05/94;806,2837
20/05/94;809,458
23/05/94;806,2837
25/05/94;777,6948
26/05/94;777,6948
27/05/94;784,0633
30/05/94;787,2178
31/05/94;777,6948
01/06/94;777,6948
02/06/94;784,0633
03/06/94;790,3921
07/06/94;803,0895
08/06/94;806,2837
09/06/94;809,458
10/06/94;809,458
13/06/94;799,935
15/06/94;790,3921
16/06/94;793,5863
17/06/94;790,3921
20/06/94;777,6948
21/06/94;768,1916
22/06/94;771,3659
23/06/94;768,1916
24/06/94;758,6685
27/06/94;758,6685
28/06/94;764,9973
29/06/94;768,1916
30/06/94;758,6685
05/07/94;758,6685
06/07/94;761,823
07/07/94;777,6948
08/07/94;784,0633
11/07/94;793,5863
13/07/94;796,7606
14/07/94;803,0895
15/07/94;809,458
18/07/94;812,6324
19/07/94;825,3297
20/07/94;825,3297
27/07/94;815,7869
28/07/94;806,2837
29/07/94;818,981
02/08/94;834,8528
03/08/94;841,1816
04/08/94;838,0272
05/08/94;834,8528
08/08/94;828,4842
09/08/94;815,7869
11/08/94;803,0895
12/08/94;780,8889
15/08/94;780,8889
16/08/94;787,2178
17/08/94;799,935
18/08/94;787,2178
22/08/94;758,6685
23/08/94;758,6685
24/08/94;774,5204
25/08/94;787,2178
26/08/94;799,935
29/08/94;809,458
30/08/94;822,1554
31/08/94;825,3297
01/09/94;809,458
02/09/94;822,1554
05/09/94;838,0272
06/09/94;844,3559
08/09/94;834,8528
09/09/94;825,3297
12/09/94;812,6324
14/09/94;803,0895
15/09/94;799,935
16/09/94;790,3921
19/09/94;793,5863
20/09/94;780,8889
21/09/94;768,1916
22/09/94;769,7787
23/09/94;774,5204
26/09/94;749,1256
27/09/94;758,6685
28/09/94;779,3017
29/09/94;764,9973
30/09/94;761,823
03/10/94;752,3198
04/10/94;771,3659
05/10/94;761,823
10/10/94;774,5204
11/10/94;793,5863
12/10/94;809,458
14/10/94;807,8709
17/10/94;809,458
18/10/94;796,7606
19/10/94;780,8889
20/10/94;793,5863
21/10/94;787,2178
24/10/94;784,0633
25/10/94;774,5204
26/10/94;787,2178
27/10/94;803,0895
28/10/94;809,458
01/11/94;803,0895
02/11/94;803,0895
03/11/94;812,6324
04/11/94;831,6784
07/11/94;822,1554
08/11/94;818,981
09/11/94;818,981
10/11/94;812,6324
11/11/94;793,5863
14/11/94;793,5863
15/11/94;796,7606
16/11/94;815,7869
17/11/94;812,6324
18/11/94;804,6766
21/11/94;799,935
22/11/94;796,7606
23/11/94;777,6948
24/11/94;796,7606
25/11/94;793,5863
28/11/94;796,7606
29/11/94;806,2837
30/11/94;806,2837
01/12/94;809,458
02/12/94;806,2837
05/12/94;807,8709
06/12/94;799,935
07/12/94;799,935
08/12/94;803,0895
09/12/94;796,7606
12/12/94;799,935
13/12/94;793,5863
14/12/94;799,935
15/12/94;799,935
16/12/94;815,7869
19/12/94;825,3297
20/12/94;825,3297
21/12/94;841,1816
22/12/94;860,2476
23/12/94;866,5764
29/12/94;863,4219
30/12/94;857,0534
05/01/95;872,9449
06/01/95;872,9449
09/01/95;863,4219
10/01/95;857,0534
11/01/95;860,2476
12/01/95;857,0534
13/01/95;857,0534
16/01/95;860,2476
17/01/95;857,0534
18/01/95;850,7245
19/01/95;834,8528
20/01/95;825,3297
23/01/95;803,0895
24/01/95;815,7869
26/01/95;834,8528
27/01/95;825,3297
30/01/95;822,1554
31/01/95;815,7869
01/02/95;841,1816
02/02/95;831,6784
03/02/95;850,7245
06/02/95;857,0534
07/02/95;863,4219
08/02/95;863,4219
09/02/95;857,0534
10/02/95;857,0534
13/02/95;853,879
14/02/95;844,3559
15/02/95;857,0534
16/02/95;860,2476
17/02/95;869,7508
20/02/95;844,3559
21/02/95;847,5502
22/02/95;844,3559
23/02/95;857,0534
24/02/95;860,2476
27/02/95;860,2476
28/02/95;860,2476
01/03/95;857,0534
02/03/95;860,2476
03/03/95;834,8528
07/03/95;825,3297
08/03/95;818,981
09/03/95;818,981
10/03/95;818,981
13/03/95;815,7869
14/03/95;817,3741
15/03/95;825,3297
16/03/95;838,0272
20/03/95;857,0534
21/03/95;857,0534
22/03/95;847,5502
23/03/95;850,7245
24/03/95;857,0534
27/03/95;857,0534
28/03/95;853,879
29/03/95;860,2476
30/03/95;871,3577
31/03/95;860,2476
03/04/95;857,0534
04/04/95;863,4219
05/04/95;869,7508
06/04/95;868,1635
07/04/95;872,9449
10/04/95;866,5962
11/04/95;872,9449
12/04/95;898,3397
13/04/95;920,5601
18/04/95;907,8627
19/04/95;895,1653
20/04/95;898,3397
21/04/95;898,3397
24/04/95;891,991
25/04/95;901,514
26/04/95;907,8627
27/04/95;901,514
28/04/95;904,6884
02/05/95;898,3397
03/05/95;907,8627
04/05/95;914,2115
05/05/95;907,8627
09/05/95;901,514
10/05/95;907,8627
11/05/95;914,2115
12/05/95;914,2115
15/05/95;917,3858
16/05/95;912,6242
17/05/95;907,8627
18/05/95;907,8627
19/05/95;901,514
22/05/95;907,8627
23/05/95;901,514
24/05/95;914,2115
25/05/95;936,4318
26/05/95;917,3858
30/05/95;923,7345
31/05/95;920,5601
01/06/95;933,2575
02/06/95;939,6062
06/06/95;942,7805
08/06/95;936,4318
09/06/95;930,0832
12/06/95;923,7345
13/06/95;926,9088
14/06/95;939,6062
15/06/95;942,7805
16/06/95;944,3677
19/06/95;952,3036
20/06/95;968,1753
21/06/95;961,8266
22/06/95;955,4779
23/06/95;939,6062
26/06/95;933,2575
27/06/95;930,0832
28/06/95;920,5601
29/06/95;917,3858
30/06/95;923,7345
03/07/95;906,2756
05/07/95;923,7345
