Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
29/06/01;19,3704;8118,5811;2440,0129;2,7148;4592,2655;1691,576;32353,2777
02/07/01;19,3704;8118,5811;2440,0129;2,6819;4592,2655;1691,576;32353,2777
03/07/01;19,3704;8118,5811;2440,0129;2,6141;4592,2655;1691,576;32353,2777
04/07/01;19,3704;8118,5811;2440,0129;2,5418;4592,2655;1691,576;32353,2777
05/07/01;19,3704;8118,5811;2440,0129;2,5484;4592,2655;1691,576;32353,2777
06/07/01;19,3704;8118,5811;2440,0129;2,5462;4592,2655;1691,576;32353,2777
09/07/01;19,3704;8118,5811;2440,0129;2,4236;4592,2655;1691,576;32353,2777
10/07/01;19,3704;8118,5811;2440,0129;2,393;4592,2655;1691,576;32353,2777
11/07/01;19,3704;8118,5811;2440,0129;2,301;4592,2655;1691,576;32353,2777
12/07/01;19,3704;8118,5811;2440,0129;2,3776;4592,2655;1691,576;32353,2777
13/07/01;19,3704;8118,5811;2440,0129;2,2901;4592,2655;1691,576;32353,2777
16/07/01;19,3704;8118,5811;2440,0129;2,2069;4592,2655;1691,576;32353,2777
17/07/01;19,3704;8118,5811;2440,0129;2,2222;4592,2655;1691,576;32353,2777
18/07/01;19,3704;8118,5811;2440,0129;2,3448;4592,2655;1691,576;32353,2777
19/07/01;19,3704;8118,5811;2440,0129;2,5637;4592,2655;1691,576;32353,2777
20/07/01;19,3704;8118,5811;2440,0129;2,4783;4592,2655;1691,576;32353,2777
23/07/01;19,3704;8118,5811;2440,0129;2,5987;4592,2655;1691,576;32353,2777
24/07/01;19,3704;8118,5811;2440,0129;2,6272;4592,2655;1691,576;32353,2777
25/07/01;19,3704;8118,5811;2440,0129;2,6382;4592,2655;1691,576;32353,2777
26/07/01;19,3704;8118,5811;2440,0129;2,6644;4592,2655;1691,576;32353,2777
27/07/01;19,3704;8118,5811;2440,0129;2,7498;4592,2655;1691,576;32353,2777
30/07/01;19,3704;8118,5811;2440,0129;2,6425;4592,2655;1691,576;32353,2777
31/07/01;19,3704;8118,5811;2440,0129;2,6929;4592,2655;1691,576;32353,2777
01/08/01;19,3704;8118,5811;2440,0129;2,7126;4592,2655;1691,576;32353,2777
