Year,Quarter,MVA,DELTA_MVA
2001,3,88602.14642881112,-0.003955675233206858
2001,4,67064.44573465482,-0.24308328367034684
2002,1,67252.38767641576,0.002802408037554676
2002,2,63125.02559883791,-0.06137123483907544
2002,3,48647.2691819816,-0.2293505036950485
2002,4,39813.794477987176,-0.18158212891559894
2003,1,47534.41353083548,0.1939181922767244
2003,2,47822.74423708949,0.006065725541495785
2003,3,69486.53539933653,0.4530018406063244
2003,4,74367.53661244991,0.07024384199129302
2004,1,77532.73257879539,0.04256152765742666
2004,2,79802.58256608147,0.029276022033394338
2004,3,67520.77859358549,-0.15390233721228117
2004,4,70089.43350525953,0.03804243619782635
2005,1,85247.85816367896,0.21627260915558608
2005,2,93019.22942635814,0.09116207057962523
2005,3,110792.88877113411,0.1910751083876382
2005,4,118397.63459202315,0.06863929540277841
2006,1,121168.55537470218,0.023403514708947647
2006,2,150594.6713974137,0.24285274287305053
2006,3,138069.07105231538,-0.08317425994472098
2006,4,142253.62766837404,0.03030770457254037
2007,1,156904.68212880162,0.10299248392162313
2007,2,148210.0115880585,-0.05541370992107013
2007,3,128958.38522662075,-0.12989423693553553
2007,4,133462.89957328982,0.0349299841088519
2008,1,131274.40871644457,-0.016397746968201184
2008,2,113273.87853781339,-0.13712139597225453
2008,3,107435.58794019597,-0.051541367462476964
2008,4,89879.79608199873,-0.16340760259039738
2009,1,43578.33718632521,-0.5151486865127285
2009,2,35745.84341038036,-0.1797336539587534
2009,3,77602.53849440777,1.1709527903284134
2009,4,110066.21174032766,0.41833261998586957
2010,1,55129.963174760174,-0.4991200087377873
2010,2,43381.003989026096,-0.213113858764793
2010,3,25346.832908676733,-0.41571585307042197
2010,4,28870.75873254036,0.13902825006027927
2011,1,23929.284175901124,-0.17115845837018742
2011,2,37400.48333191883,0.5629587185722998
2011,3,21112.933833336927,-0.43549034791969016
2011,4,8552.714018940094,-0.5949064167749383
2012,1,5082.778506765136,-0.40571162609795464
2012,2,22225.452607959007,3.3726974485268473
2012,3,37306.9163468983,0.6785672267271882
2012,4,53959.12755957715,0.44635721317297544
2013,1,74158.50503651427,0.3743458871649593
2013,2,17449.113636335744,-0.7647051592026548
2013,3,59123.45778217292,2.3883358785087636
2013,4,57999.77627556979,-0.01900567978860571
2014,1,62919.76369298847,0.0848276964732196
2014,2,75977.88703355085,0.2075361154291419
2014,3,68208.89297347172,-0.1022533576993059
2014,4,64649.25108096277,-0.05218735764987996
2015,1,53298.123618110185,-0.1755801849682238
2015,2,34370.87161321979,-0.3551204192572945
2015,3,42877.187520446554,0.24748618548140197
2015,4,14974.890514029623,-0.6507492356655005
2016,1,33252.03920718987,1.2205196876756337
2016,2,23090.991743409973,-0.30557667156794516
2016,3,18984.415435415445,-0.17784321927907318
