Date;PX_LAST
03/01/95;44,8596
04/01/95;44,7327
05/01/95;44,4364
09/01/95;43,9921
10/01/95;42,9552
11/01/95;42,7436
12/01/95;43,3784
13/01/95;42,9552
16/01/95;43,0187
18/01/95;42,2992
19/01/95;42,3204
20/01/95;42,3204
23/01/95;42,3204
24/01/95;42,7436
25/01/95;43,3784
26/01/95;43,8863
27/01/95;44,0132
30/01/95;43,5688
31/01/95;43,3996
01/02/95;42,8706
02/02/95;43,9921
03/02/95;43,59
06/02/95;42,9764
07/02/95;43,59
08/02/95;43,3784
09/02/95;43,5054
10/02/95;44,0132
13/02/95;44,8596
14/02/95;45,2828
15/02/95;44,9443
16/02/95;45,1135
17/02/95;45,2617
20/02/95;45,2193
21/02/95;44,8596
22/02/95;44,4364
23/02/95;45,0712
24/02/95;45,0289
27/02/95;44,648
28/02/95;45,2405
01/03/95;45,3675
02/03/95;44,8596
03/03/95;44,6057
07/03/95;45,4521
08/03/95;45,5791
09/03/95;45,2828
10/03/95;45,4733
13/03/95;45,5791
14/03/95;45,2828
15/03/95;45,3251
16/03/95;44,9019
17/03/95;45,2617
20/03/95;45,706
21/03/95;46,2139
22/03/95;47,1449
23/03/95;46,9756
24/03/95;47,0603
27/03/95;47,3142
28/03/95;47,1449
29/03/95;46,9545
30/03/95;47,0603
31/03/95;47,7797
03/04/95;47,822
04/04/95;47,3988
05/04/95;47,3988
06/04/95;47,3988
07/04/95;47,5258
10/04/95;47,2084
11/04/95;47,3142
12/04/95;43,1668
13/04/95;42,7013
14/04/95;42,3204
17/04/95;42,3204
18/04/95;42,9552
19/04/95;43,59
20/04/95;44,2248
25/04/95;45,2828
26/04/95;45,2828
27/04/95;45,706
28/04/95;46,5736
02/05/95;47,822
03/05/95;48,0336
04/05/95;49,9381
08/05/95;54,2971
09/05/95;53,2179
10/05/95;51,2077
11/05/95;51,2077
18/05/95;52,308
19/05/95;52,9005
22/05/95;52,2657
23/05/95;51,6309
24/05/95;51,6309
25/05/95;51,6309
26/05/95;52,2445
29/05/95;50,7422
01/06/95;50,3401
02/06/95;50,1497
05/06/95;50,6152
06/06/95;50,3613
08/06/95;50,3613
09/06/95;50,9538
13/06/95;50,9538
14/06/95;50,9538
15/06/95;51,6309
16/06/95;51,123
19/06/95;51,0384
20/06/95;50,7845
21/06/95;51,25
22/06/95;51,5462
23/06/95;52,7735
26/06/95;53,9585
27/06/95;53,7469
28/06/95;53,5776
29/06/95;52,9005
30/06/95;52,8582
03/07/95;53,3237
