Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
02/01/01;23,85607037;102462;3752;2,6253;34436,64;13187;301403
03/01/01;23,85607037;102462;3752;2,6404;34436,64;13187;301403
04/01/01;23,85607037;102462;3752;2,7664;34436,64;13187;301403
05/01/01;23,85607037;102462;3752;2,7727;34436,64;13187;301403
08/01/01;23,85607037;102462;3752;2,779;34436,64;13187;301403
09/01/01;23,85607037;102462;3752;2,7538;34436,64;13187;301403
10/01/01;23,85607037;102462;3752;2,6215;34436,64;13187;301403
11/01/01;23,85607037;102462;3752;2,658;34436,64;13187;301403
12/01/01;23,85607037;102462;3752;2,6215;34436,64;13187;301403
15/01/01;23,85607037;102462;3752;2,6379;34436,64;13187;301403
16/01/01;23,85607037;102462;3752;2,7034;34436,64;13187;301403
17/01/01;23,85607037;102462;3752;2,7727;34436,64;13187;301403
18/01/01;23,85607037;102462;3752;2,7387;34436,64;13187;301403
19/01/01;23,85607037;102462;3752;2,682;34436,64;13187;301403
22/01/01;23,85607037;102462;3752;2,7223;34436,64;13187;301403
23/01/01;23,85607037;102462;3752;2,7223;34436,64;13187;301403
24/01/01;23,85607037;102462;3752;2,7538;34436,64;13187;301403
25/01/01;23,85607037;102462;3752;2,716;34436,64;13187;301403
26/01/01;23,85607037;102462;3752;2,7437;34436,64;13187;301403
29/01/01;23,85607037;102462;3752;2,8282;34436,64;13187;301403
30/01/01;23,85607037;102462;3752;2,8484;34436,64;13187;301403
31/01/01;23,85607037;102462;3752;2,7538;34436,64;13187;301403
01/02/01;23,85607037;102462;3752;2,7097;34436,64;13187;301403
02/02/01;23,85607037;102462;3752;2,7412;34436,64;13187;301403
05/02/01;23,85607037;102462;3752;2,7589;34436,64;13187;301403
06/02/01;23,85607037;102462;3752;2,7967;34436,64;13187;301403
07/02/01;23,85607037;102462;3752;2,74;34436,64;13187;301403
08/02/01;23,85607037;102462;3752;2,7816;34436,64;13187;301403
09/02/01;23,85607037;102462;3752;2,8269;34436,64;13187;301403
12/02/01;23,85607037;102462;3752;2,8673;34436,64;13187;301403
13/02/01;23,85607037;102462;3752;2,9025;34436,64;13187;301403
14/02/01;23,85607037;102462;3752;2,9189;34436,64;13187;301403
15/02/01;23,85607037;102462;3752;2,9366;34436,64;13187;301403
16/02/01;23,85607037;102462;3752;2,9114;34436,64;13187;301403
19/02/01;23,85607037;102462;3752;2,9088;34436,64;13187;301403
20/02/01;23,85607037;102462;3752;2,861;34436,64;13187;301403
21/02/01;23,85607037;102462;3752;2,7904;34436,64;13187;301403
22/02/01;23,85607037;102462;3752;2,8105;34436,64;13187;301403
23/02/01;23,85607037;102462;3752;2,7879;34436,64;13187;301403
26/02/01;23,85607037;102462;3752;2,6921;34436,64;13187;301403
27/02/01;23,85607037;102462;3752;2,6782;34436,64;13187;301403
28/02/01;23,85607037;102462;3752;2,6505;34436,64;13187;301403
01/03/01;23,85607037;102462;3752;2,7652;34436,64;13187;301403
02/03/01;23,85607037;102462;3752;2,6996;34436,64;13187;301403
05/03/01;23,85607037;102462;3752;2,7828;34436,64;13187;301403
06/03/01;23,85607037;102462;3752;2,7689;34436,64;13187;301403
07/03/01;23,85607037;102462;3752;2,7753;34436,64;13187;301403
08/03/01;23,85607037;102462;3752;2,7311;34436,64;13187;301403
09/03/01;23,85607037;102462;3752;2,6719;34436,64;13187;301403
12/03/01;23,85607037;102462;3752;2,6278;34436,64;13187;301403
13/03/01;23,85607037;102462;3752;2,5534;34436,64;13187;301403
14/03/01;23,85607037;102462;3752;2,4627;34436,64;13187;301403
15/03/01;23,85607037;102462;3752;2,5837;34436,64;13187;301403
16/03/01;23,85607037;102462;3752;2,4816;34436,64;13187;301403
19/03/01;23,85607037;102462;3752;2,4816;34436,64;13187;301403
20/03/01;23,85607037;102462;3752;2,5686;34436,64;13187;301403
21/03/01;23,85607037;102462;3752;2,5207;34436,64;13187;301403
22/03/01;23,85607037;102462;3752;2,3757;34436,64;13187;301403
23/03/01;23,85607037;102462;3752;2,3896;34436,64;13187;301403
26/03/01;23,85607037;102462;3752;2,5207;34436,64;13187;301403
27/03/01;23,85607037;102462;3752;2,6467;34436,64;13187;301403
28/03/01;23,85607037;102462;3752;2,6303;34436,64;13187;301403
29/03/01;23,85607037;102462;3752;2,7034;34436,64;13187;301403
30/03/01;23,85607037;102462;3752;2,7664;34436,64;13187;301403
02/04/01;23,85607037;102462;3752;2,6996;34436,64;13187;301403
03/04/01;23,85607037;102462;3752;2,6278;34436,64;13187;301403
04/04/01;23,85607037;102462;3752;2,6278;34436,64;13187;301403
05/04/01;23,85607037;102462;3752;2,6618;34436,64;13187;301403
06/04/01;23,85607037;102462;3752;2,6215;34436,64;13187;301403
09/04/01;23,85607037;102462;3752;2,6278;34436,64;13187;301403
10/04/01;23,85607037;102462;3752;2,6845;34436,64;13187;301403
11/04/01;23,85607037;102462;3752;2,7412;34436,64;13187;301403
12/04/01;23,85607037;102462;3752;2,7286;34436,64;13187;301403
17/04/01;23,85607037;102462;3752;2,745;34436,64;13187;301403
18/04/01;23,85607037;102462;3752;2,8484;34436,64;13187;301403
19/04/01;23,85607037;102462;3752;2,8988;34436,64;13187;301403
20/04/01;23,85607037;102462;3752;2,8862;34436,64;13187;301403
23/04/01;23,85607037;102462;3752;2,8118;34436,64;13187;301403
24/04/01;23,85607037;102462;3752;2,7916;34436,64;13187;301403
25/04/01;23,85607037;102462;3752;2,779;34436,64;13187;301403
26/04/01;23,85607037;102462;3752;2,7324;34436,64;13187;301403
27/04/01;23,85607037;102462;3752;2,8269;34436,64;13187;301403
30/04/01;23,85607037;102462;3752;2,8357;34436,64;13187;301403
01/05/01;23,85607037;102462;3752;2,8105;34436,64;13187;301403
02/05/01;23,85607037;102462;3752;2,7677;34436,64;13187;301403
03/05/01;23,85607037;102462;3752;2,7009;34436,64;13187;301403
04/05/01;23,85607037;102462;3752;2,7538;34436,64;13187;301403
08/05/01;23,85607037;102462;3752;2,832;34436,64;13187;301403
09/05/01;23,85607037;102462;3752;2,8131;34436,64;13187;301403
10/05/01;23,85607037;102462;3752;2,8799;34436,64;13187;301403
11/05/01;23,85607037;102462;3752;2,871;34436,64;13187;301403
14/05/01;23,85607037;102462;3752;2,7286;34436,64;13187;301403
15/05/01;23,85607037;102462;3752;2,7337;34436,64;13187;301403
16/05/01;23,85607037;102462;3752;2,716;34436,64;13187;301403
17/05/01;23,85607037;102462;3752;2,716;34436,64;13187;301403
18/05/01;23,85607037;102462;3752;2,6933;34436,64;13187;301403
21/05/01;23,85607037;102462;3752;2,6996;34436,64;13187;301403
22/05/01;23,85607037;102462;3752;2,75;34436,64;13187;301403
23/05/01;23,85607037;102462;3752;2,7286;34436,64;13187;301403
24/05/01;23,85607037;102462;3752;2,7589;34436,64;13187;301403
25/05/01;23,85607037;102462;3752;2,7362;34436,64;13187;301403
29/05/01;23,85607037;102462;3752;2,6807;34436,64;13187;301403
30/05/01;23,85607037;102462;3752;2,6366;34436,64;13187;301403
31/05/01;23,85607037;102462;3752;2,6656;34436,64;13187;301403
01/06/01;23,85607037;102462;3752;2,6706;34436,64;13187;301403
04/06/01;23,85607037;102462;3752;2,7085;34436,64;13187;301403
05/06/01;23,85607037;102462;3752;2,7349;34436,64;13187;301403
06/06/01;23,85607037;102462;3752;2,7891;34436,64;13187;301403
07/06/01;23,85607037;102462;3752;2,866;34436,64;13187;301403
08/06/01;23,85607037;102462;3752;2,8294;34436,64;13187;301403
11/06/01;23,85607037;102462;3752;2,7816;34436,64;13187;301403
12/06/01;23,85607037;102462;3752;2,7362;34436,64;13187;301403
13/06/01;23,85607037;102462;3752;2,803;34436,64;13187;301403
14/06/01;23,85607037;102462;3752;2,832;34436,64;13187;301403
15/06/01;23,85607037;102462;3752;2,7904;34436,64;13187;301403
18/06/01;23,85607037;102462;3752;2,7349;34436,64;13187;301403
19/06/01;23,85607037;102462;3752;2,7412;34436,64;13187;301403
20/06/01;23,85607037;102462;3752;2,7853;34436,64;13187;301403
21/06/01;23,85607037;102462;3752;2,7412;34436,64;13187;301403
22/06/01;23,85607037;102462;3752;2,8383;34436,64;13187;301403
25/06/01;23,85607037;102462;3752;2,8584;34436,64;13187;301403
26/06/01;23,85607037;102462;3752;2,7412;34436,64;13187;301403
27/06/01;23,85607037;102462;3752;2,7904;34436,64;13187;301403
28/06/01;23,85607037;102462;3752;2,7866;34436,64;13187;301403
29/06/01;23,85607037;102462;3752;2,7475;34436,64;13187;301403
02/07/01;23,85607037;102462;3752;2,8231;34436,64;13187;301403
03/07/01;23,85607037;102462;3752;2,7942;34436,64;13187;301403
04/07/01;23,85607037;102462;3752;2,8093;34436,64;13187;301403
05/07/01;23,85607037;102462;3752;2,7374;34436,64;13187;301403
06/07/01;23,85607037;102462;3752;2,6139;34436,64;13187;301403
09/07/01;23,85607037;102462;3752;2,5774;34436,64;13187;301403
10/07/01;23,85607037;102462;3752;2,6152;34436,64;13187;301403
11/07/01;23,85607037;102462;3752;2,5711;34436,64;13187;301403
12/07/01;23,85607037;102462;3752;2,648;34436,64;13187;301403
13/07/01;23,85607037;102462;3752;2,6568;34436,64;13187;301403
16/07/01;23,85607037;102462;3752;2,6467;34436,64;13187;301403
17/07/01;23,85607037;102462;3752;2,5938;34436,64;13187;301403
18/07/01;23,85607037;102462;3752;2,59;34436,64;13187;301403
19/07/01;23,85607037;102462;3752;2,6316;34436,64;13187;301403
20/07/01;23,85607037;102462;3752;2,6328;34436,64;13187;301403
23/07/01;23,85607037;102462;3752;2,6681;34436,64;13187;301403
24/07/01;23,85607037;102462;3752;2,6454;34436,64;13187;301403
25/07/01;23,85607037;102462;3752;2,5333;34436,64;13187;301403
26/07/01;23,85607037;102462;3752;2,4576;34436,64;13187;301403
27/07/01;23,85607037;102462;3752;2,4992;34436,64;13187;301403
30/07/01;23,85607037;102462;3752;2,5648;34436,64;13187;301403
31/07/01;23,85607037;102462;3752;2,6228;34436,64;13187;301403
01/08/01;23,85607037;102462;3752;2,6202;34436,64;13187;301403
02/08/01;23,85607037;102462;3752;2,7236;34436,64;13187;301403
03/08/01;23,85607037;102462;3752;2,7526;34436,64;13187;301403
06/08/01;23,85607037;102462;3752;2,7236;34436,64;13187;301403
07/08/01;23,85607037;102462;3752;2,7576;34436,64;13187;301403
08/08/01;23,85607037;102462;3752;2,7475;34436,64;13187;301403
09/08/01;23,85607037;102462;3752;2,7185;34436,64;13187;301403
10/08/01;23,85607037;102462;3752;2,7437;34436,64;13187;301403
13/08/01;23,85607037;102462;3752;2,7727;34436,64;13187;301403
14/08/01;23,85607037;102462;3752;2,8269;34436,64;13187;301403
15/08/01;23,85607037;102462;3752;2,832;34436,64;13187;301403
16/08/01;23,85607037;102462;3752;2,8534;34436,64;13187;301403
17/08/01;23,85607037;102462;3752;2,8307;34436,64;13187;301403
20/08/01;23,85607037;102462;3752;2,837;34436,64;13187;301403
21/08/01;23,85607037;102462;3752;2,8773;34436,64;13187;301403
22/08/01;23,85607037;102462;3752;2,8635;34436,64;13187;301403
23/08/01;23,85607037;102462;3752;2,7853;34436,64;13187;301403
24/08/01;23,85607037;102462;3752;2,8194;34436,64;13187;301403
28/08/01;23,85607037;102462;3752;2,7828;34436,64;13187;301403
29/08/01;23,85607037;102462;3752;2,7816;34436,64;13187;301403
30/08/01;23,85607037;102462;3752;2,658;34436,64;13187;301403
31/08/01;23,85607037;102462;3752;2,6341;34436,64;13187;301403
03/09/01;23,85607037;102462;3752;2,653;34436,64;13187;301403
04/09/01;23,85607037;102462;3752;2,6795;34436,64;13187;301403
