Year,Quarter,MVA,DELTA_MVA
2001,2,821522.9071463558,-1.4170672639100882e-16
2001,3,821522.907146356,1.4170672639100885e-16
2001,4,823237.7926241441,0.0020874469389356347
2002,1,933881.3024732094,0.1344004257826639
2002,2,922936.3228170132,-0.011719883059239407
2002,3,233505.35009538755,-0.746997334136037
2002,4,240162.4379696122,0.028509359085370868
2003,1,671456.9895633593,1.7958451589682767
2003,2,673815.2727033888,0.0035121879385946815
2003,3,820636.6036992928,0.2178955226212781
2003,4,821611.8391946668,0.0011883889787244117
2004,1,880213.3268295476,0.07132502824243774
2004,2,880476.9738093584,0.0002995262304882614
2004,3,890294.6312704952,0.011150385249327984
2004,4,895873.7887313295,0.006266641699133365
2005,1,1280430.4188869616,0.4292531325201655
2005,2,1291101.9538033507,0.008334334110607486
2005,3,1936097.1280507082,0.4995695129631858
2005,4,1938492.0700234273,0.0012369947447472861
2006,1,2087491.3419171197,0.0768634931232356
2006,2,2088730.4890633118,0.0005936058853562156
2006,3,2163271.451460114,0.035687209425582796
2006,4,2167317.1554217753,0.0018701785940596642
2007,1,2383458.244323984,0.09972748490524724
2007,2,2385520.7424991378,0.000865338497146174
2007,3,2498907.850464568,0.04753138631133543
2007,4,2486568.0791567033,-0.0049380657656386264
2008,1,1740051.7828163567,-0.30021952851317896
2008,2,1732782.6149578032,-0.004177558352193456
2008,3,1164016.6554350448,-0.3282384960542838
2008,4,1156532.644818267,-0.006429470387587014
2009,1,715840.17542109,-0.3810462863903213
2009,2,705429.3133530108,-0.014543556544524806
2009,3,1276229.4931223465,0.8091529072647083
2009,4,1647649.617103674,0.2910292592225191
2010,1,916671.1233910095,-0.443649235932587
2010,2,1251870.6830303662,0.3656704690329555
2010,3,1037131.3602387556,-0.17153474851875075
2010,4,1143257.032955207,0.10232616309280282
2011,1,927355.37078708,-0.18884787580098444
2011,2,981628.4608476674,0.05852458698171323
2011,3,893445.733226638,-0.08983309993363556
2011,4,565930.2208965534,-0.36657571931904304
2012,1,603501.0319962457,0.0663877094956552
2012,2,800143.0783043643,0.32583547646583294
2012,3,636359.1036533791,-0.2046933593402702
2012,4,809089.7593984142,0.2714358209906593
2013,1,948277.5471300634,0.1720300944547118
2013,2,1123368.8238215293,0.1846413818626993
2013,3,1084518.959216688,-0.034583356579791766
2013,4,994411.2677222562,-0.0830853999634212
2014,1,1168547.3134505695,0.17511471498827616
2014,2,959833.9684785526,-0.1786092377857712
2014,3,866171.193865652,-0.09758226702620972
2014,4,921446.6486994401,0.06381585444685388
2015,1,990477.2426347875,0.07491545390368443
2015,2,1008408.0313413531,0.01810318090587078
2015,3,1023512.524953667,0.014978553465329255
2015,4,891748.1184495242,-0.12873746367696634
2016,1,776117.5674590524,-0.12966727778637505
2016,2,537438.6757212316,-0.30752929935504053
2016,3,534754.5046868008,-0.004994376392485617
