Date;PX_LAST
05/04/94;119,873
06/04/94;120,548
07/04/94;120,323
08/04/94;118,299
11/04/94;118,974
12/04/94;118,524
13/04/94;117,4
14/04/94;118,299
15/04/94;118,974
18/04/94;116,725
19/04/94;117,4
20/04/94;116,05
21/04/94;114,476
22/04/94;116,05
25/04/94;114,476
26/04/94;116,05
27/04/94;116,5
28/04/94;114,701
29/04/94;114,926
03/05/94;113,351
04/05/94;112,227
05/05/94;115,15
06/05/94;116,725
09/05/94;117,624
10/05/94;120,886
11/05/94;120,773
12/05/94;122,347
13/05/94;121,448
16/05/94;120,773
17/05/94;120,773
18/05/94;122,122
19/05/94;122,122
20/05/94;122,797
23/05/94;121,673
24/05/94;121,673
25/05/94;118,524
26/05/94;117,624
27/05/94;113,801
31/05/94;113,576
01/06/94;112,452
02/06/94;114,926
03/06/94;120,548
06/06/94;121,673
07/06/94;121,673
08/06/94;123,472
09/06/94;123,697
10/06/94;122,797
13/06/94;123,472
14/06/94;123,697
15/06/94;125,946
16/06/94;125,496
17/06/94;126,283
20/06/94;122,797
21/06/94;119,536
22/06/94;121,223
23/06/94;120,323
24/06/94;116,95
27/06/94;118,074
28/06/94;117,4
29/06/94;120,323
30/06/94;116,725
01/07/94;119,199
04/07/94;121,448
05/07/94;121,223
06/07/94;118,749
07/07/94;118,974
08/07/94;117,4
11/07/94;118,974
12/07/94;118,299
13/07/94;119,649
14/07/94;121,223
15/07/94;124,596
18/07/94;124,821
19/07/94;124,596
20/07/94;122,797
21/07/94;122,572
22/07/94;122,572
25/07/94;121,898
26/07/94;123,922
27/07/94;122,347
28/07/94;122,572
29/07/94;124,596
01/08/94;125,271
02/08/94;127,745
03/08/94;125,946
04/08/94;125,271
05/08/94;125,721
08/08/94;126,845
09/08/94;127,745
10/08/94;126,621
11/08/94;123,359
12/08/94;123,022
15/08/94;122,347
16/08/94;122,572
17/08/94;125,946
18/08/94;125,608
19/08/94;126,845
22/08/94;127,295
23/08/94;127,745
24/08/94;128,195
25/08/94;130,219
26/08/94;132,018
30/08/94;131,793
31/08/94;131,568
01/09/94;130,219
02/09/94;131,793
05/09/94;133,817
06/09/94;133,817
07/09/94;134,717
08/09/94;132,468
09/09/94;131,568
12/09/94;133,817
13/09/94;133,817
14/09/94;131,568
15/09/94;133,593
16/09/94;131,793
19/09/94;133,143
20/09/94;129,994
21/09/94;127,633
22/09/94;124,596
23/09/94;125,721
26/09/94;125,046
27/09/94;125,946
28/09/94;127,52
29/09/94;125,721
30/09/94;128,307
03/10/94;125,721
04/10/94;126,621
05/10/94;123,922
06/10/94;123,697
07/10/94;121,898
10/10/94;124,372
11/10/94;126,396
12/10/94;126,621
13/10/94;128,87
14/10/94;127,295
17/10/94;128,307
18/10/94;126,845
19/10/94;127,52
20/10/94;128,195
21/10/94;128,645
24/10/94;128,645
25/10/94;127,52
26/10/94;127,97
27/10/94;129,319
28/10/94;130,894
31/10/94;131,119
01/11/94;132,018
02/11/94;131,119
03/11/94;133,143
04/11/94;132,243
07/11/94;132,018
08/11/94;132,468
09/11/94;134,492
10/11/94;136,516
11/11/94;136,404
14/11/94;136,179
15/11/94;137,641
16/11/94;138,54
17/11/94;135,842
18/11/94;135,617
21/11/94;132,693
22/11/94;131,344
23/11/94;130,444
24/11/94;131,906
25/11/94;132,018
28/11/94;134,267
29/11/94;133,817
30/11/94;136,854
01/12/94;134,717
02/12/94;134,717
05/12/94;135,842
06/12/94;134,942
07/12/94;134,717
08/12/94;135,392
09/12/94;133,593
12/12/94;132,693
13/12/94;132,693
14/12/94;132,918
15/12/94;133,143
16/12/94;135,954
19/12/94;136,966
20/12/94;137,191
21/12/94;138,091
22/12/94;138,765
23/12/94;138,091
28/12/94;138,316
29/12/94;137,416
30/12/94;137,303
03/01/95;137,641
04/01/95;136,966
05/01/95;136,291
06/01/95;136,966
09/01/95;134,042
10/01/95;132,468
11/01/95;129,544
12/01/95;131,119
13/01/95;132,018
16/01/95;132,468
17/01/95;131,568
18/01/95;132,018
19/01/95;130,444
20/01/95;128,195
23/01/95;126,845
24/01/95;127,295
25/01/95;127,745
26/01/95;131,344
27/01/95;130,894
30/01/95;130,669
31/01/95;130,219
01/02/95;131,906
02/02/95;132,468
03/02/95;132,918
06/02/95;133,143
07/02/95;134,042
08/02/95;134,717
09/02/95;135,617
10/02/95;137,641
13/02/95;137,866
14/02/95;138,091
15/02/95;139,215
16/02/95;137,416
17/02/95;136,066
20/02/95;136,066
21/02/95;135,167
22/02/95;134,267
23/02/95;138,091
24/02/95;138,765
27/02/95;138,54
28/02/95;136,291
01/03/95;138,765
02/03/95;137,191
03/03/95;136,516
06/03/95;136,291
07/03/95;131,006
08/03/95;132,468
09/03/95;134,717
10/03/95;135,954
13/03/95;133,368
14/03/95;134,717
15/03/95;133,368
16/03/95;135,617
17/03/95;134,38
20/03/95;136,741
21/03/95;137,416
22/03/95;137,416
23/03/95;136,966
24/03/95;139,215
27/03/95;140,34
28/03/95;138,54
29/03/95;139,215
30/03/95;141,014
31/03/95;140,115
03/04/95;140,115
04/04/95;142,139
05/04/95;144,163
06/04/95;146,412
07/04/95;145,625
10/04/95;146,637
11/04/95;145,288
12/04/95;148,661
13/04/95;147,761
18/04/95;145,962
19/04/95;142,589
20/04/95;141,464
21/04/95;142,589
24/04/95;143,713
25/04/95;143,938
26/04/95;145,512
27/04/95;144,838
28/04/95;143,713
01/05/95;143,938
02/05/95;146,637
03/05/95;147,087
04/05/95;145,512
05/05/95;143,938
