Year,Quarter,MVA,DELTA_MVA
1999,3,28425.455071389584,0.0021860313623606148
1999,4,32634.580669543655,0.1480759265799964
2000,1,36284.08215804935,0.11182927476410341
2000,2,34110.78194452506,-0.05989679452432182
2000,3,66693.31617562496,0.9551975174327411
2000,4,53115.88000422864,-0.2035801629003207
2001,1,60825.35022319732,0.14514435642137374
2001,2,73255.00721128494,0.20434994525271563
2001,3,59858.00131194765,-0.1828817770872253
2001,4,62998.59208890889,0.05246735119995356
2002,1,61376.202343977304,-0.02575279369167381
2002,2,58953.143931193285,-0.03947879341253814
2002,3,59749.143079998044,0.013502234074807008
2002,4,62249.80945830307,0.04185275720116832
2003,1,65736.17056182418,0.056005972289062046
2003,2,67861.39100855871,0.03232954442844798
2003,3,66862.1599356647,-0.014724588724802045
2003,4,69030.70348880294,0.03243304666233979
2004,1,68849.20568553424,-0.0026292329948244906
2004,2,62355.43018738608,-0.09431881506096372
2004,3,84463.07001841882,0.35454233519994066
2004,4,78421.7753379167,-0.07152587135637739
2005,1,77061.95594210217,-0.017339819073912993
2005,2,72764.74785385381,-0.05576302905517887
2005,3,75199.41529649265,0.03345943625790889
2005,4,77083.61031524917,0.0250559796419641
2006,1,77968.43278989577,0.011478736803166563
2006,2,78713.8944257801,0.009561069899829272
2006,3,77265.82093131848,-0.018396669419361862
2006,4,78808.80519620278,0.019969816489180402
2007,1,79406.25779573515,0.007581038667506035
2007,2,81055.37541207024,0.02076810647061702
2007,3,82165.92474075174,0.013701118809649332
2007,4,85546.44713808333,0.041142631912167285
2008,1,82178.32093246788,-0.039371900508958
2008,2,88360.00468467662,0.0752228042878693
2008,3,104588.20289709297,0.1836599971936244
2008,4,94066.54273983432,-0.10060083131566172
2009,1,93375.59969469583,-0.007345258207793045
2009,2,91442.70502607342,-0.02070021156428734
2009,3,96817.20560585111,0.05877451436115358
2009,4,99576.09794193208,0.02849588891578419
2010,1,95984.83494481034,-0.03606551242062115
2010,2,96810.09279336753,0.008597794110201847
2010,3,96871.02544803303,0.0006294039485693073
2010,4,99255.87707161832,0.024618833263664104
2011,1,82071.47635700223,-0.17313232446897467
2011,2,113339.98692323963,0.38099120369448075
2011,3,99260.52123449872,-0.12422328668765714
2011,4,97517.3243761618,-0.017561834621225576
2012,1,74346.9964839656,-0.2376021700802551
2012,2,94639.95847701616,0.27294931809958367
2012,3,84184.81900292687,-0.1104727817122656
2012,4,89314.3726065071,0.0609320500338889
2013,1,91324.10524881464,0.022501783124669474
2013,2,73995.64317785866,-0.1897468584416369
2013,3,86248.7445360255,0.16559220018825746
2013,4,82369.20706177062,-0.04498079937423806
2014,1,80409.45987135907,-0.023792230862947253
2014,2,83072.05970490213,0.033113017271882594
2014,3,82436.58115415194,-0.0076497266711288096
2014,4,103177.17639940484,0.2515945585670167
2015,1,72281.74212032165,-0.2994405871264122
2015,2,80186.92191851267,0.10936620460851508
2015,3,79430.380322627,-0.0094347254862144
2015,4,79037.52989983167,-0.00494584592443924
2016,1,74654.72313004617,-0.0554522234606782
2016,2,75323.53991030234,0.008958800625261283
2016,3,70897.39953284792,-0.058761714899820225
