Date;PX_LAST
03/01/95;2,1268
04/01/95;2,1396
05/01/95;2,1236
09/01/95;2,1012
10/01/95;2,0659
11/01/95;2,0466
12/01/95;2,053
13/01/95;2,0787
16/01/95;2,1044
17/01/95;2,1012
18/01/95;2,0851
19/01/95;2,0979
20/01/95;2,0947
23/01/95;2,0498
24/01/95;2,0723
25/01/95;2,1012
26/01/95;2,1204
27/01/95;2,13
30/01/95;2,1204
31/01/95;2,1204
01/02/95;2,1493
02/02/95;2,1364
03/02/95;2,1814
06/02/95;2,1878
07/02/95;2,1717
08/02/95;2,1717
09/02/95;2,207
10/02/95;2,2487
13/02/95;2,2423
14/02/95;2,268
15/02/95;2,2423
16/02/95;2,1974
17/02/95;2,1942
20/02/95;2,1814
21/02/95;2,1749
22/02/95;2,1589
23/02/95;2,207
24/02/95;2,2198
27/02/95;2,1749
28/02/95;2,1878
01/03/95;2,1942
02/03/95;2,2295
03/03/95;2,2134
06/03/95;2,2263
07/03/95;2,1493
08/03/95;2,1172
09/03/95;2,053
10/03/95;2,037
13/03/95;2,0306
14/03/95;2,0466
15/03/95;2,0466
16/03/95;2,0562
17/03/95;2,053
20/03/95;2,0627
21/03/95;2,0691
22/03/95;2,053
23/03/95;2,0338
24/03/95;2,0402
27/03/95;2,0627
28/03/95;2,0466
29/03/95;2,0466
30/03/95;2,0723
31/03/95;2,0659
03/04/95;2,0627
04/04/95;2,0947
05/04/95;2,1108
06/04/95;2,1108
07/04/95;2,1493
10/04/95;2,1525
11/04/95;2,1429
12/04/95;2,1236
17/04/95;2,1364
18/04/95;2,1268
19/04/95;2,1364
20/04/95;2,114
21/04/95;2,1204
24/04/95;2,1044
25/04/95;2,1044
26/04/95;2,1236
27/04/95;2,1236
28/04/95;2,13
02/05/95;2,1364
03/05/95;2,1621
04/05/95;2,1749
05/05/95;2,1653
08/05/95;2,2134
09/05/95;2,2327
10/05/95;2,2712
11/05/95;2,268
12/05/95;2,2423
15/05/95;2,2455
16/05/95;2,268
17/05/95;2,2648
18/05/95;2,268
19/05/95;2,2615
22/05/95;2,2904
23/05/95;2,361
24/05/95;2,345
25/05/95;2,3032
26/05/95;2,2968
29/05/95;2,2904
30/05/95;2,2808
31/05/95;2,268
01/06/95;2,2968
02/06/95;2,2968
05/06/95;2,284
06/06/95;2,268
07/06/95;2,2712
08/06/95;2,2904
09/06/95;2,2904
12/06/95;2,2744
13/06/95;2,2776
14/06/95;2,2776
15/06/95;2,2615
16/06/95;2,2327
19/06/95;2,2487
20/06/95;2,2423
21/06/95;2,2391
22/06/95;2,2776
23/06/95;2,2744
26/06/95;2,2615
27/06/95;2,284
28/06/95;2,2615
29/06/95;2,2455
30/06/95;2,2423
03/07/95;2,2391
04/07/95;2,2551
05/07/95;2,2583
06/07/95;2,2744
07/07/95;2,3257
10/07/95;2,3321
11/07/95;2,3417
12/07/95;2,3353
13/07/95;2,3225
14/07/95;2,3225
17/07/95;2,3289
18/07/95;2,3129
19/07/95;2,3353
20/07/95;2,3321
21/07/95;2,3289
24/07/95;2,3321
25/07/95;2,3353
26/07/95;2,3482
27/07/95;2,4059
28/07/95;2,4059
31/07/95;2,3995
01/08/95;2,4027
02/08/95;2,438
03/08/95;2,438
04/08/95;2,438
07/08/95;2,4348
08/08/95;2,438
09/08/95;2,4316
10/08/95;2,438
11/08/95;2,4957
14/08/95;2,4829
16/08/95;2,4957
17/08/95;2,4893
18/08/95;2,4861
21/08/95;2,4829
22/08/95;2,4701
23/08/95;2,4701
24/08/95;2,4733
25/08/95;2,4797
28/08/95;2,454
29/08/95;2,4476
30/08/95;2,438
31/08/95;2,4348
01/09/95;2,438
04/09/95;2,4412
05/09/95;2,4412
06/09/95;2,4701
07/09/95;2,4572
08/09/95;2,4636
11/09/95;2,4861
12/09/95;2,5021
13/09/95;2,5021
14/09/95;2,5021
15/09/95;2,4957
18/09/95;2,4861
19/09/95;2,4957
20/09/95;2,4893
21/09/95;2,4829
22/09/95;2,4251
25/09/95;2,4251
26/09/95;2,4412
27/09/95;2,4316
28/09/95;2,4187
