Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
03/01/00;23,1994;11061,9258;878,0788;3,5041;5510,0009;1563,896;32165,2368
04/01/00;23,1994;11061,9258;878,0788;3,4337;5510,0009;1563,896;32165,2368
05/01/00;23,1994;11061,9258;878,0788;3,3634;5510,0009;1563,896;32165,2368
06/01/00;23,1994;11061,9258;878,0788;3,4401;5510,0009;1563,896;32165,2368
07/01/00;23,1994;11061,9258;878,0788;3,4465;5510,0009;1563,896;32165,2368
10/01/00;23,1994;11061,9258;878,0788;3,5296;5510,0009;1563,896;32165,2368
11/01/00;23,1994;11061,9258;878,0788;3,536;5510,0009;1563,896;32165,2368
12/01/00;23,1994;11061,9258;878,0788;3,7407;5510,0009;1563,896;32165,2368
13/01/00;23,1994;11061,9258;878,0788;3,7726;5510,0009;1563,896;32165,2368
14/01/00;23,1994;11061,9258;878,0788;3,7343;5510,0009;1563,896;32165,2368
17/01/00;23,1994;11061,9258;878,0788;3,7343;5510,0009;1563,896;32165,2368
18/01/00;23,1994;11061,9258;878,0788;3,7726;5510,0009;1563,896;32165,2368
19/01/00;23,1994;11061,9258;878,0788;3,7279;5510,0009;1563,896;32165,2368
20/01/00;23,1994;11061,9258;878,0788;3,7023;5510,0009;1563,896;32165,2368
21/01/00;23,1994;11061,9258;878,0788;3,6831;5510,0009;1563,896;32165,2368
24/01/00;23,1994;11061,9258;878,0788;3,7087;5510,0009;1563,896;32165,2368
25/01/00;23,1994;11061,9258;878,0788;3,7407;5510,0009;1563,896;32165,2368
26/01/00;23,1994;11061,9258;878,0788;3,7726;5510,0009;1563,896;32165,2368
27/01/00;23,1994;11061,9258;878,0788;3,7598;5510,0009;1563,896;32165,2368
28/01/00;23,1994;11061,9258;878,0788;3,7087;5510,0009;1563,896;32165,2368
31/01/00;23,1994;11061,9258;878,0788;3,6639;5510,0009;1563,896;32165,2368
01/02/00;23,1994;11061,9258;878,0788;3,6639;5510,0009;1563,896;32165,2368
02/02/00;23,1994;11061,9258;878,0788;3,6511;5510,0009;1563,896;32165,2368
03/02/00;23,1994;11061,9258;878,0788;3,6511;5510,0009;1563,896;32165,2368
04/02/00;23,1994;11061,9258;878,0788;3,632;5510,0009;1563,896;32165,2368
07/02/00;23,1994;11061,9258;878,0788;3,6128;5510,0009;1563,896;32165,2368
08/02/00;23,1994;11061,9258;878,0788;3,6;5510,0009;1563,896;32165,2368
09/02/00;23,1994;11061,9258;878,0788;3,5936;5510,0009;1563,896;32165,2368
10/02/00;23,1994;11061,9258;878,0788;3,6;5510,0009;1563,896;32165,2368
11/02/00;23,1994;11061,9258;878,0788;3,6;5510,0009;1563,896;32165,2368
14/02/00;23,1994;11061,9258;878,0788;3,5872;5510,0009;1563,896;32165,2368
15/02/00;23,1994;11061,9258;878,0788;3,5936;5510,0009;1563,896;32165,2368
16/02/00;23,1994;11061,9258;878,0788;3,5744;5510,0009;1563,896;32165,2368
17/02/00;23,1994;11061,9258;878,0788;3,5552;5510,0009;1563,896;32165,2368
18/02/00;23,1994;11061,9258;878,0788;3,5488;5510,0009;1563,896;32165,2368
21/02/00;23,1994;11061,9258;878,0788;3,5169;5510,0009;1563,896;32165,2368
22/02/00;23,1994;11061,9258;878,0788;3,4785;5510,0009;1563,896;32165,2368
23/02/00;23,1994;11061,9258;878,0788;3,4849;5510,0009;1563,896;32165,2368
24/02/00;23,1994;11061,9258;878,0788;3,4593;5510,0009;1563,896;32165,2368
25/02/00;23,1994;11061,9258;878,0788;3,4657;5510,0009;1563,896;32165,2368
28/02/00;23,1994;11061,9258;878,0788;3,4721;5510,0009;1563,896;32165,2368
29/02/00;23,1994;11061,9258;878,0788;3,4721;5510,0009;1563,896;32165,2368
01/03/00;23,1994;11061,9258;878,0788;3,4593;5510,0009;1563,896;32165,2368
02/03/00;23,1994;11061,9258;878,0788;3,4657;5510,0009;1563,896;32165,2368
03/03/00;23,1994;11061,9258;878,0788;3,4721;5510,0009;1563,896;32165,2368
06/03/00;23,1994;11061,9258;878,0788;3,4721;5510,0009;1563,896;32165,2368
08/03/00;23,1994;11061,9258;878,0788;3,4209;5510,0009;1563,896;32165,2368
09/03/00;23,1994;11061,9258;878,0788;3,389;5510,0009;1563,896;32165,2368
10/03/00;23,1994;11061,9258;878,0788;3,4401;5510,0009;1563,896;32165,2368
13/03/00;23,1994;11061,9258;878,0788;3,4209;5510,0009;1563,896;32165,2368
14/03/00;23,1994;11061,9258;878,0788;3,4337;5510,0009;1563,896;32165,2368
15/03/00;23,1994;11061,9258;878,0788;3,5105;5510,0009;1563,896;32165,2368
16/03/00;23,1994;11061,9258;878,0788;3,5552;5510,0009;1563,896;32165,2368
17/03/00;23,1994;11061,9258;878,0788;3,5744;5510,0009;1563,896;32165,2368
20/03/00;23,1994;11061,9258;878,0788;3,5616;5510,0009;1563,896;32165,2368
21/03/00;23,1994;11061,9258;878,0788;3,568;5510,0009;1563,896;32165,2368
22/03/00;23,1994;11061,9258;878,0788;3,5744;5510,0009;1563,896;32165,2368
23/03/00;23,1994;11061,9258;878,0788;3,5424;5510,0009;1563,896;32165,2368
24/03/00;23,1994;11061,9258;878,0788;3,5808;5510,0009;1563,896;32165,2368
27/03/00;23,1994;11061,9258;878,0788;3,568;5510,0009;1563,896;32165,2368
28/03/00;23,1994;11061,9258;878,0788;3,5744;5510,0009;1563,896;32165,2368
29/03/00;23,1994;11061,9258;878,0788;3,5872;5510,0009;1563,896;32165,2368
30/03/00;23,1994;11061,9258;878,0788;3,5872;5510,0009;1563,896;32165,2368
31/03/00;29,8276;13106,5996;967,3;4,1864;5610;1126,3;42440,0995
03/04/00;29,8276;13106,5996;967,3;4,7856;5610;1126,3;42440,0995
04/04/00;29,8276;13106,5996;967,3;4,6879;5610;1126,3;42440,0995
05/04/00;29,8276;13106,5996;967,3;4,6524;5610;1126,3;42440,0995
