Year,Quarter,MVA,DELTA_MVA
2000,2,169992.2508177313,0.3235584448823339
2000,3,339798.66687168414,0.9989068044991195
2000,4,380783.5025682719,0.12061505736296656
2001,1,423856.2009487295,0.11311597821319741
2001,2,350269.6447210461,-0.17361207896209266
2001,3,274925.9844513423,-0.21510188337818223
2001,4,273645.63368096005,-0.004657074422912074
2002,1,298270.4046290784,0.08998780874694336
2002,2,284012.8135192411,-0.047800891032308994
2002,3,262703.4377086665,-0.07502962822883683
2002,4,162637.81681267553,-0.3809071619647474
2003,1,158445.9623213455,-0.025774168477422293
2003,2,112364.61354287631,-0.2908332159642619
2003,3,131392.86221530748,0.16934378246377663
2003,4,146751.13815589136,0.11688820596218513
2004,1,140124.32279924868,-0.045156824266692354
2004,2,189830.74788009422,0.3547308853157366
2004,3,208714.47537535804,0.0994766533143074
2004,4,175807.6679261228,-0.15766423191326184
2005,1,174913.75302754575,-0.0050846183737144855
2005,2,176397.25512089554,0.008481334758829184
2005,3,175558.3238748635,-0.004755920070621658
2005,4,186618.4293307563,0.06299960726314721
2006,1,200948.6255972765,0.07678875188217249
2006,2,215413.80370497692,0.07198445903626263
2006,3,175951.55491960043,-0.18319275787647565
2006,4,187691.60693700306,0.06672320698028016
2007,1,208734.70574796255,0.11211528930018917
2007,2,198824.0231617239,-0.04747980241582514
2007,3,306038.2514788582,0.5392418210445626
2007,4,224167.07468082893,-0.2675194241321337
2008,1,238400.49537510672,0.06349469793698949
2008,2,180258.8340586397,-0.24388230076865033
2008,3,136495.9323406807,-0.24277812483643693
2008,4,100402.63423878109,-0.26442764617933245
2009,1,71802.5371940224,-0.28485405050968016
2009,2,56381.31326760193,-0.21477268811197794
2009,3,65291.226179243386,0.15802953842796186
2009,4,82315.85515270088,0.2607491078007931
2010,1,64753.97304408305,-0.21334750244700096
2010,2,62574.20748205814,-0.033662267495787136
2010,3,48273.918516556834,-0.22853328137798018
2010,4,50877.17296524783,0.05392672748946497
2011,1,54165.269648587644,0.0646281326516664
2011,2,53598.018779308295,-0.010472593840288211
2011,3,49704.70901066734,-0.07263906124350959
2011,4,23789.88793195607,-0.5213755717420976
2012,1,19927.71197753888,-0.16234527734909057
2012,2,24767.416234364755,0.24286301720342268
2012,3,18591.467651504605,-0.24935780641870225
2012,4,13935.50658636368,-0.25043536919282
2013,1,42518.62451376725,2.0511000264154755
2013,2,57367.61657722139,0.34923500544205366
2013,3,62449.66637214559,0.0885874313443605
2013,4,62008.302867326376,-0.007067507810034942
2014,1,109896.97792406628,0.7722945612493703
2014,2,150267.69003481313,0.3673505211275341
2014,3,123892.4318309829,-0.17552181841432293
2014,4,124183.69558335995,0.002350940635134217
2015,1,64054.29632619863,-0.48419721264293236
2015,2,95343.46764966242,0.4884788861643666
2015,3,81516.45768343568,-0.14502314953588422
2015,4,43654.71886892949,-0.46446742032805205
2016,1,47029.733104029656,0.07731155583050318
2016,2,34765.06451708944,-0.26078541759551976
2016,3,18548.692154811295,-0.4664559835436714
