Date;PX_LAST
03/01/95;35,1374
04/01/95;34,846
05/01/95;34,4518
06/01/95;34,8803
09/01/95;36,0286
10/01/95;35,6516
11/01/95;34,7089
12/01/95;34,7089
13/01/95;34,6232
16/01/95;34,2803
17/01/95;34,2803
18/01/95;34,2461
19/01/95;34,0575
20/01/95;33,7661
23/01/95;32,9091
24/01/95;32,0521
25/01/95;32,5663
26/01/95;33,0463
27/01/95;33,3548
30/01/95;31,675
31/01/95;31,8293
01/02/95;32,652
02/02/95;33,9375
03/02/95;33,9375
06/02/95;33,9204
07/02/95;33,8518
08/02/95;33,5433
09/02/95;33,7661
10/02/95;33,7661
13/02/95;33,509
14/02/95;33,5947
15/02/95;33,4233
16/02/95;32,892
17/02/95;32,5663
20/02/95;32,2921
21/02/95;32,4806
22/02/95;32,3606
23/02/95;32,7035
24/02/95;33,0805
27/02/95;32,6006
01/03/95;32,9091
02/03/95;32,9091
03/03/95;32,8234
07/03/95;32,6349
08/03/95;32,3949
09/03/95;32,6863
10/03/95;32,7549
13/03/95;32,7377
14/03/95;33,1834
15/03/95;33,0463
16/03/95;33,1662
17/03/95;33,4233
20/03/95;33,2519
21/03/95;33,7661
22/03/95;33,4233
23/03/95;33,5947
24/03/95;33,5947
27/03/95;33,9375
28/03/95;33,5947
29/03/95;34,1946
30/03/95;34,7089
31/03/95;34,846
03/04/95;34,8803
04/04/95;34,9317
05/04/95;35,5659
06/04/95;35,3945
07/04/95;35,3088
10/04/95;35,2059
11/04/95;35,2059
12/04/95;35,2231
20/04/95;34,2803
21/04/95;34,2632
24/04/95;34,2803
26/04/95;34,2803
27/04/95;34,2803
28/04/95;34,6232
02/05/95;34,8803
03/05/95;34,7946
04/05/95;34,7089
05/05/95;34,4518
08/05/95;34,2803
09/05/95;34,1089
10/05/95;34,1604
11/05/95;34,486
12/05/95;34,7946
15/05/95;34,7946
16/05/95;34,7946
17/05/95;34,7946
18/05/95;34,4518
19/05/95;34,2803
22/05/95;34,2118
23/05/95;34,1089
24/05/95;34,1089
25/05/95;34,2803
26/05/95;33,9375
29/05/95;34,1089
30/05/95;33,8518
31/05/95;33,7661
01/06/95;33,9375
02/06/95;33,9375
06/06/95;34,2803
07/06/95;34,2632
08/06/95;34,2803
09/06/95;34,1775
12/06/95;34,1089
14/06/95;33,7661
16/06/95;33,7661
19/06/95;33,6976
20/06/95;33,4233
21/06/95;33,1662
22/06/95;33,4062
23/06/95;33,3376
26/06/95;33,4233
27/06/95;33,2519
28/06/95;33,2519
29/06/95;33,1834
30/06/95;33,1834
03/07/95;33,3376
04/07/95;33,6804
05/07/95;33,7661
06/07/95;33,9718
07/07/95;33,9375
10/07/95;34,2803
11/07/95;34,4518
12/07/95;34,7946
13/07/95;34,9488
14/07/95;34,6917
17/07/95;34,6232
18/07/95;34,4346
19/07/95;33,9375
20/07/95;33,8347
21/07/95;34,2803
24/07/95;34,4518
25/07/95;34,7603
26/07/95;33,4233
27/07/95;33,2348
28/07/95;32,9948
31/07/95;32,9091
01/08/95;32,9606
02/08/95;32,9434
03/08/95;32,9777
04/08/95;32,9777
07/08/95;32,7206
08/08/95;32,3778
09/08/95;32,3606
10/08/95;32,5663
11/08/95;32,7206
14/08/95;32,5663
16/08/95;32,7206
17/08/95;32,7549
18/08/95;32,7377
21/08/95;32,5663
22/08/95;32,2921
23/08/95;32,2235
24/08/95;32,2235
25/08/95;32,2235
28/08/95;32,3949
29/08/95;32,3092
30/08/95;32,4635
31/08/95;32,3264
01/09/95;32,2235
04/09/95;32,6006
05/09/95;32,5663
06/09/95;32,5663
07/09/95;32,652
08/09/95;32,4806
11/09/95;32,5663
12/09/95;32,5492
13/09/95;32,5492
14/09/95;32,5663
15/09/95;32,652
18/09/95;33,0805
19/09/95;33,0805
20/09/95;33,7661
21/09/95;34,0232
22/09/95;33,4405
25/09/95;33,5605
26/09/95;33,6804
27/09/95;33,8861
28/09/95;33,8176
29/09/95;34,1775
02/10/95;35,0517
03/10/95;35,5659
04/10/95;35,703
06/10/95;35,2916
09/10/95;34,606
10/10/95;34,2803
11/10/95;34,5203
12/10/95;34,726
13/10/95;35,1202
16/10/95;35,463
17/10/95;35,823
18/10/95;35,9944
19/10/95;35,823
20/10/95;35,6516
23/10/95;34,966
24/10/95;34,7089
25/10/95;34,7089
26/10/95;34,6746
27/10/95;34,2803
30/10/95;34,2632
31/10/95;34,5375
02/11/95;34,6746
03/11/95;34,4518
06/11/95;34,4518
07/11/95;34,9317
08/11/95;34,7946
09/11/95;34,1946
10/11/95;34,4518
13/11/95;34,6232
14/11/95;34,5375
15/11/95;33,9375
16/11/95;34,2975
17/11/95;34,4346
20/11/95;34,3661
21/11/95;34,1432
22/11/95;34,2632
23/11/95;34,1089
24/11/95;34,1089
27/11/95;34,0232
28/11/95;34,1089
29/11/95;33,8518
30/11/95;33,8518
04/12/95;33,9375
