Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
03/01/00;12,5301;453,1909;8,0051;2,2257;390,8551;184,2718;2162,3534
04/01/00;12,5301;453,1909;8,0051;2,2003;390,8551;184,2718;2162,3534
05/01/00;12,5301;453,1909;8,0051;2,1713;390,8551;184,2718;2162,3534
06/01/00;12,5301;453,1909;8,0051;2,1692;390,8551;184,2718;2162,3534
07/01/00;12,5301;453,1909;8,0051;2,1975;390,8551;184,2718;2162,3534
10/01/00;12,5301;453,1909;8,0051;2,2215;390,8551;184,2718;2162,3534
11/01/00;12,5301;453,1909;8,0051;2,1763;390,8551;184,2718;2162,3534
12/01/00;12,5301;453,1909;8,0051;2,2257;390,8551;184,2718;2162,3534
13/01/00;12,5301;453,1909;8,0051;2,4094;390,8551;184,2718;2162,3534
14/01/00;12,5301;453,1909;8,0051;2,4264;390,8551;184,2718;2162,3534
17/01/00;12,5301;453,1909;8,0051;2,4342;390,8551;184,2718;2162,3534
18/01/00;12,5301;453,1909;8,0051;2,3522;390,8551;184,2718;2162,3534
19/01/00;12,5301;453,1909;8,0051;2,3741;390,8551;184,2718;2162,3534
20/01/00;12,5301;453,1909;8,0051;2,3381;390,8551;184,2718;2162,3534
21/01/00;12,5301;453,1909;8,0051;2,3317;390,8551;184,2718;2162,3534
24/01/00;12,5301;453,1909;8,0051;2,4773;390,8551;184,2718;2162,3534
25/01/00;12,5301;453,1909;8,0051;2,4264;390,8551;184,2718;2162,3534
26/01/00;12,5301;453,1909;8,0051;2,3515;390,8551;184,2718;2162,3534
27/01/00;12,5301;453,1909;8,0051;2,3812;390,8551;184,2718;2162,3534
28/01/00;12,5301;453,1909;8,0051;2,3889;390,8551;184,2718;2162,3534
31/01/00;12,5301;453,1909;8,0051;2,2893;390,8551;184,2718;2162,3534
01/02/00;12,5301;453,1909;8,0051;2,3105;390,8551;184,2718;2162,3534
02/02/00;12,5301;453,1909;8,0051;2,3331;390,8551;184,2718;2162,3534
03/02/00;12,5301;453,1909;8,0051;2,3395;390,8551;184,2718;2162,3534
04/02/00;12,5301;453,1909;8,0051;2,367;390,8551;184,2718;2162,3534
07/02/00;12,5301;453,1909;8,0051;2,3388;390,8551;184,2718;2162,3534
08/02/00;12,5301;453,1909;8,0051;2,3091;390,8551;184,2718;2162,3534
09/02/00;12,5301;453,1909;8,0051;2,2964;390,8551;184,2718;2162,3534
10/02/00;12,5301;453,1909;8,0051;2,4539;390,8551;184,2718;2162,3534
11/02/00;12,5301;453,1909;8,0051;2,4723;390,8551;184,2718;2162,3534
14/02/00;12,5301;453,1909;8,0051;2,3543;390,8551;184,2718;2162,3534
15/02/00;12,5301;453,1909;8,0051;2,3126;390,8551;184,2718;2162,3534
16/02/00;12,5301;453,1909;8,0051;2,3974;390,8551;184,2718;2162,3534
17/02/00;12,5301;453,1909;8,0051;2,4334;390,8551;184,2718;2162,3534
18/02/00;12,5301;453,1909;8,0051;2,4377;390,8551;184,2718;2162,3534
21/02/00;12,5301;453,1909;8,0051;2,379;390,8551;184,2718;2162,3534
22/02/00;12,5301;453,1909;8,0051;2,4391;390,8551;184,2718;2162,3534
23/02/00;12,5301;453,1909;8,0051;2,3981;390,8551;184,2718;2162,3534
24/02/00;12,5301;453,1909;8,0051;2,379;390,8551;184,2718;2162,3534
25/02/00;12,5301;453,1909;8,0051;2,4024;390,8551;184,2718;2162,3534
28/02/00;12,5301;453,1909;8,0051;2,3861;390,8551;184,2718;2162,3534
29/02/00;12,5301;453,1909;8,0051;2,4108;390,8551;184,2718;2162,3534
01/03/00;12,5301;453,1909;8,0051;2,649;390,8551;184,2718;2162,3534
02/03/00;12,5301;453,1909;8,0051;2,8404;390,8551;184,2718;2162,3534
03/03/00;12,5301;453,1909;8,0051;2,8517;390,8551;184,2718;2162,3534
06/03/00;12,5301;453,1909;8,0051;2,7507;390,8551;184,2718;2162,3534
07/03/00;12,5301;453,1909;8,0051;2,6136;390,8551;184,2718;2162,3534
08/03/00;12,5301;453,1909;8,0051;2,6758;390,8551;184,2718;2162,3534
09/03/00;12,5301;453,1909;8,0051;2,7677;390,8551;184,2718;2162,3534
10/03/00;12,5301;453,1909;8,0051;2,8058;390,8551;184,2718;2162,3534
13/03/00;12,5301;453,1909;8,0051;2,7224;390,8551;184,2718;2162,3534
14/03/00;12,5301;453,1909;8,0051;2,6991;390,8551;184,2718;2162,3534
15/03/00;12,5301;453,1909;8,0051;2,579;390,8551;184,2718;2162,3534
16/03/00;12,5301;453,1909;8,0051;2,6073;390,8551;184,2718;2162,3534
17/03/00;12,5301;453,1909;8,0051;2,7203;390,8551;184,2718;2162,3534
20/03/00;12,5301;453,1909;8,0051;2,721;390,8551;184,2718;2162,3534
21/03/00;12,5301;453,1909;8,0051;2,6497;390,8551;184,2718;2162,3534
22/03/00;12,5301;453,1909;8,0051;2,6391;390,8551;184,2718;2162,3534
23/03/00;12,5301;453,1909;8,0051;2,6511;390,8551;184,2718;2162,3534
24/03/00;12,5301;453,1909;8,0051;2,6292;390,8551;184,2718;2162,3534
27/03/00;12,5301;453,1909;8,0051;2,6285;390,8551;184,2718;2162,3534
28/03/00;12,5301;453,1909;8,0051;2,7465;390,8551;184,2718;2162,3534
29/03/00;12,5301;453,1909;8,0051;2,6899;390,8551;184,2718;2162,3534
30/03/00;12,5301;453,1909;8,0051;2,7012;390,8551;184,2718;2162,3534
31/03/00;12,5301;453,1909;8,0051;2,7931;390,8551;184,2718;2162,3534
03/04/00;12,5301;453,1909;8,0051;2,6475;390,8551;184,2718;2162,3534
04/04/00;12,5301;453,1909;8,0051;2,5847;390,8551;184,2718;2162,3534
05/04/00;12,5301;453,1909;8,0051;2,5041;390,8551;184,2718;2162,3534
06/04/00;12,5301;453,1909;8,0051;2,6002;390,8551;184,2718;2162,3534
07/04/00;12,5301;453,1909;8,0051;2,5394;390,8551;184,2718;2162,3534
10/04/00;12,5301;453,1909;8,0051;2,5656;390,8551;184,2718;2162,3534
11/04/00;12,5301;453,1909;8,0051;2,5507;390,8551;184,2718;2162,3534
12/04/00;12,5301;453,1909;8,0051;2,6256;390,8551;184,2718;2162,3534
13/04/00;12,5301;453,1909;8,0051;2,6228;390,8551;184,2718;2162,3534
14/04/00;12,5301;453,1909;8,0051;2,5507;390,8551;184,2718;2162,3534
17/04/00;12,5301;453,1909;8,0051;2,5437;390,8551;184,2718;2162,3534
18/04/00;12,5301;453,1909;8,0051;2,6398;390,8551;184,2718;2162,3534
19/04/00;12,5301;453,1909;8,0051;2,6376;390,8551;184,2718;2162,3534
20/04/00;12,5301;453,1909;8,0051;2,7055;390,8551;184,2718;2162,3534
25/04/00;12,5301;453,1909;8,0051;2,6737;390,8551;184,2718;2162,3534
26/04/00;12,5301;453,1909;8,0051;2,6256;390,8551;184,2718;2162,3534
27/04/00;12,5301;453,1909;8,0051;2,668;390,8551;184,2718;2162,3534
28/04/00;12,5301;453,1909;8,0051;2,6596;390,8551;184,2718;2162,3534
02/05/00;12,5301;453,1909;8,0051;2,7443;390,8551;184,2718;2162,3534
03/05/00;12,5301;453,1909;8,0051;2,8171;390,8551;184,2718;2162,3534
04/05/00;12,5301;453,1909;8,0051;2,7924;390,8551;184,2718;2162,3534
05/05/00;12,5301;453,1909;8,0051;2,7627;390,8551;184,2718;2162,3534
08/05/00;12,5301;453,1909;8,0051;2,8199;390,8551;184,2718;2162,3534
09/05/00;12,5301;453,1909;8,0051;2,8242;390,8551;184,2718;2162,3534
10/05/00;12,5301;453,1909;8,0051;2,8369;390,8551;184,2718;2162,3534
11/05/00;12,5301;453,1909;8,0051;2,8715;390,8551;184,2718;2162,3534
12/05/00;12,5301;453,1909;8,0051;2,868;390,8551;184,2718;2162,3534
15/05/00;12,5301;453,1909;8,0051;2,8736;390,8551;184,2718;2162,3534
16/05/00;12,5301;453,1909;8,0051;2,9577;390,8551;184,2718;2162,3534
17/05/00;12,5301;453,1909;8,0051;2,9012;390,8551;184,2718;2162,3534
18/05/00;12,5301;453,1909;8,0051;2,9153;390,8551;184,2718;2162,3534
19/05/00;12,5301;453,1909;8,0051;2,8828;390,8551;184,2718;2162,3534
22/05/00;12,5301;453,1909;8,0051;2,897;390,8551;184,2718;2162,3534
23/05/00;12,5301;453,1909;8,0051;2,9252;390,8551;184,2718;2162,3534
24/05/00;12,5301;453,1909;8,0051;2,8743;390,8551;184,2718;2162,3534
25/05/00;12,5301;453,1909;8,0051;2,8828;390,8551;184,2718;2162,3534
26/05/00;12,5301;453,1909;8,0051;2,8878;390,8551;184,2718;2162,3534
29/05/00;12,5301;453,1909;8,0051;2,8729;390,8551;184,2718;2162,3534
30/05/00;12,5301;453,1909;8,0051;2,8849;390,8551;184,2718;2162,3534
31/05/00;12,5301;453,1909;8,0051;2,9613;390,8551;184,2718;2162,3534
01/06/00;12,5301;453,1909;8,0051;2,9351;390,8551;184,2718;2162,3534
02/06/00;12,5301;453,1909;8,0051;2,9266;390,8551;184,2718;2162,3534
05/06/00;12,5301;453,1909;8,0051;2,8927;390,8551;184,2718;2162,3534
06/06/00;12,5301;453,1909;8,0051;2,8772;390,8551;184,2718;2162,3534
07/06/00;12,5301;453,1909;8,0051;2,909;390,8551;184,2718;2162,3534
08/06/00;12,5301;453,1909;8,0051;2,9224;390,8551;184,2718;2162,3534
09/06/00;12,5301;453,1909;8,0051;2,8842;390,8551;184,2718;2162,3534
12/06/00;12,5301;453,1909;8,0051;2,8807;390,8551;184,2718;2162,3534
13/06/00;12,5301;453,1909;8,0051;2,9542;390,8551;184,2718;2162,3534
14/06/00;12,5301;453,1909;8,0051;2,897;390,8551;184,2718;2162,3534
15/06/00;12,5301;453,1909;8,0051;2,8659;390,8551;184,2718;2162,3534
16/06/00;12,5301;453,1909;8,0051;2,8588;390,8551;184,2718;2162,3534
19/06/00;12,5301;453,1909;8,0051;2,9167;390,8551;184,2718;2162,3534
20/06/00;12,5301;453,1909;8,0051;2,8835;390,8551;184,2718;2162,3534
21/06/00;12,5301;453,1909;8,0051;2,897;390,8551;184,2718;2162,3534
22/06/00;12,5301;453,1909;8,0051;2,8842;390,8551;184,2718;2162,3534
23/06/00;12,5301;453,1909;8,0051;2,8616;390,8551;184,2718;2162,3534
26/06/00;12,5301;453,1909;8,0051;2,8998;390,8551;184,2718;2162,3534
27/06/00;12,5301;453,1909;8,0051;2,8758;390,8551;184,2718;2162,3534
28/06/00;12,5301;453,1909;8,0051;2,8623;390,8551;184,2718;2162,3534
29/06/00;12,5301;453,1909;8,0051;2,8892;390,8551;184,2718;2162,3534
30/06/00;13,5801;719,965;6,744;2,8106;493,6712;187,154;2510,1481
03/07/00;13,5801;719,965;6,744;2,7932;493,6712;187,154;2510,1481
04/07/00;13,5801;719,965;6,744;2,8162;493,6712;187,154;2510,1481
05/07/00;13,5801;719,965;6,744;2,8036;493,6712;187,154;2510,1481
06/07/00;13,5801;719,965;6,744;2,748;493,6712;187,154;2510,1481
07/07/00;13,5801;719,965;6,744;2,716;493,6712;187,154;2510,1481
10/07/00;13,5801;719,965;6,744;2,7132;493,6712;187,154;2510,1481
11/07/00;13,5801;719,965;6,744;2,7466;493,6712;187,154;2510,1481
12/07/00;13,5801;719,965;6,744;2,7097;493,6712;187,154;2510,1481
13/07/00;13,5801;719,965;6,744;2,7007;493,6712;187,154;2510,1481
14/07/00;13,5801;719,965;6,744;2,6645;493,6712;187,154;2510,1481
17/07/00;13,5801;719,965;6,744;2,7132;493,6712;187,154;2510,1481
18/07/00;13,5801;719,965;6,744;2,8329;493,6712;187,154;2510,1481
19/07/00;13,5801;719,965;6,744;2,7063;493,6712;187,154;2510,1481
20/07/00;13,5801;719,965;6,744;2,7341;493,6712;187,154;2510,1481
21/07/00;13,5801;719,965;6,744;2,7849;493,6712;187,154;2510,1481
24/07/00;13,5801;719,965;6,744;2,7063;493,6712;187,154;2510,1481
25/07/00;13,5801;719,965;6,744;2,6993;493,6712;187,154;2510,1481
26/07/00;13,5801;719,965;6,744;2,7063;493,6712;187,154;2510,1481
27/07/00;13,5801;719,965;6,744;2,6812;493,6712;187,154;2510,1481
28/07/00;13,5801;719,965;6,744;2,6673;493,6712;187,154;2510,1481
31/07/00;13,5801;719,965;6,744;2,6694;493,6712;187,154;2510,1481
01/08/00;13,5801;719,965;6,744;2,7132;493,6712;187,154;2510,1481
02/08/00;13,5801;719,965;6,744;2,6923;493,6712;187,154;2510,1481
03/08/00;13,5801;719,965;6,744;2,7132;493,6712;187,154;2510,1481
04/08/00;13,5801;719,965;6,744;2,7097;493,6712;187,154;2510,1481
07/08/00;13,5801;719,965;6,744;2,7132;493,6712;187,154;2510,1481
08/08/00;13,5801;719,965;6,744;2,7132;493,6712;187,154;2510,1481
09/08/00;13,5801;719,965;6,744;2,748;493,6712;187,154;2510,1481
10/08/00;13,5801;719,965;6,744;2,732;493,6712;187,154;2510,1481
11/08/00;13,5801;719,965;6,744;2,7341;493,6712;187,154;2510,1481
14/08/00;13,5801;719,965;6,744;2,7132;493,6712;187,154;2510,1481
16/08/00;13,5801;719,965;6,744;2,7549;493,6712;187,154;2510,1481
17/08/00;13,5801;719,965;6,744;2,7619;493,6712;187,154;2510,1481
18/08/00;13,5801;719,965;6,744;2,748;493,6712;187,154;2510,1481
