Date;PX_LAST
05/05/95;1,4564
08/05/95;1,4719
09/05/95;1,3944
10/05/95;1,4461
11/05/95;1,4203
12/05/95;1,4461
15/05/95;1,4358
16/05/95;1,3996
17/05/95;1,4151
18/05/95;1,3944
19/05/95;1,3893
22/05/95;1,3686
24/05/95;1,3376
25/05/95;1,317
26/05/95;1,3118
29/05/95;1,3118
30/05/95;1,2911
31/05/95;1,3376
01/06/95;1,3221
02/06/95;1,317
05/06/95;1,2963
06/06/95;1,3015
07/06/95;1,2963
08/06/95;1,2963
09/06/95;1,2963
12/06/95;1,2911
13/06/95;1,2937
14/06/95;1,2911
16/06/95;1,3015
19/06/95;1,2937
20/06/95;1,2937
23/06/95;1,317
26/06/95;1,3118
27/06/95;1,2937
29/06/95;1,3144
30/06/95;1,317
03/07/95;1,3428
05/07/95;1,2911
06/07/95;1,317
07/07/95;1,2911
11/07/95;1,2911
12/07/95;1,2963
13/07/95;1,3015
14/07/95;1,2963
17/07/95;1,2911
19/07/95;1,2911
24/07/95;1,2911
25/07/95;1,2911
27/07/95;1,286
28/07/95;1,2782
31/07/95;1,2705
01/08/95;1,2782
02/08/95;1,2782
03/08/95;1,2782
04/08/95;1,2834
07/08/95;1,2911
08/08/95;1,2911
09/08/95;1,2911
10/08/95;1,2911
11/08/95;1,2911
16/08/95;1,286
17/08/95;1,2782
18/08/95;1,2808
21/08/95;1,2808
22/08/95;1,2808
23/08/95;1,2808
24/08/95;1,2911
28/08/95;1,2886
29/08/95;1,2886
30/08/95;1,2989
31/08/95;1,2911
04/09/95;1,3015
05/09/95;1,2937
06/09/95;1,2963
07/09/95;1,3041
08/09/95;1,2989
11/09/95;1,2989
12/09/95;1,2989
14/09/95;1,2937
15/09/95;1,2886
18/09/95;1,2911
19/09/95;1,2911
20/09/95;1,2911
21/09/95;1,2886
22/09/95;1,2911
25/09/95;1,2937
26/09/95;1,2911
27/09/95;1,2963
28/09/95;1,3015
29/09/95;1,317
02/10/95;1,3376
03/10/95;1,2911
04/10/95;1,2937
05/10/95;1,2911
06/10/95;1,2911
09/10/95;1,2911
10/10/95;1,2911
11/10/95;1,2911
12/10/95;1,2808
13/10/95;1,2782
16/10/95;1,2782
17/10/95;1,2808
18/10/95;1,2653
19/10/95;1,2756
20/10/95;1,2653
23/10/95;1,2653
24/10/95;1,2653
25/10/95;1,2653
26/10/95;1,2808
27/10/95;1,2653
30/10/95;1,2653
31/10/95;1,2653
02/11/95;1,2524
03/11/95;1,2808
06/11/95;1,2524
07/11/95;1,2524
08/11/95;1,2705
09/11/95;1,2756
10/11/95;1,2782
13/11/95;1,2756
14/11/95;1,2756
15/11/95;1,2886
16/11/95;1,256
17/11/95;1,2524
20/11/95;1,2653
21/11/95;1,2808
22/11/95;1,2808
23/11/95;1,2524
24/11/95;1,2524
27/11/95;1,2653
28/11/95;1,2653
29/11/95;1,2653
30/11/95;1,255
01/12/95;1,255
04/12/95;1,2524
05/12/95;1,2653
06/12/95;1,2653
07/12/95;1,2524
11/12/95;1,2782
12/12/95;1,2782
13/12/95;1,2782
14/12/95;1,2524
15/12/95;1,2834
18/12/95;1,2911
19/12/95;1,2705
20/12/95;1,2653
21/12/95;1,2653
22/12/95;1,2808
27/12/95;1,2782
28/12/95;1,2834
29/12/95;1,2911
02/01/96;1,2911
03/01/96;1,2653
04/01/96;1,2911
05/01/96;1,2911
08/01/96;1,2756
09/01/96;1,2911
10/01/96;1,2911
11/01/96;1,2911
12/01/96;1,2911
15/01/96;1,2808
16/01/96;1,2782
17/01/96;1,2653
18/01/96;1,286
19/01/96;1,2911
22/01/96;1,2963
23/01/96;1,2782
24/01/96;1,2782
25/01/96;1,286
26/01/96;1,286
29/01/96;1,2653
30/01/96;1,2756
31/01/96;1,2653
01/02/96;1,2653
02/02/96;1,2653
05/02/96;1,2653
06/02/96;1,2653
07/02/96;1,2627
08/02/96;1,366
09/02/96;1,4864
12/02/96;1,4926
13/02/96;1,4957
14/02/96;1,4657
15/02/96;1,4704
16/02/96;1,4394
19/02/96;1,3619
20/02/96;1,3789
21/02/96;1,3944
22/02/96;1,4378
23/02/96;1,4461
26/02/96;1,4203
27/02/96;1,4306
28/02/96;1,4409
29/02/96;1,3944
01/03/96;1,4316
04/03/96;1,3944
05/03/96;1,443
06/03/96;1,4187
07/03/96;1,4073
08/03/96;1,4073
11/03/96;1,3712
12/03/96;1,3841
13/03/96;1,3686
14/03/96;1,3686
15/03/96;1,3686
18/03/96;1,3686
19/03/96;1,4409
20/03/96;1,4884
21/03/96;1,4791
22/03/96;1,4719
25/03/96;1,4358
26/03/96;1,397
27/03/96;1,3841
28/03/96;1,4409
29/03/96;1,4254
01/04/96;1,3996
02/04/96;1,4151
03/04/96;1,4203
04/04/96;1,4461
05/04/96;1,4616
09/04/96;1,4564
10/04/96;1,4564
11/04/96;1,4461
12/04/96;1,4177
15/04/96;1,4177
16/04/96;1,4203
17/04/96;1,3686
18/04/96;1,3748
19/04/96;1,3748
22/04/96;1,4177
23/04/96;1,3841
24/04/96;1,3376
26/04/96;1,3944
29/04/96;1,3944
30/04/96;1,3944
02/05/96;1,3273
03/05/96;1,3686
06/05/96;1,3428
07/05/96;1,3428
08/05/96;1,3634
09/05/96;1,3893
10/05/96;1,4048
13/05/96;1,3996
14/05/96;1,3789
15/05/96;1,3893
16/05/96;1,3919
17/05/96;1,3944
20/05/96;1,3686
21/05/96;1,3557
22/05/96;1,3428
23/05/96;1,3686
24/05/96;1,4017
27/05/96;1,4358
28/05/96;1,4228
29/05/96;1,4182
30/05/96;1,3686
31/05/96;1,3996
03/06/96;1,4073
04/06/96;1,4203
05/06/96;1,4358
06/06/96;1,4203
07/06/96;1,397
10/06/96;1,3944
11/06/96;1,3712
12/06/96;1,4027
13/06/96;1,4605
14/06/96;1,4332
17/06/96;1,4358
18/06/96;1,4073
19/06/96;1,4048
20/06/96;1,4048
21/06/96;1,3944
24/06/96;1,4048
25/06/96;1,4048
26/06/96;1,3686
27/06/96;1,3583
28/06/96;1,3428
01/07/96;1,3454
02/07/96;1,3841
03/07/96;1,3686
04/07/96;1,366
05/07/96;1,348
08/07/96;1,348
