Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
28/03/02;21,1805;16158;1123;3,0014;12503,7946;4166;82952
02/04/02;21,1805;16158;1123;3,0957;12503,7946;4166;82952
03/04/02;21,1805;16158;1123;3,1078;12503,7946;4166;82952
04/04/02;21,1805;16158;1123;3,1126;12503,7946;4166;82952
05/04/02;21,1805;16158;1123;3,1199;12503,7946;4166;82952
08/04/02;21,1805;16158;1123;3,1006;12503,7946;4166;82952
09/04/02;21,1805;16158;1123;3,0981;12503,7946;4166;82952
10/04/02;21,1805;16158;1123;3,0788;12503,7946;4166;82952
11/04/02;21,1805;16158;1123;3,0667;12503,7946;4166;82952
12/04/02;21,1805;16158;1123;3,0836;12503,7946;4166;82952
15/04/02;21,1805;16158;1123;3,1054;12503,7946;4166;82952
16/04/02;21,1805;16158;1123;3,0715;12503,7946;4166;82952
17/04/02;21,1805;16158;1123;3,0232;12503,7946;4166;82952
18/04/02;21,1805;16158;1123;2,9724;12503,7946;4166;82952
19/04/02;21,1805;16158;1123;2,999;12503,7946;4166;82952
22/04/02;21,1805;16158;1123;3,028;12503,7946;4166;82952
23/04/02;21,1805;16158;1123;3,0353;12503,7946;4166;82952
24/04/02;21,1805;16158;1123;3,0473;12503,7946;4166;82952
25/04/02;21,1805;16158;1123;3,0498;12503,7946;4166;82952
26/04/02;21,1805;16158;1123;3,1078;12503,7946;4166;82952
29/04/02;21,1805;16158;1123;3,1441;12503,7946;4166;82952
30/04/02;21,1805;16158;1123;3,132;12503,7946;4166;82952
01/05/02;21,1805;16158;1123;3,0836;12503,7946;4166;82952
02/05/02;21,1805;16158;1123;3,1126;12503,7946;4166;82952
03/05/02;21,1805;16158;1123;3,1441;12503,7946;4166;82952
07/05/02;21,1805;16158;1123;3,1513;12503,7946;4166;82952
08/05/02;21,1805;16158;1123;3,1441;12503,7946;4166;82952
09/05/02;21,1805;16158;1123;3,1513;12503,7946;4166;82952
10/05/02;21,1805;16158;1123;3,1683;12503,7946;4166;82952
13/05/02;21,1805;16158;1123;3,2166;12503,7946;4166;82952
14/05/02;21,1805;16158;1123;3,2529;12503,7946;4166;82952
15/05/02;21,1805;16158;1123;3,265;12503,7946;4166;82952
16/05/02;21,1805;16158;1123;3,2166;12503,7946;4166;82952
17/05/02;21,1805;16158;1123;3,2578;12503,7946;4166;82952
20/05/02;21,1805;16158;1123;3,2989;12503,7946;4166;82952
21/05/02;21,1805;16158;1123;3,2771;12503,7946;4166;82952
22/05/02;21,1805;16158;1123;3,294;12503,7946;4166;82952
23/05/02;21,1805;16158;1123;3,3158;12503,7946;4166;82952
24/05/02;21,1805;16158;1123;3,2771;12503,7946;4166;82952
