Date;PX_LAST
05/04/94;1,0372
06/04/94;1,0652
07/04/94;1,0612
08/04/94;1,0572
11/04/94;1,0733
12/04/94;1,0853
13/04/94;1,0853
14/04/94;1,0893
15/04/94;1,0913
18/04/94;1,0933
19/04/94;1,0973
20/04/94;1,0733
21/04/94;1,0692
22/04/94;1,0733
25/04/94;1,0853
26/04/94;1,0973
27/04/94;1,1093
28/04/94;1,1193
29/04/94;1,1133
03/05/94;1,1093
04/05/94;1,0893
06/05/94;1,0812
09/05/94;1,0772
10/05/94;1,0763
11/05/94;1,0772
12/05/94;1,0532
13/05/94;1,0692
16/05/94;1,0532
17/05/94;1,0412
18/05/94;1,0572
19/05/94;1,0532
20/05/94;1,0612
23/05/94;1,0612
24/05/94;1,0532
25/05/94;1,0212
26/05/94;1,0292
27/05/94;1,0332
30/05/94;1,0412
31/05/94;1,0412
01/06/94;1,0412
02/06/94;1,0492
03/06/94;1,0492
07/06/94;1,0652
09/06/94;1,0812
10/06/94;1,0893
13/06/94;1,0812
14/06/94;1,0853
15/06/94;1,0812
16/06/94;1,0733
17/06/94;1,0812
20/06/94;1,0692
21/06/94;1,0692
22/06/94;1,0652
23/06/94;1,0612
24/06/94;1,0532
27/06/94;1,0412
28/06/94;1,0452
29/06/94;1,0452
30/06/94;1,0412
01/07/94;1,0292
05/07/94;1,0332
06/07/94;1,0412
08/07/94;1,0612
11/07/94;1,0812
13/07/94;1,0933
14/07/94;1,0973
15/07/94;1,1133
18/07/94;1,1053
19/07/94;1,1253
20/07/94;1,1453
21/07/94;1,1333
22/07/94;1,1333
25/07/94;1,1293
27/07/94;1,1213
28/07/94;1,1093
29/07/94;1,1053
02/08/94;1,1413
03/08/94;1,1413
04/08/94;1,1373
05/08/94;1,1213
08/08/94;1,1213
09/08/94;1,1133
11/08/94;1,0973
12/08/94;1,0713
15/08/94;1,0772
16/08/94;1,0812
17/08/94;1,0933
18/08/94;1,0933
19/08/94;1,0612
22/08/94;1,0492
23/08/94;1,0612
25/08/94;1,1013
26/08/94;1,1013
29/08/94;1,1093
30/08/94;1,1133
31/08/94;1,1213
01/09/94;1,1133
02/09/94;1,1613
05/09/94;1,1734
06/09/94;1,1834
07/09/94;1,1773
08/09/94;1,1613
09/09/94;1,1493
12/09/94;1,1413
13/09/94;1,1533
14/09/94;1,1253
15/09/94;1,1373
16/09/94;1,1293
19/09/94;1,1453
20/09/94;1,1333
21/09/94;1,1213
22/09/94;1,1253
23/09/94;1,1213
26/09/94;1,0973
27/09/94;1,1053
28/09/94;1,0933
29/09/94;1,0893
30/09/94;1,0733
