Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
19/08/99;20,1826;3329,5999;100,9;4,1045;2935,0475;717,8;13779,0999
20/08/99;20,1826;3329,5999;100,9;4,1407;2935,0475;717,8;13779,0999
23/08/99;20,1826;3329,5999;100,9;4,1024;2935,0475;717,8;13779,0999
24/08/99;20,1826;3329,5999;100,9;4,1376;2935,0475;717,8;13779,0999
25/08/99;20,1826;3329,5999;100,9;4,1138;2935,0475;717,8;13779,0999
26/08/99;20,1826;3329,5999;100,9;4,0372;2935,0475;717,8;13779,0999
27/08/99;20,1826;3329,5999;100,9;4,0941;2935,0475;717,8;13779,0999
30/08/99;20,1826;3329,5999;100,9;4,0186;2935,0475;717,8;13779,0999
31/08/99;20,1826;3329,5999;100,9;3,9947;2935,0475;717,8;13779,0999
01/09/99;20,1826;3329,5999;100,9;3,9751;2935,0475;717,8;13779,0999
02/09/99;20,1826;3329,5999;100,9;3,9937;2935,0475;717,8;13779,0999
03/09/99;20,1826;3329,5999;100,9;4,0455;2935,0475;717,8;13779,0999
06/09/99;20,1826;3329,5999;100,9;4,12;2935,0475;717,8;13779,0999
07/09/99;20,1826;3329,5999;100,9;4,0506;2935,0475;717,8;13779,0999
08/09/99;20,1826;3329,5999;100,9;4,0424;2935,0475;717,8;13779,0999
09/09/99;20,1826;3329,5999;100,9;4,0703;2935,0475;717,8;13779,0999
10/09/99;20,1826;3329,5999;100,9;4,0341;2935,0475;717,8;13779,0999
13/09/99;20,1826;3329,5999;100,9;4,0372;2935,0475;717,8;13779,0999
14/09/99;20,1826;3329,5999;100,9;3,942;2935,0475;717,8;13779,0999
15/09/99;20,1826;3329,5999;100,9;3,9254;2935,0475;717,8;13779,0999
16/09/99;20,1826;3329,5999;100,9;3,9658;2935,0475;717,8;13779,0999
17/09/99;20,1826;3329,5999;100,9;3,9482;2935,0475;717,8;13779,0999
20/09/99;20,1826;3329,5999;100,9;3,9337;2935,0475;717,8;13779,0999
21/09/99;20,1826;3329,5999;100,9;3,9337;2935,0475;717,8;13779,0999
22/09/99;20,1826;3329,5999;100,9;3,8819;2935,0475;717,8;13779,0999
23/09/99;20,1826;3329,5999;100,9;3,8819;2935,0475;717,8;13779,0999
24/09/99;20,1826;3329,5999;100,9;3,9026;2935,0475;717,8;13779,0999
27/09/99;20,1826;3329,5999;100,9;3,913;2935,0475;717,8;13779,0999
28/09/99;20,1826;3329,5999;100,9;3,9099;2935,0475;717,8;13779,0999
29/09/99;20,1826;3329,5999;100,9;3,8405;2935,0475;717,8;13779,0999
30/09/99;20,2586;3904,3211;150,628;3,6789;2734,4241;743,263;13939,514
01/10/99;20,2586;3904,3211;150,628;3,631;2734,4241;743,263;13939,514
04/10/99;20,2586;3904,3211;150,628;3,7019;2734,4241;743,263;13939,514
05/10/99;20,2586;3904,3211;150,628;3,7139;2734,4241;743,263;13939,514
06/10/99;20,2586;3904,3211;150,628;3,7589;2734,4241;743,263;13939,514
07/10/99;20,2586;3904,3211;150,628;3,7949;2734,4241;743,263;13939,514
08/10/99;20,2586;3904,3211;150,628;3,7489;2734,4241;743,263;13939,514
11/10/99;20,2586;3904,3211;150,628;3,7689;2734,4241;743,263;13939,514
12/10/99;20,2586;3904,3211;150,628;3,7689;2734,4241;743,263;13939,514
13/10/99;20,2586;3904,3211;150,628;3,7689;2734,4241;743,263;13939,514
14/10/99;20,2586;3904,3211;150,628;3,7819;2734,4241;743,263;13939,514
15/10/99;20,2586;3904,3211;150,628;3,7439;2734,4241;743,263;13939,514
18/10/99;20,2586;3904,3211;150,628;3,7189;2734,4241;743,263;13939,514
19/10/99;20,2586;3904,3211;150,628;3,7489;2734,4241;743,263;13939,514
20/10/99;20,2586;3904,3211;150,628;3,7009;2734,4241;743,263;13939,514
21/10/99;20,2586;3904,3211;150,628;3,604;2734,4241;743,263;13939,514
22/10/99;20,2586;3904,3211;150,628;3,594;2734,4241;743,263;13939,514
25/10/99;20,2586;3904,3211;150,628;3,502;2734,4241;743,263;13939,514
26/10/99;20,2586;3904,3211;150,628;3,496;2734,4241;743,263;13939,514
27/10/99;20,2586;3904,3211;150,628;3,499;2734,4241;743,263;13939,514
28/10/99;20,2586;3904,3211;150,628;3,604;2734,4241;743,263;13939,514
29/10/99;20,2586;3904,3211;150,628;3,656;2734,4241;743,263;13939,514
01/11/99;20,2586;3904,3211;150,628;3,6275;2734,4241;743,263;13939,514
02/11/99;20,2586;3904,3211;150,628;3,599;2734,4241;743,263;13939,514
03/11/99;20,2586;3904,3211;150,628;3,567;2734,4241;743,263;13939,514
04/11/99;20,2586;3904,3211;150,628;3,598;2734,4241;743,263;13939,514
05/11/99;20,2586;3904,3211;150,628;3,598;2734,4241;743,263;13939,514
08/11/99;20,2586;3904,3211;150,628;3,623;2734,4241;743,263;13939,514
09/11/99;20,2586;3904,3211;150,628;3,64;2734,4241;743,263;13939,514
10/11/99;20,2586;3904,3211;150,628;3,7309;2734,4241;743,263;13939,514
11/11/99;20,2586;3904,3211;150,628;3,8439;2734,4241;743,263;13939,514
12/11/99;20,2586;3904,3211;150,628;3,7439;2734,4241;743,263;13939,514
15/11/99;20,2586;3904,3211;150,628;3,8059;2734,4241;743,263;13939,514
16/11/99;20,2586;3904,3211;150,628;3,7209;2734,4241;743,263;13939,514
17/11/99;20,2586;3904,3211;150,628;3,7189;2734,4241;743,263;13939,514
18/11/99;20,2586;3904,3211;150,628;3,7079;2734,4241;743,263;13939,514
19/11/99;20,2586;3904,3211;150,628;3,611;2734,4241;743,263;13939,514
22/11/99;20,2586;3904,3211;150,628;3,604;2734,4241;743,263;13939,514
23/11/99;20,2586;3904,3211;150,628;3,549;2734,4241;743,263;13939,514
24/11/99;20,2586;3904,3211;150,628;3,517;2734,4241;743,263;13939,514
25/11/99;20,2586;3904,3211;150,628;3,638;2734,4241;743,263;13939,514
26/11/99;20,2586;3904,3211;150,628;3,624;2734,4241;743,263;13939,514
29/11/99;20,2586;3904,3211;150,628;3,563;2734,4241;743,263;13939,514
30/11/99;20,2586;3904,3211;150,628;3,584;2734,4241;743,263;13939,514
01/12/99;20,2586;3904,3211;150,628;3,529;2734,4241;743,263;13939,514
02/12/99;20,2586;3904,3211;150,628;3,629;2734,4241;743,263;13939,514
03/12/99;20,2586;3904,3211;150,628;3,8039;2734,4241;743,263;13939,514
06/12/99;20,2586;3904,3211;150,628;3,8339;2734,4241;743,263;13939,514
07/12/99;20,2586;3904,3211;150,628;3,8639;2734,4241;743,263;13939,514
08/12/99;20,2586;3904,3211;150,628;3,9314;2734,4241;743,263;13939,514
09/12/99;20,2586;3904,3211;150,628;3,9989;2734,4241;743,263;13939,514
10/12/99;20,2586;3904,3211;150,628;4,0568;2734,4241;743,263;13939,514
13/12/99;20,2586;3904,3211;150,628;4,1188;2734,4241;743,263;13939,514
14/12/99;20,2586;3904,3211;150,628;4,1308;2734,4241;743,263;13939,514
15/12/99;20,2586;3904,3211;150,628;4,0608;2734,4241;743,263;13939,514
16/12/99;20,2586;3904,3211;150,628;4,0188;2734,4241;743,263;13939,514
17/12/99;20,2586;3904,3211;150,628;4,1088;2734,4241;743,263;13939,514
20/12/99;20,2586;3904,3211;150,628;4,1688;2734,4241;743,263;13939,514
21/12/99;20,2586;3904,3211;150,628;4,7936;2734,4241;743,263;13939,514
22/12/99;20,2586;3904,3211;150,628;5,5084;2734,4241;743,263;13939,514
23/12/99;20,2586;3904,3211;150,628;5,4884;2734,4241;743,263;13939,514
24/12/99;20,2586;3904,3211;150,628;5,32095;2734,4241;743,263;13939,514
27/12/99;20,2586;3904,3211;150,628;5,1535;2734,4241;743,263;13939,514
28/12/99;20,2586;3904,3211;150,628;4,8096;2734,4241;743,263;13939,514
29/12/99;20,2586;3904,3211;150,628;5,0635;2734,4241;743,263;13939,514
30/12/99;20,2586;3904,3211;150,628;4,6872;2734,4241;743,263;13939,514
31/12/99;19,9854;5139,1813;307,326;4,6568;3650,9201;778,9192;14420,6151
03/01/00;19,9854;5139,1813;307,326;4,6264;3650,9201;778,9192;14420,6151
04/01/00;19,9854;5139,1813;307,326;4,4161;3650,9201;778,9192;14420,6151
05/01/00;19,9854;5139,1813;307,326;4,346;3650,9201;778,9192;14420,6151
06/01/00;19,9854;5139,1813;307,326;4,3348;3650,9201;778,9192;14420,6151
07/01/00;19,9854;5139,1813;307,326;4,3236;3650,9201;778,9192;14420,6151
10/01/00;19,9854;5139,1813;307,326;4,3928;3650,9201;778,9192;14420,6151
11/01/00;19,9854;5139,1813;307,326;4,7339;3650,9201;778,9192;14420,6151
12/01/00;19,9854;5139,1813;307,326;4,8601;3650,9201;778,9192;14420,6151
13/01/00;19,9854;5139,1813;307,326;5,5143;3650,9201;778,9192;14420,6151
14/01/00;19,9854;5139,1813;307,326;5,7947;3650,9201;778,9192;14420,6151
17/01/00;19,9854;5139,1813;307,326;6,3041;3650,9201;778,9192;14420,6151
18/01/00;19,9854;5139,1813;307,326;6,8976;3650,9201;778,9192;14420,6151
19/01/00;19,9854;5139,1813;307,326;6,0938;3650,9201;778,9192;14420,6151
20/01/00;19,9854;5139,1813;307,326;5,9769;3650,9201;778,9192;14420,6151
21/01/00;19,9854;5139,1813;307,326;6,2714;3650,9201;778,9192;14420,6151
24/01/00;19,9854;5139,1813;307,326;6,2807;3650,9201;778,9192;14420,6151
25/01/00;19,9854;5139,1813;307,326;6,2667;3650,9201;778,9192;14420,6151
26/01/00;19,9854;5139,1813;307,326;6,4396;3650,9201;778,9192;14420,6151
27/01/00;19,9854;5139,1813;307,326;6,3087;3650,9201;778,9192;14420,6151
28/01/00;19,9854;5139,1813;307,326;6,3368;3650,9201;778,9192;14420,6151
31/01/00;19,9854;5139,1813;307,326;5,8882;3650,9201;778,9192;14420,6151
01/02/00;19,9854;5139,1813;307,326;5,7853;3650,9201;778,9192;14420,6151
02/02/00;19,9854;5139,1813;307,326;6,0284;3650,9201;778,9192;14420,6151
03/02/00;19,9854;5139,1813;307,326;6,3508;3650,9201;778,9192;14420,6151
04/02/00;19,9854;5139,1813;307,326;6,2246;3650,9201;778,9192;14420,6151
07/02/00;19,9854;5139,1813;307,326;5,9442;3650,9201;778,9192;14420,6151
08/02/00;19,9854;5139,1813;307,326;6,3415;3650,9201;778,9192;14420,6151
09/02/00;19,9854;5139,1813;307,326;6,4209;3650,9201;778,9192;14420,6151
10/02/00;19,9854;5139,1813;307,326;6,4022;3650,9201;778,9192;14420,6151
11/02/00;19,9854;5139,1813;307,326;6,4489;3650,9201;778,9192;14420,6151
