Year,Quarter,MVA,DELTA_MVA
1999,4,15065.333533719126,0.03860102907754023
2000,1,15581.064584904138,0.03423296603627834
2000,2,16500.957501420497,0.05903915688839426
2000,3,16935.48148997133,0.026333259055629235
2000,4,18918.44322138813,0.11708918536452877
2001,1,19417.933593305544,0.02640229780390802
2001,2,20154.426456948324,0.037928488121758225
2001,3,20614.086059904876,0.022806880857583624
2001,4,22487.704070013355,0.09089018085321436
2002,1,22317.246738686168,-0.007580023767499065
2002,2,21012.56973566262,-0.058460482079177686
2002,3,22130.060480050408,0.05318201240713454
2002,4,22525.4829763855,0.017868116388184075
2003,1,22640.908134100635,0.005124203455976461
2003,2,22393.733293539695,-0.010917178723438965
2003,3,24337.016918794056,0.08677801060598381
2003,4,25633.847863337174,0.053286355877973354
2004,1,24803.771600262426,-0.03238203907193994
2004,2,31221.060387305217,0.2587222979820898
2004,3,28183.571163614008,-0.09728975204590685
2004,4,28388.684391347113,0.007277758611297413
2005,1,30428.73735375361,0.07186148305725318
2005,2,33182.8800688103,0.09051123886732503
2005,3,36514.406435204044,0.10039895149201221
2005,4,38406.30649170773,0.05181242805797542
2006,1,39714.761763488816,0.03406876087039494
2006,2,40936.76158337842,0.03076941080918265
2006,3,41509.7502182537,0.013996921415198801
2006,4,45053.82528988525,0.08537933986586756
2007,1,45213.08334288568,0.003534839760569255
2007,2,47240.81220246245,0.044848276420321596
2007,3,48012.966078273676,0.016345059278446806
2007,4,47844.69246912097,-0.0035047534634368156
2008,1,48284.24076973162,0.009186981416890422
2008,2,51855.216099823694,0.07395736731415357
2008,3,50359.72775828024,-0.028839689698034774
2008,4,51115.86089031949,0.015014638992263503
2009,1,52680.96300209242,0.0306187176448267
2009,2,54286.34531711402,0.030473670630467287
2009,3,60927.75901638416,0.12234040918529843
2009,4,55450.822486323785,-0.08989230226878302
2010,1,54546.39684640171,-0.01631040982566382
2010,2,55844.707090643504,0.023801943286881674
2010,3,55936.72391024093,0.0016477267836335842
2010,4,55617.41644651254,-0.005708369053589268
2011,1,54023.67635761482,-0.028655413910324765
2011,2,55629.68079071926,0.02972778865461401
2011,3,59185.431781343665,0.06391823465608686
2011,4,59728.5343650756,0.00917628827543889
2012,1,60926.8299112083,0.02006236313800069
2012,2,60522.7777519192,-0.006631760751017899
2012,3,58775.21573507015,-0.02887445159923503
2012,4,60479.12450741246,0.028990259772464166
2013,1,58481.12597182621,-0.033036168295415266
2013,2,58302.396900390275,-0.003056183827959085
2013,3,58062.50323987858,-0.004114644907679464
2013,4,58412.78267240496,0.006032799362425743
2014,1,56259.34640044463,-0.03686583952073293
2014,2,56330.159635278185,0.0012586928104269086
2014,3,57034.811770940025,0.01250932254096673
2014,4,57185.77953323988,0.0026469406597880107
2015,1,57024.304945362615,-0.002823684300454583
2015,2,57670.756541165225,0.011336422187381363
2015,3,57467.4261099484,-0.003525711182090857
2015,4,58873.218360599865,0.02446241890078498
2016,1,58960.85059257728,0.0014884905975525613
2016,2,60524.59565967943,0.026521752169209958
2016,3,64925.27332738236,0.0727089147765195
