Date;PX_LAST
03/01/95;1,3192
04/01/95;1,3192
05/01/95;1,3143
09/01/95;1,2659
10/01/95;1,2477
11/01/95;1,2344
12/01/95;1,2404
13/01/95;1,2429
16/01/95;1,2465
17/01/95;1,2538
18/01/95;1,2586
19/01/95;1,2683
20/01/95;1,2356
23/01/95;1,2005
24/01/95;1,1992
25/01/95;1,2223
26/01/95;1,2114
27/01/95;1,2126
30/01/95;1,2017
31/01/95;1,1992
01/02/95;1,2114
02/02/95;1,2198
03/02/95;1,2683
06/02/95;1,2816
07/02/95;1,2865
08/02/95;1,2828
09/02/95;1,2816
10/02/95;1,2816
13/02/95;1,278
14/02/95;1,284
15/02/95;1,2828
16/02/95;1,2828
17/02/95;1,2598
20/02/95;1,2538
21/02/95;1,255
22/02/95;1,2598
23/02/95;1,2719
24/02/95;1,2768
27/02/95;1,2731
28/02/95;1,2695
01/03/95;1,2695
02/03/95;1,2695
03/03/95;1,2477
06/03/95;1,2453
07/03/95;1,2138
08/03/95;1,2089
09/03/95;1,1896
10/03/95;1,1871
13/03/95;1,1896
14/03/95;1,2174
15/03/95;1,2174
16/03/95;1,238
17/03/95;1,2114
20/03/95;1,2114
21/03/95;1,2053
22/03/95;1,2065
23/03/95;1,2101
24/03/95;1,2174
27/03/95;1,2344
28/03/95;1,2247
29/03/95;1,1956
30/03/95;1,2138
31/03/95;1,1944
03/04/95;1,1992
04/04/95;1,2283
05/04/95;1,215
06/04/95;1,1932
07/04/95;1,2005
10/04/95;1,2005
11/04/95;1,2174
12/04/95;1,2114
17/04/95;1,2162
18/04/95;1,1968
19/04/95;1,1762
20/04/95;1,1629
21/04/95;1,1823
24/04/95;1,1738
25/04/95;1,1641
26/04/95;1,175
27/04/95;1,2017
28/04/95;1,2235
02/05/95;1,2235
03/05/95;1,2356
04/05/95;1,2416
05/05/95;1,2319
08/05/95;1,2889
09/05/95;1,2877
10/05/95;1,3107
11/05/95;1,3155
12/05/95;1,3034
15/05/95;1,3071
16/05/95;1,3022
17/05/95;1,301
18/05/95;1,2962
19/05/95;1,2852
22/05/95;1,3083
23/05/95;1,3361
24/05/95;1,3688
25/05/95;1,3325
26/05/95;1,3446
29/05/95;1,347
30/05/95;1,3543
31/05/95;1,3325
01/06/95;1,3228
02/06/95;1,3216
05/06/95;1,324
06/06/95;1,3167
07/06/95;1,3276
08/06/95;1,3434
09/06/95;1,3325
12/06/95;1,3289
13/06/95;1,3385
14/06/95;1,3446
15/06/95;1,3458
16/06/95;1,341
19/06/95;1,3434
20/06/95;1,3398
21/06/95;1,341
22/06/95;1,3446
23/06/95;1,3422
26/06/95;1,341
27/06/95;1,3361
28/06/95;1,3301
29/06/95;1,324
30/06/95;1,3204
03/07/95;1,3313
04/07/95;1,3434
05/07/95;1,3276
06/07/95;1,3216
07/07/95;1,3325
10/07/95;1,3325
11/07/95;1,3628
12/07/95;1,3422
13/07/95;1,3289
14/07/95;1,3204
17/07/95;1,3313
18/07/95;1,3143
19/07/95;1,2949
20/07/95;1,2913
21/07/95;1,3095
24/07/95;1,3143
25/07/95;1,3204
26/07/95;1,3204
27/07/95;1,3083
28/07/95;1,3095
31/07/95;1,3058
01/08/95;1,3204
02/08/95;1,3252
03/08/95;1,3155
04/08/95;1,3264
07/08/95;1,3325
08/08/95;1,3264
09/08/95;1,3167
10/08/95;1,3228
11/08/95;1,3325
14/08/95;1,3276
16/08/95;1,3446
17/08/95;1,3337
18/08/95;1,324
21/08/95;1,324
22/08/95;1,3252
23/08/95;1,3301
24/08/95;1,3385
25/08/95;1,3519
28/08/95;1,3264
29/08/95;1,3216
30/08/95;1,3361
31/08/95;1,3204
01/09/95;1,3216
04/09/95;1,3349
05/09/95;1,3313
06/09/95;1,3422
07/09/95;1,3446
08/09/95;1,3446
11/09/95;1,3543
12/09/95;1,3652
13/09/95;1,3713
14/09/95;1,3713
15/09/95;1,347
18/09/95;1,3373
19/09/95;1,3385
20/09/95;1,341
21/09/95;1,3385
22/09/95;1,3264
25/09/95;1,3071
26/09/95;1,3095
27/09/95;1,2986
28/09/95;1,2962
29/09/95;1,3046
02/10/95;1,3107
03/10/95;1,3022
04/10/95;1,3119
05/10/95;1,2998
06/10/95;1,2962
09/10/95;1,2719
10/10/95;1,2828
11/10/95;1,2962
13/10/95;1,2962
16/10/95;1,2925
17/10/95;1,2731
18/10/95;1,2962
19/10/95;1,2913
20/10/95;1,2731
23/10/95;1,2562
24/10/95;1,255
25/10/95;1,2719
26/10/95;1,2598
27/10/95;1,2598
30/10/95;1,2659
31/10/95;1,2816
02/11/95;1,2913
03/11/95;1,2901
06/11/95;1,2792
07/11/95;1,2913
08/11/95;1,2925
10/11/95;1,2804
13/11/95;1,284
14/11/95;1,2962
15/11/95;1,2962
16/11/95;1,3143
17/11/95;1,324
20/11/95;1,3422
21/11/95;1,3567
22/11/95;1,3809
23/11/95;1,3688
24/11/95;1,3906
27/11/95;1,3918
28/11/95;1,3931
29/11/95;1,4112
30/11/95;1,4161
01/12/95;1,4294
04/12/95;1,4258
05/12/95;1,4173
07/12/95;1,3955
11/12/95;1,3979
12/12/95;1,3931
13/12/95;1,387
14/12/95;1,3918
15/12/95;1,3991
18/12/95;1,4137
19/12/95;1,41
20/12/95;1,4052
21/12/95;1,4173
22/12/95;1,4282
26/12/95;1,4355
27/12/95;1,4233
28/12/95;1,4137
29/12/95;1,4294
02/01/96;1,4597
03/01/96;1,5009
04/01/96;1,5045
05/01/96;1,5009
08/01/96;1,4948
09/01/96;1,4791
10/01/96;1,4742
11/01/96;1,4742
12/01/96;1,4766
15/01/96;1,4536
16/01/96;1,4657
17/01/96;1,49
18/01/96;1,5045
19/01/96;1,5154
22/01/96;1,5033
23/01/96;1,5106
24/01/96;1,5372
25/01/96;1,5396
26/01/96;1,5493
29/01/96;1,5651
30/01/96;1,5917
31/01/96;1,599
01/02/96;1,6135
02/02/96;1,6159
05/02/96;1,6135
06/02/96;1,6026
07/02/96;1,6026
08/02/96;1,5954
09/02/96;1,5905
12/02/96;1,5748
13/02/96;1,5869
14/02/96;1,5941
15/02/96;1,5917
16/02/96;1,5845
19/02/96;1,5869
20/02/96;1,5832
21/02/96;1,5929
22/02/96;1,605
23/02/96;1,6135
26/02/96;1,5881
27/02/96;1,6038
28/02/96;1,6147
29/02/96;1,6111
01/03/96;1,6111
04/03/96;1,5118
05/03/96;1,496
06/03/96;1,5324
07/03/96;1,5687
08/03/96;1,5324
11/03/96;1,5021
12/03/96;1,4972
13/03/96;1,4779
14/03/96;1,4779
15/03/96;1,45
18/03/96;1,4403
19/03/96;1,4766
20/03/96;1,467
21/03/96;1,4875
22/03/96;1,4997
25/03/96;1,5142
26/03/96;1,5178
27/03/96;1,536
28/03/96;1,5287
29/03/96;1,5142
01/04/96;1,5203
02/04/96;1,5372
03/04/96;1,5542
08/04/96;1,5348
09/04/96;1,5372
10/04/96;1,5687
11/04/96;1,5566
12/04/96;1,5675
15/04/96;1,5954
16/04/96;1,5929
17/04/96;1,6353
18/04/96;1,6341
19/04/96;1,6317
22/04/96;1,6269
23/04/96;1,6232
24/04/96;1,6256
25/04/96;1,6402
26/04/96;1,6438
29/04/96;1,6353
30/04/96;1,6208
02/05/96;1,6123
03/05/96;1,6111
06/05/96;1,622
07/05/96;1,6184
08/05/96;1,6147
09/05/96;1,6184
10/05/96;1,6378
13/05/96;1,6329
14/05/96;1,6317
15/05/96;1,6232
16/05/96;1,6172
17/05/96;1,6159
20/05/96;1,622
21/05/96;1,6196
22/05/96;1,5929
23/05/96;1,599
24/05/96;1,599
27/05/96;1,6026
28/05/96;1,6111
29/05/96;1,6159
30/05/96;1,605
31/05/96;1,6026
03/06/96;1,6014
04/06/96;1,6135
05/06/96;1,6172
06/06/96;1,6172
07/06/96;1,6099
10/06/96;1,6099
11/06/96;1,6087
12/06/96;1,6172
13/06/96;1,6172
14/06/96;1,6184
17/06/96;1,6353
18/06/96;1,6596
19/06/96;1,6511
20/06/96;1,668
21/06/96;1,6705
24/06/96;1,6777
25/06/96;1,6862
26/06/96;1,6935
27/06/96;1,7068
28/06/96;1,7359
01/07/96;1,7746
02/07/96;1,7565
03/07/96;1,7649
04/07/96;1,7601
05/07/96;1,7565
08/07/96;1,7383
09/07/96;1,7371
10/07/96;1,7262
11/07/96;1,7359
12/07/96;1,7516
15/07/96;1,7322
16/07/96;1,6971
17/07/96;1,708
18/07/96;1,7322
19/07/96;1,7274
22/07/96;1,702
23/07/96;1,7201
24/07/96;1,6959
25/07/96;1,7262
26/07/96;1,7032
29/07/96;1,6923
30/07/96;1,6705
31/07/96;1,708
01/08/96;1,754
02/08/96;1,7625
05/08/96;1,7686
06/08/96;1,7686
07/08/96;1,7758
08/08/96;1,7746
09/08/96;1,7565
12/08/96;1,7444
13/08/96;1,7565
14/08/96;1,7565
16/08/96;1,7419
19/08/96;1,7419
20/08/96;1,7274
21/08/96;1,7213
22/08/96;1,7407
23/08/96;1,7444
26/08/96;1,7322
27/08/96;1,7262
28/08/96;1,7213
29/08/96;1,725
30/08/96;1,7141
02/09/96;1,7262
03/09/96;1,708
04/09/96;1,7225
05/09/96;1,708
06/09/96;1,7201
09/09/96;1,7286
10/09/96;1,7068
11/09/96;1,6959
12/09/96;1,7177
13/09/96;1,7225
16/09/96;1,7298
17/09/96;1,7238
18/09/96;1,7286
19/09/96;1,7322
20/09/96;1,7492
23/09/96;1,7565
24/09/96;1,7565
25/09/96;1,8001
26/09/96;1,8013
27/09/96;1,7989
30/09/96;1,7928
01/10/96;1,7952
02/10/96;1,8001
03/10/96;1,8001
04/10/96;1,8352
07/10/96;1,8328
08/10/96;1,8425
09/10/96;1,8304
10/10/96;1,811
11/10/96;1,8291
14/10/96;1,8425
15/10/96;1,8606
16/10/96;1,8534
17/10/96;1,8776
18/10/96;1,8655
21/10/96;1,8824
22/10/96;1,8873
23/10/96;1,8897
24/10/96;1,8776
25/10/96;1,8703
28/10/96;1,8764
29/10/96;1,8764
30/10/96;1,8655
31/10/96;1,8522
04/11/96;1,834
05/11/96;1,8473
06/11/96;1,8643
07/11/96;1,8606
08/11/96;1,8679
11/11/96;1,8715
12/11/96;1,8837
13/11/96;1,8824
14/11/96;1,8849
15/11/96;1,8909
18/11/96;1,8934
19/11/96;1,8921
20/11/96;1,8982
21/11/96;1,9079
22/11/96;1,9261
25/11/96;1,9491
26/11/96;1,9624
27/11/96;1,9745
28/11/96;2,0351
29/11/96;2,0593
02/12/96;2,069
03/12/96;2,0896
04/12/96;2,0872
05/12/96;2,0847
09/12/96;2,1029
10/12/96;2,155
11/12/96;2,1538
12/12/96;2,1562
13/12/96;2,1635
16/12/96;2,2168
17/12/96;2,2253
18/12/96;2,2713
19/12/96;2,2774
20/12/96;2,3803
23/12/96;2,3852
26/12/96;2,4348
27/12/96;2,4324
30/12/96;2,47
31/12/96;2,4385
02/01/97;2,3888
03/01/97;2,4469
07/01/97;2,3706
08/01/97;2,4215
09/01/97;2,4106
10/01/97;2,3949
13/01/97;2,3985
14/01/97;2,3634
15/01/97;2,3137
16/01/97;2,3028
17/01/97;2,3609
