Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
01/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
04/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
05/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
06/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
07/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
08/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
11/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
12/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
13/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
14/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
15/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
18/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
19/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
20/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
21/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
22/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
25/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
26/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
27/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
28/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
29/04/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
02/05/05;16,5539;1561,827;63,879;1,6842;449,283;263,156;4256,9401
03/05/05;16,5539;1561,827;63,879;1,69575;449,283;263,156;4256,9401
04/05/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
05/05/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
06/05/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
09/05/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
10/05/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
11/05/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
12/05/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
13/05/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
16/05/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
17/05/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
18/05/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
19/05/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
20/05/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
23/05/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
24/05/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
25/05/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
26/05/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
27/05/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
30/05/05;16,5539;1561,827;63,879;1,7073;449,283;263,156;4256,9401
31/05/05;16,5539;1561,827;63,879;1,7091;449,283;263,156;4256,9401
01/06/05;16,5539;1561,827;63,879;1,7091;449,283;263,156;4256,9401
02/06/05;16,5539;1561,827;63,879;1,7091;449,283;263,156;4256,9401
03/06/05;16,5539;1561,827;63,879;1,7091;449,283;263,156;4256,9401
06/06/05;16,5539;1561,827;63,879;1,7091;449,283;263,156;4256,9401
07/06/05;16,5539;1561,827;63,879;1,7091;449,283;263,156;4256,9401
08/06/05;16,5539;1561,827;63,879;1,7091;449,283;263,156;4256,9401
09/06/05;16,5539;1561,827;63,879;1,7091;449,283;263,156;4256,9401
10/06/05;16,5539;1561,827;63,879;1,7091;449,283;263,156;4256,9401
13/06/05;16,5539;1561,827;63,879;1,7091;449,283;263,156;4256,9401
14/06/05;16,5539;1561,827;63,879;1,7091;449,283;263,156;4256,9401
15/06/05;16,5539;1561,827;63,879;1,7091;449,283;263,156;4256,9401
16/06/05;16,5539;1561,827;63,879;1,7108;449,283;263,156;4256,9401
17/06/05;16,5539;1561,827;63,879;1,7108;449,283;263,156;4256,9401
20/06/05;16,5539;1561,827;63,879;1,7108;449,283;263,156;4256,9401
21/06/05;16,5539;1561,827;63,879;1,7108;449,283;263,156;4256,9401
22/06/05;16,5539;1561,827;63,879;1,7108;449,283;263,156;4256,9401
