Date;PX_LAST
03/01/95;6,317
04/01/95;6,317
05/01/95;6,294
09/01/95;6,294
10/01/95;6,294
11/01/95;6,294
12/01/95;6,259
13/01/95;6,259
16/01/95;6,259
17/01/95;6,259
18/01/95;6,259
19/01/95;6,259
20/01/95;6,236
23/01/95;6,178
24/01/95;6,189
25/01/95;6,201
26/01/95;6,201
27/01/95;6,201
30/01/95;6,201
31/01/95;6,212
01/02/95;6,201
02/02/95;6,178
03/02/95;6,166
06/02/95;6,178
07/02/95;6,178
08/02/95;6,039
09/02/95;6,062
10/02/95;6,039
13/02/95;6,073
15/02/95;6,097
16/02/95;6,097
17/02/95;6,108
20/02/95;6,108
21/02/95;6,12
22/02/95;6,085
23/02/95;6,062
24/02/95;6,073
27/02/95;6,073
28/02/95;6,073
02/03/95;6,073
03/03/95;6,039
06/03/95;6,039
07/03/95;5,981
08/03/95;5,969
09/03/95;5,957
10/03/95;5,957
13/03/95;5,934
14/03/95;5,923
15/03/95;5,946
16/03/95;5,957
17/03/95;5,969
20/03/95;5,957
21/03/95;5,957
22/03/95;5,946
23/03/95;5,934
24/03/95;5,946
27/03/95;5,957
28/03/95;5,946
29/03/95;5,934
30/03/95;5,911
31/03/95;5,899
03/04/95;5,911
04/04/95;5,969
05/04/95;5,969
06/04/95;5,981
07/04/95;5,981
10/04/95;6,004
11/04/95;6,015
12/04/95;6,015
13/04/95;6,015
18/04/95;5,981
19/04/95;6,004
20/04/95;6,004
21/04/95;6,004
24/04/95;6,004
25/04/95;5,992
26/04/95;6,004
27/04/95;6,015
28/04/95;6,015
02/05/95;6,027
03/05/95;6,062
04/05/95;6,085
05/05/95;6,085
09/05/95;6,073
10/05/95;6,097
11/05/95;6,12
12/05/95;6,12
15/05/95;6,12
16/05/95;6,12
17/05/95;6,097
18/05/95;6,108
19/05/95;6,108
22/05/95;5,957
23/05/95;5,957
24/05/95;5,969
26/05/95;5,969
29/05/95;5,969
30/05/95;5,992
31/05/95;5,992
01/06/95;6,027
02/06/95;6,027
06/06/95;6,027
07/06/95;6,027
08/06/95;6,015
12/06/95;6,004
13/06/95;6,004
14/06/95;6,004
16/06/95;6,004
