Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
16/08/99;30,2733;20012,1884;292,8311;2,786;9210,9123;3340,9597;86994,0659
17/08/99;30,2733;20012,1884;292,8311;2,819;9210,9123;3340,9597;86994,0659
18/08/99;30,2733;20012,1884;292,8311;2,8494;9210,9123;3340,9597;86994,0659
19/08/99;30,2733;20012,1884;292,8311;2,8556;9210,9123;3340,9597;86994,0659
20/08/99;30,2733;20012,1884;292,8311;2,8693;9210,9123;3340,9597;86994,0659
23/08/99;30,2733;20012,1884;292,8311;2,9058;9210,9123;3340,9597;86994,0659
24/08/99;30,2733;20012,1884;292,8311;2,8893;9210,9123;3340,9597;86994,0659
25/08/99;30,2733;20012,1884;292,8311;2,8583;9210,9123;3340,9597;86994,0659
26/08/99;30,2733;20012,1884;292,8311;2,8831;9210,9123;3340,9597;86994,0659
27/08/99;30,2733;20012,1884;292,8311;2,8679;9210,9123;3340,9597;86994,0659
30/08/99;30,2733;20012,1884;292,8311;2,8776;9210,9123;3340,9597;86994,0659
31/08/99;30,2733;20012,1884;292,8311;2,8494;9210,9123;3340,9597;86994,0659
01/09/99;30,2733;20012,1884;292,8311;2,8363;9210,9123;3340,9597;86994,0659
02/09/99;30,2733;20012,1884;292,8311;2,828;9210,9123;3340,9597;86994,0659
03/09/99;30,2733;20012,1884;292,8311;2,8714;9210,9123;3340,9597;86994,0659
06/09/99;30,2733;20012,1884;292,8311;2,8418;9210,9123;3340,9597;86994,0659
07/09/99;30,2733;20012,1884;292,8311;2,8039;9210,9123;3340,9597;86994,0659
08/09/99;30,2733;20012,1884;292,8311;2,8528;9210,9123;3340,9597;86994,0659
09/09/99;30,2733;20012,1884;292,8311;2,8707;9210,9123;3340,9597;86994,0659
10/09/99;30,2733;20012,1884;292,8311;2,8604;9210,9123;3340,9597;86994,0659
13/09/99;30,2733;20012,1884;292,8311;2,8135;9210,9123;3340,9597;86994,0659
14/09/99;30,2733;20012,1884;292,8311;2,7825;9210,9123;3340,9597;86994,0659
15/09/99;30,2733;20012,1884;292,8311;2,7881;9210,9123;3340,9597;86994,0659
16/09/99;30,2733;20012,1884;292,8311;2,8087;9210,9123;3340,9597;86994,0659
17/09/99;30,2733;20012,1884;292,8311;2,8321;9210,9123;3340,9597;86994,0659
20/09/99;30,2733;20012,1884;292,8311;2,8018;9210,9123;3340,9597;86994,0659
21/09/99;30,2733;20012,1884;292,8311;2,7908;9210,9123;3340,9597;86994,0659
22/09/99;30,2733;20012,1884;292,8311;2,7839;9210,9123;3340,9597;86994,0659
23/09/99;30,2733;20012,1884;292,8311;2,7791;9210,9123;3340,9597;86994,0659
24/09/99;30,2733;20012,1884;292,8311;2,7598;9210,9123;3340,9597;86994,0659
27/09/99;30,2733;20012,1884;292,8311;2,8087;9210,9123;3340,9597;86994,0659
28/09/99;30,2733;20012,1884;292,8311;2,7633;9210,9123;3340,9597;86994,0659
29/09/99;30,2733;20012,1884;292,8311;2,7667;9210,9123;3340,9597;86994,0659
30/09/99;27,3737;18820,2059;271,1399;2,5581;8683,8339;3394,6712;89112,5721
01/10/99;27,3737;18820,2059;271,1399;2,5275;8683,8339;3394,6712;89112,5721
04/10/99;27,3737;18820,2059;271,1399;2,5409;8683,8339;3394,6712;89112,5721
05/10/99;27,3737;18820,2059;271,1399;2,5396;8683,8339;3394,6712;89112,5721
06/10/99;27,3737;18820,2059;271,1399;2,5212;8683,8339;3394,6712;89112,5721
07/10/99;27,3737;18820,2059;271,1399;2,5396;8683,8339;3394,6712;89112,5721
08/10/99;27,3737;18820,2059;271,1399;2,5307;8683,8339;3394,6712;89112,5721
11/10/99;27,3737;18820,2059;271,1399;2,5574;8683,8339;3394,6712;89112,5721
12/10/99;27,3737;18820,2059;271,1399;2,5104;8683,8339;3394,6712;89112,5721
13/10/99;27,3737;18820,2059;271,1399;2,5034;8683,8339;3394,6712;89112,5721
14/10/99;27,3737;18820,2059;271,1399;2,4811;8683,8339;3394,6712;89112,5721
15/10/99;27,3737;18820,2059;271,1399;2,4435;8683,8339;3394,6712;89112,5721
18/10/99;27,3737;18820,2059;271,1399;2,4047;8683,8339;3394,6712;89112,5721
19/10/99;27,3737;18820,2059;271,1399;2,42;8683,8339;3394,6712;89112,5721
20/10/99;27,3737;18820,2059;271,1399;2,3958;8683,8339;3394,6712;89112,5721
21/10/99;27,3737;18820,2059;271,1399;2,3863;8683,8339;3394,6712;89112,5721
22/10/99;27,3737;18820,2059;271,1399;2,4117;8683,8339;3394,6712;89112,5721
25/10/99;27,3737;18820,2059;271,1399;2,3665;8683,8339;3394,6712;89112,5721
26/10/99;27,3737;18820,2059;271,1399;2,4359;8683,8339;3394,6712;89112,5721
27/10/99;27,3737;18820,2059;271,1399;2,3659;8683,8339;3394,6712;89112,5721
28/10/99;27,3737;18820,2059;271,1399;2,399;8683,8339;3394,6712;89112,5721
29/10/99;27,3737;18820,2059;271,1399;2,4225;8683,8339;3394,6712;89112,5721
02/11/99;27,3737;18820,2059;271,1399;2,406;8683,8339;3394,6712;89112,5721
03/11/99;27,3737;18820,2059;271,1399;2,4066;8683,8339;3394,6712;89112,5721
04/11/99;27,3737;18820,2059;271,1399;2,3945;8683,8339;3394,6712;89112,5721
05/11/99;27,3737;18820,2059;271,1399;2,3513;8683,8339;3394,6712;89112,5721
08/11/99;27,3737;18820,2059;271,1399;2,3392;8683,8339;3394,6712;89112,5721
09/11/99;27,3737;18820,2059;271,1399;2,3926;8683,8339;3394,6712;89112,5721
10/11/99;27,3737;18820,2059;271,1399;2,3945;8683,8339;3394,6712;89112,5721
11/11/99;27,3737;18820,2059;271,1399;2,3856;8683,8339;3394,6712;89112,5721
12/11/99;27,3737;18820,2059;271,1399;2,3837;8683,8339;3394,6712;89112,5721
15/11/99;27,3737;18820,2059;271,1399;2,4085;8683,8339;3394,6712;89112,5721
16/11/99;27,3737;18820,2059;271,1399;2,4168;8683,8339;3394,6712;89112,5721
17/11/99;27,3737;18820,2059;271,1399;2,3799;8683,8339;3394,6712;89112,5721
18/11/99;27,3737;18820,2059;271,1399;2,3723;8683,8339;3394,6712;89112,5721
19/11/99;27,3737;18820,2059;271,1399;2,3729;8683,8339;3394,6712;89112,5721
22/11/99;27,3737;18820,2059;271,1399;2,3532;8683,8339;3394,6712;89112,5721
23/11/99;27,3737;18820,2059;271,1399;2,3315;8683,8339;3394,6712;89112,5721
24/11/99;27,3737;18820,2059;271,1399;2,3258;8683,8339;3394,6712;89112,5721
25/11/99;27,3737;18820,2059;271,1399;2,3538;8683,8339;3394,6712;89112,5721
26/11/99;27,3737;18820,2059;271,1399;2,2857;8683,8339;3394,6712;89112,5721
29/11/99;27,3737;18820,2059;271,1399;2,2622;8683,8339;3394,6712;89112,5721
30/11/99;27,3737;18820,2059;271,1399;2,273;8683,8339;3394,6712;89112,5721
01/12/99;27,3737;18820,2059;271,1399;2,3169;8683,8339;3394,6712;89112,5721
02/12/99;27,3737;18820,2059;271,1399;2,3188;8683,8339;3394,6712;89112,5721
03/12/99;27,3737;18820,2059;271,1399;2,3379;8683,8339;3394,6712;89112,5721
06/12/99;27,3737;18820,2059;271,1399;2,294;8683,8339;3394,6712;89112,5721
