Year,Quarter,MVA,DELTA_MVA
1999,4,237570.16777049992,-0.14417255130169299
2000,1,228582.19776462863,-0.0378329067585369
2000,2,204351.61953847992,-0.10600378534770656
2000,3,255659.02520964382,0.25107413284533614
2000,4,290458.98706215876,0.1361186518800911
2001,1,258080.434826318,-0.11147374905949008
2001,2,201534.22501280368,-0.21910304766639352
2001,3,210849.8427715213,0.04622350252482321
2001,4,168561.4806914349,-0.20056150635080355
2002,1,164291.4134842969,-0.025332402098167915
2002,2,194085.51075342644,0.18134908354158918
2002,3,201949.90155953774,0.04052023654719142
2002,4,138082.02120952844,-0.31625606081902513
2003,1,148552.43574473273,0.07582750052098586
2003,2,145848.90906191198,-0.018199140722716913
2003,3,156815.74269682146,0.07519311392486398
2003,4,152360.27659384822,-0.028412109819784995
2004,1,155218.3284690117,0.018758510676521567
2004,2,143896.0773134434,-0.07294403481370242
2004,3,161280.48174923746,0.12081221920960535
2004,4,144816.26841049964,-0.10208435118848878
2005,1,156392.08996093087,0.07993453827727508
2005,2,158523.18222362193,0.013626598782735373
2005,3,205393.50611194974,0.29566857812764463
2005,4,273594.0282700874,0.33204809367714355
2006,1,211961.67423381316,-0.22526936872844244
2006,2,286996.29588126566,0.3540008915228818
2006,3,286897.56925677386,-0.0003439996470638901
2006,4,296540.17098909133,0.03360991087271056
2007,1,302672.8908969629,0.02068090770776943
2007,2,294478.0765366199,-0.027074821058661276
2007,3,324843.33857256075,0.10311552694539809
2007,4,277057.2830451609,-0.14710492675448794
2008,1,220495.80348845714,-0.20415084900505615
2008,2,289975.5397203445,0.31510684163893654
2008,3,193037.89719303776,-0.3342959293076734
2008,4,169703.47749473652,-0.12087999319100971
2009,1,148065.2003037986,-0.12750638649469662
2009,2,98668.8160596462,-0.33361238253689207
2009,3,107085.64949279168,0.08530388596187706
2009,4,137893.3142394481,0.28769181391321913
2010,1,111839.42651804141,-0.18894235637969228
2010,2,97489.33055876702,-0.12830981350713114
2010,3,89264.63124843579,-0.08436512245176758
2010,4,101880.26508419278,0.1413284708547772
2011,1,83395.9106428756,-0.1814321392473989
2011,2,139150.7118650228,0.6685555777537427
2011,3,48417.41130619459,-0.6520505669194145
2011,4,71849.00788719018,0.48394980129798304
2012,1,55157.844360189534,-0.23230889357870285
2012,2,80765.35396711757,0.4642587088738803
2012,3,50228.196530868714,-0.3780972401691152
2012,4,61206.60065074798,0.21857054161067235
2013,1,71066.46121947853,0.16109145850121726
2013,2,74707.65569835837,0.0512364681791955
2013,3,75783.29724999123,0.014398009702993429
2013,4,76335.95566374573,0.007292615045917174
2014,1,65857.96494434986,-0.1372615385278026
2014,2,101416.04662987565,0.5399207478635644
2014,3,164938.95492554244,0.6263595398023915
2014,4,96288.4343021711,-0.4162177494962418
2015,1,55892.78099270359,-0.41952757464825313
2015,2,96897.04073571182,0.7336235380444042
2015,3,113792.35766714363,0.17436360081949298
2015,4,83912.26901568158,-0.26258431817420386
2016,1,62435.96028782626,-0.25593764749516923
2016,2,26112.029729462403,-0.581779000289458
2016,3,19171.76053104001,-0.2657881930408357
