Date;PX_LAST
28/06/99;6841,9846
29/06/99;6780,1737
30/06/99;6757,9853
01/07/99;7027,4173
02/07/99;6968,776
05/07/99;7005,2289
06/07/99;6922,8144
07/07/99;6891,1165
08/07/99;6702,5143
09/07/99;6857,8339
12/07/99;6729,457
13/07/99;6629,6092
14/07/99;6631,194
15/07/99;6596,3266
16/07/99;6558,2889
19/07/99;6523,4215
20/07/99;6433,0823
21/07/99;6376,0257
22/07/99;6455,2707
23/07/99;6545,6099
26/07/99;6475,8743
27/07/99;6507,5722
28/07/99;6412,4787
29/07/99;6333,2341
30/07/99;6355,4229
02/08/99;6349,083
03/08/99;6279,3474
04/08/99;6212,7822
05/08/99;6187,4239
06/08/99;6181,0844
09/08/99;6217,5369
10/08/99;6144,6318
11/08/99;6241,3105
12/08/99;6284,1025
13/08/99;6385,5352
16/08/99;6410,8939
17/08/99;6486,9685
18/08/99;6556,7041
19/08/99;6570,9679
20/08/99;6602,6657
23/08/99;6686,665
24/08/99;6648,628
25/08/99;6577,3077
26/08/99;6634,3635
27/08/99;6599,4961
30/08/99;6621,6845
31/08/99;6556,7041
01/09/99;6526,591
02/09/99;6507,5722
03/09/99;6607,4208
06/09/99;6539,27
07/09/99;6452,1012
08/09/99;6564,6287
09/09/99;6605,836
10/09/99;6582,0621
13/09/99;6474,2896
14/09/99;6402,9692
15/09/99;6415,6482
16/09/99;6463,1954
17/09/99;6517,0816
20/09/99;6447,3461
21/09/99;6421,9881
22/09/99;6406,1388
23/09/99;6395,0446
24/09/99;6350,6678
27/09/99;6463,1954
28/09/99;6358,5924
29/09/99;6366,5171
30/09/99;6371,2714
01/10/99;6295,1967
04/10/99;6328,4794
05/10/99;6325,3098
06/10/99;6279,3474
07/10/99;6325,3098
08/10/99;6303,121
11/10/99;6369,6866
12/10/99;6252,4047
13/10/99;6234,9706
14/10/99;6179,4996
15/10/99;6085,9905
18/10/99;5989,3122
19/10/99;6027,3495
20/10/99;5967,1234
21/10/99;5943,3502
22/10/99;6006,7459
25/10/99;5894,2183
26/10/99;6066,972
27/10/99;5892,6335
28/10/99;5975,0481
29/10/99;6033,6894
02/11/99;5992,4817
03/11/99;5994,0669
04/11/99;5963,9538
05/11/99;5856,1814
08/11/99;5826,0683
09/11/99;5959,1991
10/11/99;5963,9538
11/11/99;5941,7654
12/11/99;5937,0107
15/11/99;5998,8212
16/11/99;6019,4253
17/11/99;5927,5013
18/11/99;5908,4824
19/11/99;5910,0676
22/11/99;5860,9357
23/11/99;5807,0494
24/11/99;5792,7853
25/11/99;5862,5208
26/11/99;5692,9371
29/11/99;5634,2961
30/11/99;5661,2392
01/12/99;5770,5969
02/12/99;5775,3516
03/12/99;5822,8984
06/12/99;5713,5407
07/12/99;5683,4276
08/12/99;5586,7494
09/12/99;5686,5976
10/12/99;5672,3334
13/12/99;5601,0131
14/12/99;5670,7487
15/12/99;5699,2766
16/12/99;5673,9182
17/12/99;5597,8436
20/12/99;5545,5421
21/12/99;5756,3327
22/12/99;5856,1814
23/12/99;5910,0676
27/12/99;6304,7062
28/12/99;6196,9333
29/12/99;6136,7072
30/12/99;6127,1977
03/01/00;5975,0481
04/01/00;6181,0844
05/01/00;6179,4996
06/01/00;6155,726
07/01/00;6138,2923
10/01/00;5959,1991
11/01/00;5822,8984
12/01/00;5761,0875
13/01/00;5757,9179
14/01/00;5962,3691
17/01/00;5870,4451
18/01/00;5721,4654
19/01/00;5658,0693
20/01/00;5689,7671
21/01/00;5661,2392
24/01/00;5580,4095
25/01/00;5547,1269
26/01/00;5434,5993
27/01/00;5364,8641
28/01/00;5355,3547
31/01/00;5323,6568
01/02/00;5458,3728
02/02/00;5431,4297
03/02/00;5361,6942
04/02/00;5307,8079
07/02/00;5244,4123
08/02/00;5217,4691
09/02/00;5177,8466
10/02/00;5472,637
11/02/00;5355,3547
14/02/00;5225,3934
15/02/00;5089,0926
16/02/00;5219,0539
17/02/00;5253,9217
18/02/00;5212,7144
21/02/00;5274,5253
22/02/00;5448,8634
23/02/00;5401,3167
24/02/00;5203,205
25/02/00;5363,2793
28/02/00;5236,4876
29/02/00;5540,7874
01/03/00;5816,5589
02/03/00;6222,2916
03/03/00;5935,4256
06/03/00;6169,9902
07/03/00;5651,7298
08/03/00;5654,8997
09/03/00;5667,5787
10/03/00;5574,07
13/03/00;5407,6562
14/03/00;5418,7504
15/03/00;5412,4109
16/03/00;5550,2964
17/03/00;5442,5239
20/03/00;5536,0327
21/03/00;5521,7685
22/03/00;5559,8059
23/03/00;5543,9569
24/03/00;5572,4852
27/03/00;5570,9001
28/03/00;5539,2022
29/03/00;5567,7305
30/03/00;5428,2598
31/03/00;5383,883
03/04/00;5284,0347
04/04/00;5650,145
05/04/00;5686,5976
06/04/00;5542,3722
07/04/00;5567,7305
10/04/00;5521,7685
11/04/00;5493,2406
12/04/00;5515,429
13/04/00;5586,7494
14/04/00;5387,0525
17/04/00;5296,7137
18/04/00;5347,4304
19/04/00;5228,5633
20/04/00;5322,0721
25/04/00;5391,8072
26/04/00;5328,4116
27/04/00;5252,3369
28/04/00;5383,883
02/05/00;5415,5808
03/05/00;5401,3167
04/05/00;5467,8823
05/05/00;5463,1276
08/05/00;5431,4297
09/05/00;5456,7881
10/05/00;5461,5428
