Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
01/04/96;31,8038;110213,4744;1263,1926;0,7717;6471,9863;7524,5786;235090,105
02/04/96;31,8038;110213,4744;1263,1926;0,7748;6471,9863;7524,5786;235090,105
03/04/96;31,8038;110213,4744;1263,1926;0,7803;6471,9863;7524,5786;235090,105
04/04/96;31,8038;110213,4744;1263,1926;0,7811;6471,9863;7524,5786;235090,105
09/04/96;31,8038;110213,4744;1263,1926;0,7978;6471,9863;7524,5786;235090,105
10/04/96;31,8038;110213,4744;1263,1926;0,8099;6471,9863;7524,5786;235090,105
11/04/96;31,8038;110213,4744;1263,1926;0,7931;6471,9863;7524,5786;235090,105
12/04/96;31,8038;110213,4744;1263,1926;0,7939;6471,9863;7524,5786;235090,105
15/04/96;31,8038;110213,4744;1263,1926;0,7904;6471,9863;7524,5786;235090,105
16/04/96;31,8038;110213,4744;1263,1926;0,7963;6471,9863;7524,5786;235090,105
17/04/96;31,8038;110213,4744;1263,1926;0,7873;6471,9863;7524,5786;235090,105
18/04/96;31,8038;110213,4744;1263,1926;0,8009;6471,9863;7524,5786;235090,105
19/04/96;31,8038;110213,4744;1263,1926;0,8056;6471,9863;7524,5786;235090,105
22/04/96;31,8038;110213,4744;1263,1926;0,8075;6471,9863;7524,5786;235090,105
23/04/96;31,8038;110213,4744;1263,1926;0,7904;6471,9863;7524,5786;235090,105
24/04/96;31,8038;110213,4744;1263,1926;0,7943;6471,9863;7524,5786;235090,105
25/04/96;31,8038;110213,4744;1263,1926;0,7943;6471,9863;7524,5786;235090,105
26/04/96;31,8038;110213,4744;1263,1926;0,8185;6471,9863;7524,5786;235090,105
29/04/96;31,8038;110213,4744;1263,1926;0,836;6471,9863;7524,5786;235090,105
30/04/96;31,8038;110213,4744;1263,1926;0,8403;6471,9863;7524,5786;235090,105
02/05/96;31,8038;110213,4744;1263,1926;0,8223;6471,9863;7524,5786;235090,105
03/05/96;31,8038;110213,4744;1263,1926;0,8126;6471,9863;7524,5786;235090,105
06/05/96;31,8038;110213,4744;1263,1926;0,8052;6471,9863;7524,5786;235090,105
07/05/96;31,8038;110213,4744;1263,1926;0,7966;6471,9863;7524,5786;235090,105
09/05/96;31,8038;110213,4744;1263,1926;0,8002;6471,9863;7524,5786;235090,105
10/05/96;31,8038;110213,4744;1263,1926;0,8052;6471,9863;7524,5786;235090,105
13/05/96;31,8038;110213,4744;1263,1926;0,7889;6471,9863;7524,5786;235090,105
14/05/96;31,8038;110213,4744;1263,1926;0,785;6471,9863;7524,5786;235090,105
15/05/96;31,8038;110213,4744;1263,1926;0,7799;6471,9863;7524,5786;235090,105
17/05/96;31,8038;110213,4744;1263,1926;0,7834;6471,9863;7524,5786;235090,105
20/05/96;31,8038;110213,4744;1263,1926;0,7709;6471,9863;7524,5786;235090,105
21/05/96;31,8038;110213,4744;1263,1926;0,7628;6471,9863;7524,5786;235090,105
22/05/96;31,8038;110213,4744;1263,1926;0,7468;6471,9863;7524,5786;235090,105
23/05/96;31,8038;110213,4744;1263,1926;0,7398;6471,9863;7524,5786;235090,105
24/05/96;31,8038;110213,4744;1263,1926;0,7402;6471,9863;7524,5786;235090,105
28/05/96;31,8038;110213,4744;1263,1926;0,7565;6471,9863;7524,5786;235090,105
29/05/96;31,8038;110213,4744;1263,1926;0,7573;6471,9863;7524,5786;235090,105
