Year,Quarter,MVA,DELTA_MVA
1996,3,254588.1963407997,0.06270687766948863
1996,4,255126.95350933942,0.002116190680806408
1997,1,288748.9445391197,0.1317853349765708
1997,2,288844.0122959697,0.00032924018822552475
1997,3,294096.88438224,0.018185843786465084
1997,4,294213.1248892625,0.0003952456254905407
1998,1,301464.87435592007,0.024647946856167727
1998,2,301846.60433362104,0.0012662502671879838
1998,3,324187.77224419976,0.07401497180960753
1998,4,324267.03774661996,0.0002445049110627399
1999,1,328692.07404584985,0.013646272313029804
1999,2,328949.31201202556,0.0007826107974232211
1999,3,344775.9826075,0.048112794335000285
1999,4,349769.4288281468,0.01448316145133412
2000,1,683529.4354513994,0.9542286406832883
2000,2,684005.8309103139,0.0006969640723663155
2000,3,712117.9640000005,0.04109925942045465
2000,4,711986.7718513737,-0.00018422811283943667
2001,1,702709.9529000006,-0.013029482173173897
2001,2,704428.9392636394,0.0024462245860396906
2001,3,810696.6400000006,0.15085652336692187
2001,4,811303.6402973552,0.0007487391305268642
2002,1,849361.908200001,0.046910017424175256
2002,2,848444.9674297817,-0.0010795642721517
2002,3,789142.6125999993,-0.06989534631742668
2002,4,788358.1360752922,-0.0009940871424018282
2003,1,735365.9251000008,-0.06721844876124981
2003,2,735573.673214803,0.00028250984674592437
2003,3,748144.7016,0.017090101023131698
2003,4,748831.6193160401,0.0009181615729831203
2004,1,792586.4891000006,0.0584308523509262
2004,2,793425.2484920389,0.0010582559803546067
2004,3,845713.0781000007,0.06590139361879213
2004,4,848170.7250128106,0.002906005566723905
2005,1,1014138.8947999999,0.19567778619650258
2005,2,1016316.5394075266,0.002147284379578177
2005,3,1159722.3952000008,0.14110353441268833
2005,4,1161605.0555795906,0.0016233715821837625
2006,1,1282458.4012000014,0.10403996180966187
2006,2,1285482.4742588203,0.002358028187104779
2006,3,1459595.8665000026,0.1354459479049468
2006,4,1459069.9828659638,-0.00036029400062618925
2007,1,1426649.744,-0.022219797025967696
2007,2,1428833.4596142299,0.0015306599418770206
2007,3,1563748.1842000014,0.09442298798223632
2007,4,1565877.3599648452,0.0013615848039709075
2008,1,1702584.8976,0.08730411533520348
2008,2,1702390.8705474122,-0.0001139602805483205
2008,3,1679552.147200002,-0.013415675414228572
2008,4,1683611.0272396016,0.0024166442502938
2009,1,1936600.1633999986,0.15026578708930793
2009,2,1945915.128861601,0.004809958006638079
2009,3,2492996.8667999962,0.281143678788524
2009,4,2489867.398971074,-0.0012553035547691704
2010,1,2257598.4512000023,-0.0932856696975331
2010,2,2256826.9188154973,-0.0003417491645137026
2010,3,2200776.8475000006,-0.024835786407986817
2010,4,2200062.342033793,-0.0003246605702068556
2011,1,2150071.3856999977,-0.02272251807536629
2011,2,2147504.9720458533,-0.001193641137319188
2011,3,1983781.7230000012,-0.0762388218779669
2011,4,1983190.7521872083,-0.0002979011279019075
2012,1,1945949.0499000035,-0.018778678877022753
2012,2,1947916.54580479,0.001011072671654798
2012,3,2060927.6835000017,0.05801641653416967
2012,4,2059784.593240236,-0.0005546484085382705
2013,1,1980608.2794999976,-0.03843912319767694
2013,2,1979227.8141579214,-0.0006969905944373612
2013,3,1892710.6461999977,-0.04371258696904128
2013,4,1892196.2006415993,-0.00027180359524650566
2014,1,1857907.5814999994,-0.018121069649105835
2014,2,1857405.0723902183,-0.00027047045546550714
2014,3,1825597.8048000012,-0.01712457237412709
2014,4,1829040.7078450208,0.0018859044615233743
2015,1,2052474.5313000027,0.12215902166454898
2015,2,2053914.2618024999,0.0007014608369270585
2015,3,2142433.0549999983,0.043097608718980794
2015,4,2141829.0711892527,-0.00028191490480230933
2016,1,2099646.830600001,-0.01969449437243375
2016,2,2099600.6872376814,-2.197672563169899e-05
