Date;PX_LAST
04/01/95;18,1857
05/01/95;18,0314
06/01/95;18,4283
09/01/95;17,9358
10/01/95;18,0608
11/01/95;18,1563
12/01/95;18,0828
13/01/95;18,0093
16/01/95;18,171
17/01/95;18,3033
18/01/95;18,6268
19/01/95;18,0828
20/01/95;17,6932
23/01/95;17,2375
24/01/95;16,8038
25/01/95;17,2007
26/01/95;17,48
27/01/95;17,3183
30/01/95;17,3992
31/01/95;17,2963
01/02/95;17,7888
02/02/95;17,3477
03/02/95;17,5756
06/02/95;18,1416
07/02/95;18,1049
08/02/95;17,6859
09/02/95;18,3033
10/02/95;18,6341
13/02/95;18,2666
14/02/95;18,5238
15/02/95;18,296
16/02/95;17,6418
17/02/95;17,5315
20/02/95;17,7741
21/02/95;17,4947
22/02/95;17,3551
23/02/95;17,5756
24/02/95;17,5683
27/02/95;17,2007
28/02/95;16,7229
01/03/95;17,2228
02/03/95;17,4212
03/03/95;17,0684
06/03/95;16,9434
07/03/95;16,3333
08/03/95;16,1349
09/03/95;15,8408
10/03/95;16,3333
13/03/95;16,3113
14/03/95;16,6862
15/03/95;15,929
16/03/95;16,5759
17/03/95;16,5318
20/03/95;16,9508
21/03/95;17,1566
22/03/95;17,333
23/03/95;16,6862
24/03/95;16,7376
27/03/95;17,2595
28/03/95;17,2816
29/03/95;17,7153
30/03/95;18,5606
31/03/95;17,9725
03/04/95;17,9725
04/04/95;18,2666
05/04/95;18,2372
06/04/95;18,4503
07/04/95;18,443
10/04/95;18,0681
11/04/95;17,7961
12/04/95;17,5756
13/04/95;17,5683
18/04/95;17,0464
19/04/95;17,164
20/04/95;17,3845
21/04/95;18,2519
24/04/95;18,0608
25/04/95;18,3768
26/04/95;18,3401
27/04/95;17,7741
28/04/95;17,5683
02/05/95;17,8623
03/05/95;18,2886
04/05/95;18,3989
05/05/95;18,3989
09/05/95;19,3839
10/05/95;19,4574
11/05/95;19,1119
12/05/95;19,2442
15/05/95;18,6047
16/05/95;18,9134
17/05/95;19,1119
18/05/95;18,7591
19/05/95;18,5238
22/05/95;18,7003
23/05/95;18,1416
24/05/95;17,583
26/05/95;16,8993
29/05/95;17,3477
30/05/95;17,6565
31/05/95;18,0019
01/06/95;18,0828
02/06/95;18,443
06/06/95;18,7076
07/06/95;18,7958
08/06/95;18,3768
09/06/95;17,9505
12/06/95;17,8623
13/06/95;18,0681
14/06/95;17,6271
15/06/95;17,5683
16/06/95;17,3771
19/06/95;17,8255
20/06/95;17,6785
21/06/95;17,6785
22/06/95;17,9358
