Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
30/06/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
01/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
02/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
05/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
06/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
07/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
08/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
09/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
12/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
13/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
14/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
15/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
16/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
19/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
20/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
21/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
22/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
23/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
26/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
27/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
28/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
29/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
30/07/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
02/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
03/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
04/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
05/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
06/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
09/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
10/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
11/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
12/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
13/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
16/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
17/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
18/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
19/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
20/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
23/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
24/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
25/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
26/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
27/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
30/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
31/08/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
01/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
02/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
03/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
06/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
07/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
08/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
09/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
10/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
13/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
14/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
15/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
16/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
17/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
20/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
21/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
22/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
23/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
24/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
27/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
28/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
29/09/04;18,394;705,08;3956,0309;1,2128;1183,2214;906,5805;16097,4774
30/09/04;18,6862;705,08;4046,3595;1,2128;1183,2214;936,6211;16501,6881
04/10/04;18,6862;705,08;4046,3595;1,2128;1183,2214;936,6211;16501,6881
05/10/04;18,6862;705,08;4046,3595;1,2128;1183,2214;936,6211;16501,6881
06/10/04;18,6862;705,08;4046,3595;1,2128;1183,2214;936,6211;16501,6881
07/10/04;18,6862;705,08;4046,3595;1,2128;1183,2214;936,6211;16501,6881
08/10/04;18,6862;705,08;4046,3595;1,2128;1183,2214;936,6211;16501,6881
11/10/04;18,6862;705,08;4046,3595;1,2128;1183,2214;936,6211;16501,6881
12/10/04;18,6862;705,08;4046,3595;1,2128;1183,2214;936,6211;16501,6881
13/10/04;18,6862;705,08;4046,3595;1,2128;1183,2214;936,6211;16501,6881
14/10/04;18,6862;705,08;4046,3595;1,2128;1183,2214;936,6211;16501,6881
15/10/04;18,6862;705,08;4046,3595;1,2128;1183,2214;936,6211;16501,6881
18/10/04;18,6862;705,08;4046,3595;1,2128;1183,2214;936,6211;16501,6881
19/10/04;18,6862;705,08;4046,3595;1,2128;1183,2214;936,6211;16501,6881
