Year,Quarter,MVA,DELTA_MVA
2004,3,16688.029635430717,0.0007428750653767249
2004,4,17501.889198819976,0.04876906268558724
2005,1,17517.17922791965,0.0008736216374118067
2005,2,18444.186605141826,0.05291990023968424
2005,3,19033.992820966298,0.03197789246287756
2005,4,20401.8602010287,0.07186444761898148
2006,1,23048.81087475678,0.129740653432897
2006,2,22236.08994100489,-0.035260861749791386
2006,3,22362.5922371682,0.005689053088871916
2006,4,24923.803957286727,0.11453107461583163
2007,1,24903.677275543236,-0.0008075284887485004
2007,2,26251.607869346197,0.05412576539958226
2007,3,28321.58712543791,0.07885152278648849
2007,4,30310.73253647129,0.0702342493103703
2008,1,31125.41558836366,0.02687770910558186
2008,2,31822.997120712193,0.022411958817646318
2008,3,31217.398120718757,-0.019030231429687607
2008,4,33633.14040475543,0.07738448523784447
2009,1,34323.18873943801,0.02051691654059791
2009,2,36094.762365502465,0.051614482544533595
2009,3,38404.90365493665,0.06400211936682813
2009,4,38599.38368490938,0.00506393745236566
2010,1,38841.208345222214,0.006264987604125348
2010,2,40109.255156588995,0.03264694548368141
2010,3,40504.389286055724,0.009851445206950395
2010,4,42746.04724930488,0.055343581344179944
2011,1,45160.89376385594,0.05649286121046726
2011,2,43049.670346384155,-0.0467489290294223
2011,3,46468.67179151764,0.07941992163061143
2011,4,36288.758911430305,-0.21907045085686247
2012,1,33854.63961863797,-0.06707639957412899
2012,2,41785.0027514365,0.23424745388317855
2012,3,33976.690146746514,-0.18686878282954159
2012,4,36408.407954819,0.07157017936620107
2013,1,6981.236835499995,-0.808252070671056
2013,2,6981.236835499995,0.0
2013,3,8001.220378730764,0.14610355833282915
2013,4,72557.46035338748,8.068299199240064
2014,1,30602.320457836177,-0.5782333021471657
2014,2,29996.988495337966,-0.01978059027687903
2014,3,29357.613627629013,-0.02131463522774371
2014,4,32153.475310587484,0.09523463720250179
2015,1,26159.10146964278,-0.18643004474763195
2015,2,26855.103632447837,0.026606501129740855
2015,3,26025.78427594964,-0.030881256980001586
2015,4,24789.07809772746,-0.047518498006033943
2016,1,22078.015675965413,-0.10936519749036504
2016,2,23133.153758901157,0.047791345853802854
2016,3,22499.08583757696,-0.02740948890638054
