Date;PX_LAST
03/01/96;1,187
04/01/96;1,1676
05/01/96;1,1715
08/01/96;1,1676
09/01/96;1,187
10/01/96;1,2413
11/01/96;1,3034
12/01/96;1,3266
15/01/96;1,2995
16/01/96;1,2685
17/01/96;1,2413
18/01/96;1,2607
19/01/96;1,3228
22/01/96;1,3228
26/01/96;1,3809
29/01/96;1,474
30/01/96;1,4973
31/01/96;1,4702
01/02/96;1,4818
02/02/96;1,4779
05/02/96;1,4702
06/02/96;1,4391
07/02/96;1,4197
08/02/96;1,4236
09/02/96;1,4624
12/02/96;1,4896
13/02/96;1,5322
14/02/96;1,54
15/02/96;1,5555
19/02/96;1,5516
20/02/96;1,5477
21/02/96;1,5361
22/02/96;1,4896
27/02/96;1,4353
28/02/96;1,4702
29/02/96;1,4973
04/03/96;1,509
05/03/96;1,4857
06/03/96;1,4663
07/03/96;1,4546
11/03/96;1,4314
12/03/96;1,4391
13/03/96;1,4546
14/03/96;1,4546
02/04/96;1,4857
03/04/96;1,4973
04/04/96;1,4973
05/04/96;1,4857
08/04/96;1,4663
09/04/96;1,4546
10/04/96;1,4546
11/04/96;1,4546
16/04/96;1,4585
17/04/96;1,4857
18/04/96;1,4663
19/04/96;1,4663
22/04/96;1,4546
23/04/96;1,4275
24/04/96;1,443
25/04/96;1,4353
26/04/96;1,4353
29/04/96;1,4314
30/04/96;1,4236
02/05/96;1,4197
03/05/96;1,4391
06/05/96;1,4508
07/05/96;1,4896
08/05/96;1,509
09/05/96;1,4857
10/05/96;1,4857
13/05/96;1,4857
14/05/96;1,4779
15/05/96;1,4585
16/05/96;1,4624
17/05/96;1,474
20/05/96;1,4857
21/05/96;1,4818
22/05/96;1,4857
23/05/96;1,4857
24/05/96;1,4779
27/05/96;1,4857
28/05/96;1,4585
29/05/96;1,4546
30/05/96;1,4546
31/05/96;1,4314
04/06/96;1,412
05/06/96;1,4236
06/06/96;1,4391
07/06/96;1,4508
10/06/96;1,4469
11/06/96;1,4159
12/06/96;1,4159
13/06/96;1,4003
14/06/96;1,346
17/06/96;1,2297
18/06/96;1,2995
19/06/96;1,3266
20/06/96;1,3189
21/06/96;1,3034
24/06/96;1,2956
25/06/96;1,2995
26/06/96;1,2917
27/06/96;1,2646
28/06/96;1,2529
01/07/96;1,2374
02/07/96;1,2413
03/07/96;1,2219
04/07/96;1,2025
05/07/96;1,2025
08/07/96;1,2297
09/07/96;1,2452
10/07/96;1,2335
11/07/96;1,2297
12/07/96;1,2529
15/07/96;1,2685
16/07/96;1,284
17/07/96;1,2956
18/07/96;1,3228
19/07/96;1,3228
22/07/96;1,3228
23/07/96;1,3189
24/07/96;1,3034
25/07/96;1,284
26/07/96;1,3034
29/07/96;1,2995
30/07/96;1,284
31/07/96;1,2878
01/08/96;1,2878
02/08/96;1,2956
05/08/96;1,2956
07/08/96;1,2995
09/08/96;1,3228
12/08/96;1,3383
13/08/96;1,3499
14/08/96;1,3732
16/08/96;1,3577
19/08/96;1,3616
20/08/96;1,3654
21/08/96;1,3577
22/08/96;1,3499
23/08/96;1,3499
26/08/96;1,3771
27/08/96;1,3693
28/08/96;1,3809
29/08/96;1,3771
30/08/96;1,3848
02/09/96;1,3926
03/09/96;1,412
04/09/96;1,4081
05/09/96;1,3887
06/09/96;1,3848
09/09/96;1,3577
10/09/96;1,3693
11/09/96;1,3577
12/09/96;1,3499
13/09/96;1,346
16/09/96;1,3422
17/09/96;1,3305
18/09/96;1,3111
19/09/96;1,3072
20/09/96;1,3111
23/09/96;1,3305
24/09/96;1,3266
25/09/96;1,3266
26/09/96;1,3228
27/09/96;1,315
30/09/96;1,315
02/10/96;1,315
03/10/96;1,3111
04/10/96;1,315
07/10/96;1,3266
08/10/96;1,3499
09/10/96;1,3499
10/10/96;1,346
11/10/96;1,3499
14/10/96;1,3499
15/10/96;1,3383
16/10/96;1,346
17/10/96;1,346
18/10/96;1,3383
21/10/96;1,3344
22/10/96;1,3266
23/10/96;1,3266
24/10/96;1,3228
25/10/96;1,3383
29/10/96;1,3616
30/10/96;1,3771
31/10/96;1,3693
01/11/96;1,3732
04/11/96;1,3538
05/11/96;1,3577
06/11/96;1,3499
07/11/96;1,3499
08/11/96;1,3499
11/11/96;1,3422
12/11/96;1,3383
13/11/96;1,3305
14/11/96;1,3305
15/11/96;1,3305
18/11/96;1,3266
19/11/96;1,3189
20/11/96;1,3228
21/11/96;1,3228
22/11/96;1,315
25/11/96;1,2995
26/11/96;1,3034
27/11/96;1,2956
28/11/96;1,2917
29/11/96;1,2917
02/12/96;1,3189
03/12/96;1,3189
04/12/96;1,3266
05/12/96;1,3266
06/12/96;1,3228
09/12/96;1,3266
10/12/96;1,3189
11/12/96;1,3111
12/12/96;1,3111
13/12/96;1,315
16/12/96;1,3034
17/12/96;1,2995
18/12/96;1,3072
19/12/96;1,315
20/12/96;1,315
23/12/96;1,3189
27/12/96;1,3266
30/12/96;1,3266
31/12/96;1,3266
02/01/97;1,3305
03/01/97;1,3305
07/01/97;1,3072
08/01/97;1,2995
09/01/97;1,2917
10/01/97;1,3034
13/01/97;1,2995
14/01/97;1,2995
15/01/97;1,2956
16/01/97;1,2956
17/01/97;1,2995
20/01/97;1,2956
21/01/97;1,2762
22/01/97;1,2568
23/01/97;1,2646
24/01/97;1,2568
27/01/97;1,2374
28/01/97;1,2374
29/01/97;1,2258
30/01/97;1,2025
31/01/97;1,218
03/02/97;1,2413
04/02/97;1,2607
05/02/97;1,2646
06/02/97;1,2762
07/02/97;1,2646
10/02/97;1,2646
11/02/97;1,2529
12/02/97;1,2335
13/02/97;1,2219
14/02/97;1,2413
17/02/97;1,2491
18/02/97;1,2491
19/02/97;1,2607
20/02/97;1,2646
21/02/97;1,2685
24/02/97;1,2685
25/02/97;1,2762
26/02/97;1,2685
27/02/97;1,2529
28/02/97;1,2607
03/03/97;1,2568
04/03/97;1,2529
05/03/97;1,2646
06/03/97;1,2646
07/03/97;1,2685
11/03/97;1,2568
12/03/97;1,2646
13/03/97;1,2607
14/03/97;1,2646
17/03/97;1,284
18/03/97;1,2917
19/03/97;1,2801
20/03/97;1,284
21/03/97;1,2801
24/03/97;1,284
26/03/97;1,2917
27/03/97;1,3034
28/03/97;1,3266
31/03/97;1,3383
02/04/97;1,3189
03/04/97;1,315
04/04/97;1,3072
07/04/97;1,2917
08/04/97;1,2878
09/04/97;1,2878
10/04/97;1,2956
11/04/97;1,3034
14/04/97;1,2646
15/04/97;1,2762
16/04/97;1,2801
17/04/97;1,2801
18/04/97;1,2723
21/04/97;1,2685
22/04/97;1,2723
23/04/97;1,2685
24/04/97;1,2723
29/04/97;1,2646
30/04/97;1,2607
02/05/97;1,2568
05/05/97;1,2607
06/05/97;1,2491
07/05/97;1,2568
08/05/97;1,2529
09/05/97;1,2556
12/05/97;1,2475
13/05/97;1,2394
14/05/97;1,2111
15/05/97;1,2313
16/05/97;1,2313
19/05/97;1,2232
20/05/97;1,2151
21/05/97;1,2151
22/05/97;1,2151
23/05/97;1,207
26/05/97;1,2111
27/05/97;1,2151
28/05/97;1,2111
29/05/97;1,1989
30/05/97;1,1949
02/06/97;1,1827
03/06/97;1,1868
04/06/97;1,1827
05/06/97;1,1827
06/06/97;1,1908
09/06/97;1,1908
10/06/97;1,207
11/06/97;1,2111
12/06/97;1,207
13/06/97;1,2111
17/06/97;1,2111
18/06/97;1,1989
19/06/97;1,1989
20/06/97;1,1949
23/06/97;1,1949
24/06/97;1,203
25/06/97;1,1989
26/06/97;1,1989
27/06/97;1,1949
30/06/97;1,1989
01/07/97;1,1908
02/07/97;1,1908
03/07/97;1,1868
04/07/97;1,1908
07/07/97;1,1868
08/07/97;1,1827
09/07/97;1,1868
10/07/97;1,1908
11/07/97;1,1868
14/07/97;1,1908
15/07/97;1,1787
16/07/97;1,1706
17/07/97;1,1787
18/07/97;1,1868
21/07/97;1,1868
22/07/97;1,1868
23/07/97;1,1868
24/07/97;1,1868
25/07/97;1,1868
28/07/97;1,1868
29/07/97;1,1868
30/07/97;1,1908
31/07/97;1,1908
01/08/97;1,1908
04/08/97;1,1949
05/08/97;1,1989
06/08/97;1,207
07/08/97;1,2151
08/08/97;1,2111
11/08/97;1,207
12/08/97;1,203
13/08/97;1,207
14/08/97;1,2232
18/08/97;1,2111
19/08/97;1,2151
20/08/97;1,2151
21/08/97;1,2151
22/08/97;1,2151
25/08/97;1,2192
26/08/97;1,2313
27/08/97;1,2273
28/08/97;1,2313
29/08/97;1,2475
01/09/97;1,2435
02/09/97;1,2516
03/09/97;1,2597
04/09/97;1,2556
05/09/97;1,2597
08/09/97;1,2597
09/09/97;1,2678
10/09/97;1,2678
11/09/97;1,2678
12/09/97;1,2678
15/09/97;1,2678
16/09/97;1,2678
17/09/97;1,2678
18/09/97;1,2678
19/09/97;1,2637
22/09/97;1,2556
23/09/97;1,2516
24/09/97;1,2556
25/09/97;1,2556
26/09/97;1,2354
29/09/97;1,2354
30/09/97;1,2313
02/10/97;1,2313
03/10/97;1,2313
06/10/97;1,2273
07/10/97;1,2313
08/10/97;1,2354
09/10/97;1,2313
10/10/97;1,2273
13/10/97;1,2273
14/10/97;1,2313
15/10/97;1,2394
16/10/97;1,2435
17/10/97;1,2394
20/10/97;1,2435
21/10/97;1,2394
22/10/97;1,2354
23/10/97;1,2273
24/10/97;1,2273
27/10/97;1,2313
29/10/97;1,2313
30/10/97;1,2232
31/10/97;1,2192
03/11/97;1,2151
04/11/97;1,2111
05/11/97;1,2232
06/11/97;1,2232
07/11/97;1,2232
10/11/97;1,2192
11/11/97;1,2232
12/11/97;1,2232
13/11/97;1,2273
14/11/97;1,2232
17/11/97;1,2232
18/11/97;1,2273
19/11/97;1,2232
20/11/97;1,2192
21/11/97;1,2111
24/11/97;1,2313
25/11/97;1,2313
