Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
02/04/01;26,3925;2528,6001;168,4;1,9825;2401,0629;1217,8;29482,5012
03/04/01;26,3925;2528,6001;168,4;1,9825;2401,0629;1217,8;29482,5012
04/04/01;26,3925;2528,6001;168,4;1,9825;2401,0629;1217,8;29482,5012
05/04/01;26,3925;2528,6001;168,4;1,9825;2401,0629;1217,8;29482,5012
06/04/01;26,3925;2528,6001;168,4;1,9825;2401,0629;1217,8;29482,5012
09/04/01;26,3925;2528,6001;168,4;1,9879;2401,0629;1217,8;29482,5012
10/04/01;26,3925;2528,6001;168,4;1,9933;2401,0629;1217,8;29482,5012
11/04/01;26,3925;2528,6001;168,4;1,9988;2401,0629;1217,8;29482,5012
12/04/01;26,3925;2528,6001;168,4;2,0015;2401,0629;1217,8;29482,5012
17/04/01;26,3925;2528,6001;168,4;2,0042;2401,0629;1217,8;29482,5012
18/04/01;26,3925;2528,6001;168,4;2,0069;2401,0629;1217,8;29482,5012
19/04/01;26,3925;2528,6001;168,4;2,0096;2401,0629;1217,8;29482,5012
20/04/01;26,3925;2528,6001;168,4;2,015;2401,0629;1217,8;29482,5012
23/04/01;26,3925;2528,6001;168,4;2,0177;2401,0629;1217,8;29482,5012
24/04/01;26,3925;2528,6001;168,4;2,0205;2401,0629;1217,8;29482,5012
25/04/01;26,3925;2528,6001;168,4;2,0205;2401,0629;1217,8;29482,5012
26/04/01;26,3925;2528,6001;168,4;2,0205;2401,0629;1217,8;29482,5012
27/04/01;26,3925;2528,6001;168,4;2,0205;2401,0629;1217,8;29482,5012
30/04/01;26,3925;2528,6001;168,4;2,0259;2401,0629;1217,8;29482,5012
02/05/01;26,3925;2528,6001;168,4;2,0313;2401,0629;1217,8;29482,5012
03/05/01;26,3925;2528,6001;168,4;2,034;2401,0629;1217,8;29482,5012
04/05/01;26,3925;2528,6001;168,4;2,034;2401,0629;1217,8;29482,5012
07/05/01;26,3925;2528,6001;168,4;2,0069;2401,0629;1217,8;29482,5012
08/05/01;26,3925;2528,6001;168,4;2,0123;2401,0629;1217,8;29482,5012
09/05/01;26,3925;2528,6001;168,4;2,0177;2401,0629;1217,8;29482,5012
10/05/01;26,3925;2528,6001;168,4;2,0232;2401,0629;1217,8;29482,5012
11/05/01;26,3925;2528,6001;168,4;2,0286;2401,0629;1217,8;29482,5012
14/05/01;26,3925;2528,6001;168,4;2,0286;2401,0629;1217,8;29482,5012
15/05/01;26,3925;2528,6001;168,4;2,0286;2401,0629;1217,8;29482,5012
16/05/01;26,3925;2528,6001;168,4;2,0259;2401,0629;1217,8;29482,5012
17/05/01;26,3925;2528,6001;168,4;2,0259;2401,0629;1217,8;29482,5012
18/05/01;26,3925;2528,6001;168,4;2,0286;2401,0629;1217,8;29482,5012
21/05/01;26,3925;2528,6001;168,4;2,0286;2401,0629;1217,8;29482,5012
22/05/01;26,3925;2528,6001;168,4;2,0259;2401,0629;1217,8;29482,5012
23/05/01;26,3925;2528,6001;168,4;2,0232;2401,0629;1217,8;29482,5012
24/05/01;26,3925;2528,6001;168,4;2,0177;2401,0629;1217,8;29482,5012
25/05/01;26,3925;2528,6001;168,4;2,0069;2401,0629;1217,8;29482,5012
28/05/01;26,3925;2528,6001;168,4;2,0015;2401,0629;1217,8;29482,5012
29/05/01;26,3925;2528,6001;168,4;2,0069;2401,0629;1217,8;29482,5012
30/05/01;26,3925;2528,6001;168,4;2,0069;2401,0629;1217,8;29482,5012
31/05/01;26,3925;2528,6001;168,4;2,0069;2401,0629;1217,8;29482,5012
01/06/01;26,3925;2528,6001;168,4;2,0069;2401,0629;1217,8;29482,5012
04/06/01;26,3925;2528,6001;168,4;2,0069;2401,0629;1217,8;29482,5012
05/06/01;26,3925;2528,6001;168,4;2,0069;2401,0629;1217,8;29482,5012
06/06/01;26,3925;2528,6001;168,4;2,0069;2401,0629;1217,8;29482,5012
07/06/01;26,3925;2528,6001;168,4;2,0042;2401,0629;1217,8;29482,5012
08/06/01;26,3925;2528,6001;168,4;1,9798;2401,0629;1217,8;29482,5012
11/06/01;26,3925;2528,6001;168,4;1,9798;2401,0629;1217,8;29482,5012
12/06/01;26,3925;2528,6001;168,4;1,9798;2401,0629;1217,8;29482,5012
13/06/01;26,3925;2528,6001;168,4;1,9798;2401,0629;1217,8;29482,5012
14/06/01;26,3925;2528,6001;168,4;1,9798;2401,0629;1217,8;29482,5012
15/06/01;26,3925;2528,6001;168,4;1,9798;2401,0629;1217,8;29482,5012
18/06/01;26,3925;2528,6001;168,4;1,9744;2401,0629;1217,8;29482,5012
19/06/01;26,3925;2528,6001;168,4;1,9744;2401,0629;1217,8;29482,5012
20/06/01;26,3925;2528,6001;168,4;1,9716;2401,0629;1217,8;29482,5012
21/06/01;26,3925;2528,6001;168,4;1,9662;2401,0629;1217,8;29482,5012
22/06/01;26,3925;2528,6001;168,4;1,9554;2401,0629;1217,8;29482,5012
25/06/01;26,3925;2528,6001;168,4;1,9418;2401,0629;1217,8;29482,5012
26/06/01;26,3925;2528,6001;168,4;1,9147;2401,0629;1217,8;29482,5012
27/06/01;26,3925;2528,6001;168,4;1,8984;2401,0629;1217,8;29482,5012
28/06/01;26,3925;2528,6001;168,4;1,8984;2401,0629;1217,8;29482,5012
29/06/01;26,3925;2717,7;178;1,9141;2299,6401;1201,4;30361,3998
02/07/01;26,3925;2717,7;178;1,9141;2299,6401;1201,4;30361,3998
03/07/01;26,3925;2717,7;178;1,9141;2299,6401;1201,4;30361,3998
04/07/01;26,3925;2717,7;178;1,9141;2299,6401;1201,4;30361,3998
05/07/01;26,3925;2717,7;178;1,9141;2299,6401;1201,4;30361,3998
06/07/01;26,3925;2717,7;178;1,9141;2299,6401;1201,4;30361,3998
09/07/01;26,3925;2717,7;178;1,9141;2299,6401;1201,4;30361,3998
10/07/01;26,3925;2717,7;178;1,9141;2299,6401;1201,4;30361,3998
11/07/01;26,3925;2717,7;178;1,9141;2299,6401;1201,4;30361,3998
12/07/01;26,3925;2717,7;178;1,9141;2299,6401;1201,4;30361,3998
13/07/01;26,3925;2717,7;178;1,9141;2299,6401;1201,4;30361,3998
16/07/01;26,3925;2717,7;178;1,9087;2299,6401;1201,4;30361,3998
17/07/01;26,3925;2717,7;178;1,9087;2299,6401;1201,4;30361,3998
18/07/01;26,3925;2717,7;178;1,9032;2299,6401;1201,4;30361,3998
19/07/01;26,3925;2717,7;178;1,9032;2299,6401;1201,4;30361,3998
20/07/01;26,3925;2717,7;178;1,8594;2299,6401;1201,4;30361,3998
23/07/01;26,3925;2717,7;178;1,8048;2299,6401;1201,4;30361,3998
24/07/01;26,3925;2717,7;178;1,6516;2299,6401;1201,4;30361,3998
25/07/01;26,3925;2717,7;178;1,6954;2299,6401;1201,4;30361,3998
26/07/01;26,3925;2717,7;178;1,7501;2299,6401;1201,4;30361,3998
27/07/01;26,3925;2717,7;178;1,7637;2299,6401;1201,4;30361,3998
30/07/01;26,3925;2717,7;178;1,7774;2299,6401;1201,4;30361,3998
31/07/01;26,3925;2717,7;178;1,7911;2299,6401;1201,4;30361,3998
01/08/01;26,3925;2717,7;178;1,802;2299,6401;1201,4;30361,3998
02/08/01;26,3925;2717,7;178;1,8048;2299,6401;1201,4;30361,3998
03/08/01;26,3925;2717,7;178;1,813;2299,6401;1201,4;30361,3998
06/08/01;26,3925;2717,7;178;1,8157;2299,6401;1201,4;30361,3998
07/08/01;26,3925;2717,7;178;1,8157;2299,6401;1201,4;30361,3998
08/08/01;26,3925;2717,7;178;1,8212;2299,6401;1201,4;30361,3998
09/08/01;26,3925;2717,7;178;1,8212;2299,6401;1201,4;30361,3998
10/08/01;26,3925;2717,7;178;1,8266;2299,6401;1201,4;30361,3998
13/08/01;26,3925;2717,7;178;1,8485;2299,6401;1201,4;30361,3998
14/08/01;26,3925;2717,7;178;1,8485;2299,6401;1201,4;30361,3998
16/08/01;26,3925;2717,7;178;1,8512;2299,6401;1201,4;30361,3998
17/08/01;26,3925;2717,7;178;1,854;2299,6401;1201,4;30361,3998
20/08/01;26,3925;2717,7;178;1,854;2299,6401;1201,4;30361,3998
21/08/01;26,3925;2717,7;178;1,854;2299,6401;1201,4;30361,3998
22/08/01;26,3925;2717,7;178;1,854;2299,6401;1201,4;30361,3998
23/08/01;26,3925;2717,7;178;1,854;2299,6401;1201,4;30361,3998
24/08/01;26,3925;2717,7;178;1,854;2299,6401;1201,4;30361,3998
27/08/01;26,3925;2717,7;178;1,854;2299,6401;1201,4;30361,3998
28/08/01;26,3925;2717,7;178;1,854;2299,6401;1201,4;30361,3998
29/08/01;26,3925;2717,7;178;1,8567;2299,6401;1201,4;30361,3998
30/08/01;26,3925;2717,7;178;1,8594;2299,6401;1201,4;30361,3998
31/08/01;26,3925;2717,7;178;1,8594;2299,6401;1201,4;30361,3998
03/09/01;26,3925;2717,7;178;1,8649;2299,6401;1201,4;30361,3998
04/09/01;26,3925;2717,7;178;1,8704;2299,6401;1201,4;30361,3998
05/09/01;26,3925;2717,7;178;1,8704;2299,6401;1201,4;30361,3998
06/09/01;26,3925;2717,7;178;1,8594;2299,6401;1201,4;30361,3998
07/09/01;26,3925;2717,7;178;1,854;2299,6401;1201,4;30361,3998
10/09/01;26,3925;2717,7;178;1,8403;2299,6401;1201,4;30361,3998
11/09/01;26,3925;2717,7;178;1,8212;2299,6401;1201,4;30361,3998
12/09/01;26,3925;2717,7;178;1,7391;2299,6401;1201,4;30361,3998
13/09/01;26,3925;2717,7;178;1,7391;2299,6401;1201,4;30361,3998
14/09/01;26,3925;2717,7;178;1,7501;2299,6401;1201,4;30361,3998
17/09/01;26,3925;2717,7;178;1,6133;2299,6401;1201,4;30361,3998
18/09/01;26,3925;2717,7;178;1,6133;2299,6401;1201,4;30361,3998
19/09/01;26,3925;2717,7;178;1,6954;2299,6401;1201,4;30361,3998
20/09/01;26,3925;2717,7;178;1,6407;2299,6401;1201,4;30361,3998
21/09/01;26,3925;2717,7;178;1,5751;2299,6401;1201,4;30361,3998
24/09/01;26,3925;2717,7;178;1,5587;2299,6401;1201,4;30361,3998
25/09/01;26,3925;2717,7;178;1,586;2299,6401;1201,4;30361,3998
26/09/01;26,3925;2717,7;178;1,5969;2299,6401;1201,4;30361,3998
27/09/01;26,3925;2717,7;178;1,6133;2299,6401;1201,4;30361,3998
28/09/01;27,1006;2521,3;183,8;1,6061;1946,33;1211,8;30962,4001
01/10/01;27,1006;2521,3;183,8;1,6224;1946,33;1211,8;30962,4001
02/10/01;27,1006;2521,3;183,8;1,6224;1946,33;1211,8;30962,4001
03/10/01;27,1006;2521,3;183,8;1,6224;1946,33;1211,8;30962,4001
04/10/01;27,1006;2521,3;183,8;1,6224;1946,33;1211,8;30962,4001
05/10/01;27,1006;2521,3;183,8;1,6332;1946,33;1211,8;30962,4001
08/10/01;27,1006;2521,3;183,8;1,6224;1946,33;1211,8;30962,4001
09/10/01;27,1006;2521,3;183,8;1,6251;1946,33;1211,8;30962,4001
10/10/01;27,1006;2521,3;183,8;1,6305;1946,33;1211,8;30962,4001
11/10/01;27,1006;2521,3;183,8;1,6386;1946,33;1211,8;30962,4001
12/10/01;27,1006;2521,3;183,8;1,6359;1946,33;1211,8;30962,4001
15/10/01;27,1006;2521,3;183,8;1,6359;1946,33;1211,8;30962,4001
