Date;PX_LAST
03/01/95;3,6951
04/01/95;3,6951
05/01/95;3,6951
09/01/95;3,6951
10/01/95;3,6988
11/01/95;3,6988
12/01/95;3,6988
13/01/95;3,7025
16/01/95;3,71
17/01/95;3,71
18/01/95;3,71
19/01/95;3,71
20/01/95;3,71
23/01/95;3,71
24/01/95;3,71
25/01/95;3,71
26/01/95;3,71
27/01/95;3,71
30/01/95;3,7471
31/01/95;3,7471
01/02/95;3,7471
02/02/95;3,7656
03/02/95;3,7841
06/02/95;3,8027
07/02/95;3,8027
08/02/95;3,8212
09/02/95;3,8212
10/02/95;3,8212
13/02/95;3,8212
14/02/95;3,8212
15/02/95;3,8212
16/02/95;3,8212
17/02/95;3,8212
20/02/95;3,8212
21/02/95;3,8212
22/02/95;3,8212
23/02/95;3,8212
24/02/95;3,8212
27/02/95;3,8398
28/02/95;3,8398
01/03/95;3,8398
02/03/95;3,8398
03/03/95;3,8398
06/03/95;3,8212
07/03/95;3,8398
08/03/95;3,8398
09/03/95;3,8398
10/03/95;3,8398
13/03/95;3,8398
14/03/95;3,8398
15/03/95;3,8398
16/03/95;3,8583
17/03/95;3,8583
20/03/95;3,8583
21/03/95;3,8583
22/03/95;3,8583
23/03/95;3,8583
24/03/95;3,8583
27/03/95;3,8583
28/03/95;3,8583
29/03/95;3,8583
30/03/95;3,8769
31/03/95;3,8769
03/04/95;3,8769
04/04/95;3,8769
05/04/95;3,8769
06/04/95;3,8769
07/04/95;3,8769
10/04/95;3,8769
11/04/95;3,8769
12/04/95;3,8769
13/04/95;3,8769
14/04/95;3,8769
18/04/95;3,8769
19/04/95;3,8954
20/04/95;3,8954
21/04/95;3,8954
24/04/95;3,8954
26/04/95;3,8954
27/04/95;3,914
28/04/95;3,914
02/05/95;3,914
03/05/95;3,7841
04/05/95;3,7841
05/05/95;3,7841
08/05/95;3,7841
09/05/95;3,7841
10/05/95;3,7841
11/05/95;3,7841
12/05/95;3,7841
15/05/95;3,7841
16/05/95;3,8027
17/05/95;3,8027
18/05/95;3,8027
19/05/95;3,8027
22/05/95;3,8027
23/05/95;3,8027
24/05/95;3,8027
25/05/95;3,8027
26/05/95;3,8027
29/05/95;3,8027
30/05/95;3,8027
31/05/95;3,8027
01/06/95;3,8027
02/06/95;3,8212
05/06/95;3,8212
06/06/95;3,8212
07/06/95;3,8212
08/06/95;3,8212
09/06/95;3,8212
12/06/95;3,8212
13/06/95;3,8212
14/06/95;3,8212
15/06/95;3,8212
16/06/95;3,8212
19/06/95;3,8212
20/06/95;3,8212
21/06/95;3,8212
22/06/95;3,8212
23/06/95;3,8212
26/06/95;3,8212
27/06/95;3,8212
28/06/95;3,8398
29/06/95;3,8398
30/06/95;3,8398
03/07/95;3,8398
04/07/95;3,8398
05/07/95;3,8398
06/07/95;3,8398
07/07/95;3,8398
10/07/95;3,8398
11/07/95;3,8398
12/07/95;3,8398
13/07/95;3,8398
14/07/95;3,8398
17/07/95;3,8398
18/07/95;3,8583
19/07/95;3,8583
20/07/95;3,8583
21/07/95;3,8583
24/07/95;3,8583
25/07/95;3,8583
26/07/95;3,8583
27/07/95;3,8583
28/07/95;3,8583
31/07/95;3,8583
01/08/95;3,8583
02/08/95;3,8583
03/08/95;3,8583
04/08/95;3,8583
07/08/95;3,8583
08/08/95;3,8583
09/08/95;3,8583
10/08/95;3,8583
11/08/95;3,8583
16/08/95;3,8583
17/08/95;3,8583
18/08/95;3,8583
21/08/95;3,8769
22/08/95;3,8769
23/08/95;3,8769
24/08/95;3,8769
25/08/95;3,8769
28/08/95;3,8769
29/08/95;3,8769
30/08/95;3,8769
31/08/95;3,8769
01/09/95;3,8954
04/09/95;3,8954
05/09/95;3,8954
06/09/95;3,8954
07/09/95;3,8954
08/09/95;3,8954
11/09/95;3,8954
12/09/95;3,8954
13/09/95;3,8954
14/09/95;3,8954
15/09/95;3,914
18/09/95;3,914
19/09/95;3,914
20/09/95;3,914
21/09/95;3,914
22/09/95;3,914
25/09/95;3,914
26/09/95;3,914
27/09/95;3,914
28/09/95;3,914
29/09/95;3,914
02/10/95;3,914
03/10/95;3,914
04/10/95;3,914
05/10/95;3,914
06/10/95;3,914
09/10/95;3,914
10/10/95;3,9325
11/10/95;3,9325
12/10/95;3,9325
13/10/95;3,9325
16/10/95;3,9325
17/10/95;3,9325
18/10/95;3,9325
19/10/95;3,9325
20/10/95;3,9325
23/10/95;3,9325
24/10/95;3,9325
25/10/95;3,9325
26/10/95;3,9325
27/10/95;3,9325
30/10/95;3,9325
31/10/95;3,9325
02/11/95;3,9511
03/11/95;3,9511
06/11/95;3,9511
07/11/95;3,9511
08/11/95;3,9511
09/11/95;3,9511
10/11/95;3,9511
13/11/95;3,9511
14/11/95;3,9511
15/11/95;3,9511
16/11/95;3,9511
17/11/95;3,9511
20/11/95;3,9511
21/11/95;3,9511
22/11/95;3,9511
23/11/95;3,9511
24/11/95;3,9511
27/11/95;3,9511
28/11/95;3,9511
29/11/95;3,9511
30/11/95;3,9511
01/12/95;3,9511
04/12/95;3,9511
05/12/95;3,9511
06/12/95;3,9511
07/12/95;3,9511
11/12/95;3,9511
12/12/95;3,9511
13/12/95;3,9511
14/12/95;3,9696
15/12/95;3,9696
18/12/95;3,9696
19/12/95;3,9696
20/12/95;3,9696
21/12/95;3,9696
22/12/95;3,9696
27/12/95;3,9696
28/12/95;3,9696
29/12/95;3,9696
02/01/96;3,9696
03/01/96;3,9882
04/01/96;3,9882
05/01/96;3,9882
08/01/96;3,9882
09/01/96;3,9882
10/01/96;3,9882
11/01/96;3,9882
12/01/96;3,9882
15/01/96;3,9882
16/01/96;3,9882
17/01/96;3,9882
18/01/96;3,9882
19/01/96;3,9882
22/01/96;3,9882
23/01/96;3,9882
24/01/96;4,0067
25/01/96;4,0067
26/01/96;4,0067
29/01/96;4,0067
30/01/96;4,0067
31/01/96;4,0067
01/02/96;4,0067
02/02/96;4,0067
05/02/96;4,0067
06/02/96;4,0067
07/02/96;4,0067
08/02/96;4,0067
09/02/96;4,0067
12/02/96;4,0067
13/02/96;4,0067
14/02/96;4,0067
15/02/96;4,0067
16/02/96;4,0067
19/02/96;4,0067
20/02/96;4,0067
21/02/96;4,0067
22/02/96;4,0067
23/02/96;4,0253
26/02/96;4,0253
27/02/96;4,0253
28/02/96;4,0253
29/02/96;4,0253
01/03/96;4,0253
04/03/96;4,0253
05/03/96;4,0253
06/03/96;4,0253
07/03/96;4,0253
08/03/96;4,0253
11/03/96;4,0253
12/03/96;4,0438
13/03/96;4,0438
14/03/96;4,0438
15/03/96;4,0438
18/03/96;4,0438
19/03/96;4,0438
20/03/96;4,0438
21/03/96;4,0438
22/03/96;4,0438
25/03/96;4,0438
26/03/96;4,0438
27/03/96;4,0438
28/03/96;4,0438
29/03/96;4,0438
01/04/96;4,0438
02/04/96;4,0438
03/04/96;4,0438
04/04/96;4,0438
05/04/96;4,0438
09/04/96;4,0438
10/04/96;4,0438
11/04/96;4,0438
12/04/96;4,0438
15/04/96;4,0438
16/04/96;4,0438
17/04/96;4,0438
18/04/96;4,0438
19/04/96;4,0438
22/04/96;4,0624
23/04/96;4,0624
24/04/96;4,0624
26/04/96;4,0624
29/04/96;4,0624
30/04/96;4,0624
02/05/96;4,0624
03/05/96;4,0809
06/05/96;3,9511
07/05/96;3,8954
08/05/96;3,9696
09/05/96;3,9696
10/05/96;3,9696
13/05/96;3,9696
14/05/96;3,9696
15/05/96;3,9696
16/05/96;3,9696
17/05/96;3,9696
20/05/96;3,9696
21/05/96;3,9696
