Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
30/03/01;7,9997;10941,8701;20413,6309;2,1404;106842,1413;49915,96;348314,9443
02/04/01;7,9997;10941,8701;20413,6309;2,125;106842,1413;49915,96;348314,9443
03/04/01;7,9997;10941,8701;20413,6309;2,125;106842,1413;49915,96;348314,9443
04/04/01;7,9997;10941,8701;20413,6309;2,125;106842,1413;49915,96;348314,9443
05/04/01;7,9997;10941,8701;20413,6309;2,1404;106842,1413;49915,96;348314,9443
06/04/01;7,9997;10941,8701;20413,6309;2,1404;106842,1413;49915,96;348314,9443
10/04/01;7,9997;10941,8701;20413,6309;2,1404;106842,1413;49915,96;348314,9443
11/04/01;7,9997;10941,8701;20413,6309;2,1404;106842,1413;49915,96;348314,9443
16/04/01;7,9997;10941,8701;20413,6309;2,1404;106842,1413;49915,96;348314,9443
17/04/01;7,9997;10941,8701;20413,6309;2,125;106842,1413;49915,96;348314,9443
18/04/01;7,9997;10941,8701;20413,6309;2,1404;106842,1413;49915,96;348314,9443
19/04/01;7,9997;10941,8701;20413,6309;2,1866;106842,1413;49915,96;348314,9443
20/04/01;7,9997;10941,8701;20413,6309;2,2174;106842,1413;49915,96;348314,9443
23/04/01;7,9997;10941,8701;20413,6309;2,3406;106842,1413;49915,96;348314,9443
24/04/01;7,9997;10941,8701;20413,6309;2,2944;106842,1413;49915,96;348314,9443
25/04/01;7,9997;10941,8701;20413,6309;2,3868;106842,1413;49915,96;348314,9443
26/04/01;7,9997;10941,8701;20413,6309;2,3098;106842,1413;49915,96;348314,9443
27/04/01;7,9997;10941,8701;20413,6309;2,3252;106842,1413;49915,96;348314,9443
30/04/01;7,9997;10941,8701;20413,6309;2,3252;106842,1413;49915,96;348314,9443
02/05/01;7,9997;10941,8701;20413,6309;2,433;106842,1413;49915,96;348314,9443
03/05/01;7,9997;10941,8701;20413,6309;2,4022;106842,1413;49915,96;348314,9443
04/05/01;7,9997;10941,8701;20413,6309;2,4022;106842,1413;49915,96;348314,9443
07/05/01;7,9997;10941,8701;20413,6309;2,356;106842,1413;49915,96;348314,9443
08/05/01;7,9997;10941,8701;20413,6309;2,3714;106842,1413;49915,96;348314,9443
09/05/01;7,9997;10941,8701;20413,6309;2,4022;106842,1413;49915,96;348314,9443
10/05/01;7,9997;10941,8701;20413,6309;2,4022;106842,1413;49915,96;348314,9443
11/05/01;7,9997;10941,8701;20413,6309;2,4022;106842,1413;49915,96;348314,9443
15/05/01;7,9997;10941,8701;20413,6309;2,4484;106842,1413;49915,96;348314,9443
16/05/01;7,9997;10941,8701;20413,6309;2,433;106842,1413;49915,96;348314,9443
17/05/01;7,9997;10941,8701;20413,6309;2,433;106842,1413;49915,96;348314,9443
18/05/01;7,9997;10941,8701;20413,6309;2,4022;106842,1413;49915,96;348314,9443
21/05/01;7,9997;10941,8701;20413,6309;2,3252;106842,1413;49915,96;348314,9443
22/05/01;7,9997;10941,8701;20413,6309;2,356;106842,1413;49915,96;348314,9443
23/05/01;7,9997;10941,8701;20413,6309;2,3406;106842,1413;49915,96;348314,9443
24/05/01;7,9997;10941,8701;20413,6309;2,3406;106842,1413;49915,96;348314,9443
25/05/01;7,9997;10941,8701;20413,6309;2,3252;106842,1413;49915,96;348314,9443
28/05/01;7,9997;10941,8701;20413,6309;2,279;106842,1413;49915,96;348314,9443
29/05/01;7,9997;10941,8701;20413,6309;2,2944;106842,1413;49915,96;348314,9443
30/05/01;7,9997;10941,8701;20413,6309;2,3406;106842,1413;49915,96;348314,9443
31/05/01;7,9997;10941,8701;20413,6309;2,3406;106842,1413;49915,96;348314,9443
01/06/01;7,9997;10941,8701;20413,6309;2,3406;106842,1413;49915,96;348314,9443
04/06/01;7,9997;10941,8701;20413,6309;2,3406;106842,1413;49915,96;348314,9443
05/06/01;7,9997;10941,8701;20413,6309;2,2944;106842,1413;49915,96;348314,9443
06/06/01;7,9997;10941,8701;20413,6309;2,2482;106842,1413;49915,96;348314,9443
07/06/01;7,9997;10941,8701;20413,6309;2,2328;106842,1413;49915,96;348314,9443
08/06/01;7,9997;10941,8701;20413,6309;2,2482;106842,1413;49915,96;348314,9443
11/06/01;7,9997;10941,8701;20413,6309;2,3406;106842,1413;49915,96;348314,9443
13/06/01;7,9997;10941,8701;20413,6309;2,3406;106842,1413;49915,96;348314,9443
14/06/01;7,9997;10941,8701;20413,6309;2,3406;106842,1413;49915,96;348314,9443
15/06/01;7,9997;10941,8701;20413,6309;2,3714;106842,1413;49915,96;348314,9443
18/06/01;7,9997;10941,8701;20413,6309;2,356;106842,1413;49915,96;348314,9443
19/06/01;7,9997;10941,8701;20413,6309;2,3406;106842,1413;49915,96;348314,9443
20/06/01;7,9997;10941,8701;20413,6309;2,2944;106842,1413;49915,96;348314,9443
21/06/01;7,9997;10941,8701;20413,6309;2,3252;106842,1413;49915,96;348314,9443
22/06/01;7,9997;10941,8701;20413,6309;2,279;106842,1413;49915,96;348314,9443
25/06/01;7,9997;10941,8701;20413,6309;2,279;106842,1413;49915,96;348314,9443
26/06/01;7,9997;10941,8701;20413,6309;2,279;106842,1413;49915,96;348314,9443
27/06/01;7,9997;10941,8701;20413,6309;2,279;106842,1413;49915,96;348314,9443
28/06/01;7,9997;10941,8701;20413,6309;2,279;106842,1413;49915,96;348314,9443
29/06/01;8,0383;8895,6797;35657,4609;2,1855;112242,3922;51356,9814;363892,248
02/07/01;8,0383;8895,6797;35657,4609;2,0957;112242,3922;51356,9814;363892,248
03/07/01;8,0383;8895,6797;35657,4609;2,1406;112242,3922;51356,9814;363892,248
04/07/01;8,0383;8895,6797;35657,4609;2,1706;112242,3922;51356,9814;363892,248
05/07/01;8,0383;8895,6797;35657,4609;2,2155;112242,3922;51356,9814;363892,248
06/07/01;8,0383;8895,6797;35657,4609;2,1556;112242,3922;51356,9814;363892,248
09/07/01;8,0383;8895,6797;35657,4609;2,1257;112242,3922;51356,9814;363892,248
10/07/01;8,0383;8895,6797;35657,4609;2,1257;112242,3922;51356,9814;363892,248
11/07/01;8,0383;8895,6797;35657,4609;2,1257;112242,3922;51356,9814;363892,248
12/07/01;8,0383;8895,6797;35657,4609;2,1257;112242,3922;51356,9814;363892,248
13/07/01;8,0383;8895,6797;35657,4609;2,1107;112242,3922;51356,9814;363892,248
16/07/01;8,0383;8895,6797;35657,4609;2,1257;112242,3922;51356,9814;363892,248
17/07/01;8,0383;8895,6797;35657,4609;2,1107;112242,3922;51356,9814;363892,248
18/07/01;8,0383;8895,6797;35657,4609;2,0957;112242,3922;51356,9814;363892,248
19/07/01;8,0383;8895,6797;35657,4609;2,0658;112242,3922;51356,9814;363892,248
20/07/01;8,0383;8895,6797;35657,4609;2,0508;112242,3922;51356,9814;363892,248
23/07/01;8,0383;8895,6797;35657,4609;2,0358;112242,3922;51356,9814;363892,248
24/07/01;8,0383;8895,6797;35657,4609;2,0358;112242,3922;51356,9814;363892,248
25/07/01;8,0383;8895,6797;35657,4609;2,0209;112242,3922;51356,9814;363892,248
26/07/01;8,0383;8895,6797;35657,4609;2,0059;112242,3922;51356,9814;363892,248
27/07/01;8,0383;8895,6797;35657,4609;1,976;112242,3922;51356,9814;363892,248
30/07/01;8,0383;8895,6797;35657,4609;1,976;112242,3922;51356,9814;363892,248
31/07/01;8,0383;8895,6797;35657,4609;2,0209;112242,3922;51356,9814;363892,248
01/08/01;8,0383;8895,6797;35657,4609;2,0209;112242,3922;51356,9814;363892,248
02/08/01;8,0383;8895,6797;35657,4609;1,976;112242,3922;51356,9814;363892,248
03/08/01;8,0383;8895,6797;35657,4609;1,976;112242,3922;51356,9814;363892,248
06/08/01;8,0383;8895,6797;35657,4609;1,976;112242,3922;51356,9814;363892,248
07/08/01;8,0383;8895,6797;35657,4609;1,9011;112242,3922;51356,9814;363892,248
08/08/01;8,0383;8895,6797;35657,4609;1,8861;112242,3922;51356,9814;363892,248
09/08/01;8,0383;8895,6797;35657,4609;1,8412;112242,3922;51356,9814;363892,248
10/08/01;8,0383;8895,6797;35657,4609;1,8263;112242,3922;51356,9814;363892,248
13/08/01;8,0383;8895,6797;35657,4609;1,8712;112242,3922;51356,9814;363892,248
14/08/01;8,0383;8895,6797;35657,4609;1,8712;112242,3922;51356,9814;363892,248
15/08/01;8,0383;8895,6797;35657,4609;1,8712;112242,3922;51356,9814;363892,248
16/08/01;8,0383;8895,6797;35657,4609;1,8861;112242,3922;51356,9814;363892,248
17/08/01;8,0383;8895,6797;35657,4609;1,8861;112242,3922;51356,9814;363892,248
20/08/01;8,0383;8895,6797;35657,4609;1,8861;112242,3922;51356,9814;363892,248
21/08/01;8,0383;8895,6797;35657,4609;1,8861;112242,3922;51356,9814;363892,248
22/08/01;8,0383;8895,6797;35657,4609;1,8861;112242,3922;51356,9814;363892,248
23/08/01;8,0383;8895,6797;35657,4609;1,8861;112242,3922;51356,9814;363892,248
24/08/01;8,0383;8895,6797;35657,4609;1,9011;112242,3922;51356,9814;363892,248
27/08/01;8,0383;8895,6797;35657,4609;1,8861;112242,3922;51356,9814;363892,248
28/08/01;8,0383;8895,6797;35657,4609;1,8861;112242,3922;51356,9814;363892,248
29/08/01;8,0383;8895,6797;35657,4609;1,8712;112242,3922;51356,9814;363892,248
30/08/01;8,0383;8895,6797;35657,4609;1,8712;112242,3922;51356,9814;363892,248
31/08/01;8,0383;8895,6797;35657,4609;1,8412;112242,3922;51356,9814;363892,248
03/09/01;8,0383;8895,6797;35657,4609;1,7963;112242,3922;51356,9814;363892,248
04/09/01;8,0383;8895,6797;35657,4609;1,7514;112242,3922;51356,9814;363892,248
05/09/01;8,0383;8895,6797;35657,4609;1,7365;112242,3922;51356,9814;363892,248
06/09/01;8,0383;8895,6797;35657,4609;1,7664;112242,3922;51356,9814;363892,248
07/09/01;8,0383;8895,6797;35657,4609;1,7514;112242,3922;51356,9814;363892,248
10/09/01;8,0383;8895,6797;35657,4609;1,7963;112242,3922;51356,9814;363892,248
11/09/01;8,0383;8895,6797;35657,4609;1,8113;112242,3922;51356,9814;363892,248
12/09/01;8,0383;8895,6797;35657,4609;1,7664;112242,3922;51356,9814;363892,248
13/09/01;8,0383;8895,6797;35657,4609;1,7514;112242,3922;51356,9814;363892,248
14/09/01;8,0383;8895,6797;35657,4609;1,7514;112242,3922;51356,9814;363892,248
17/09/01;8,0383;8895,6797;35657,4609;1,6167;112242,3922;51356,9814;363892,248
