Year,Quarter,MVA,DELTA_MVA
2001,2,855507.247703787,0.0009385341997518108
2001,3,898122.5475108763,0.04981290330557724
2001,4,633808.9369107378,-0.294295707565384
2002,1,734729.0568935374,0.1592279851317601
2002,2,837114.1548118405,0.13935082185423728
2002,3,708816.5801001852,-0.15326174330488165
2002,4,672417.5901420817,-0.0513517755932837
2003,1,496452.84476073895,-0.2616896820681943
2003,2,490826.2518444968,-0.011333589837628636
2003,3,669370.5726901272,0.3637627779171776
2003,4,632541.940016147,-0.05501979647233363
2004,1,687274.8068835641,0.08652843930952618
2004,2,649269.5458224785,-0.055298492946976814
2004,3,758098.5599846513,0.1676176171551538
2004,4,819746.5347574562,0.08131920838110157
2005,1,990291.018713451,0.20804538564649738
2005,2,977435.4601458976,-0.01298159664646345
2005,3,915409.3968587875,-0.06345796302279816
2005,4,1035610.0524845965,0.13130808580103676
2006,1,1124170.513987863,0.08551525865435118
2006,2,1202170.5869846803,0.06938455690331281
2006,3,1131013.4866079371,-0.05919051850638058
2006,4,1331540.7715302724,0.17729875664325084
2007,1,1481086.1465922021,0.11231002328983494
2007,2,1558277.5640259904,0.052118114541410236
2007,3,1629989.3967059986,0.046019935302624985
2007,4,1570931.9373717268,-0.03623180583482282
2008,1,1458104.634294969,-0.0718218914471402
2008,2,1313831.2125621368,-0.0989458632388149
2008,3,1121362.2514626863,-0.14649443494656494
2008,4,1438609.7538938464,0.28291259315831946
2009,1,1273004.301612781,-0.11511492385813851
2009,2,1155830.0650622675,-0.09204543645458566
2009,3,1450201.2016267865,0.2546837510656556
2009,4,1544548.6807539742,0.06505819952524652
2010,1,1635525.8855120046,0.058902128428622705
2010,2,1547034.7307230416,-0.05410562778177045
2010,3,1630114.612102932,0.053702660793569404
2010,4,1999334.381673261,0.22649926994643427
2011,1,2119013.362631659,0.0598594122401064
2011,2,2051125.3477887125,-0.032037558629943994
2011,3,2044708.6171293308,-0.0031283951837948374
2011,4,1925658.3034684106,-0.058223608324231964
2012,1,1830895.4091004124,-0.04921064874142806
2012,2,2390371.683274164,0.30557522368175205
2012,3,2468500.5818607616,0.03268483271169873
2012,4,2686127.467956397,0.08816156969733745
2013,1,3251941.5356954187,0.21064304449017537
2013,2,3701484.5701669506,0.13823835070128293
2013,3,3216185.5897547323,-0.13110928094192473
2013,4,3462186.9744400186,0.0764885538536495
2014,1,3275416.256663546,-0.05394587847373014
2014,2,3448761.836155094,0.05292322132763795
2014,3,3413012.5195173128,-0.010365840941233892
2014,4,3699388.4039998427,0.08390707120026351
2015,1,3609230.2561805327,-0.024371095428052218
2015,2,3909556.5955367885,0.08321063441213529
2015,3,3570594.7100390354,-0.08670085141745161
2015,4,2987090.1484731454,-0.16341943260189024
2016,1,3212083.3950316226,0.07532188028321901
2016,2,3426241.951095556,0.0666727882579851
2016,3,3785052.0655142306,0.10472410283341012
