Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
15/07/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
18/07/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
19/07/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
20/07/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
21/07/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
22/07/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
25/07/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
26/07/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
27/07/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
28/07/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
29/07/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
01/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
02/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
03/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
04/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
05/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
08/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
09/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
10/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
11/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
12/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
15/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
16/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
17/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
18/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
19/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
22/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
23/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
24/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
25/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
26/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
29/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
30/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
31/08/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
01/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
02/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
05/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
06/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
07/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
08/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
09/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
12/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
13/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
14/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
15/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
16/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
19/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
20/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
21/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
22/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
23/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
26/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
27/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
28/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
29/09/05;14,4828;1223,5;250,2;1,0113;472,5;447,2;6128,7001
30/09/05;13,4317;1257;24;1,0113;472,5;523,9;5943,6999
03/10/05;13,4317;1257;24;1,0113;472,5;523,9;5943,6999
04/10/05;13,4317;1257;24;1,0113;472,5;523,9;5943,6999
05/10/05;13,4317;1257;24;0,8624;472,5;523,9;5943,6999
06/10/05;13,4317;1257;24;0,8624;472,5;523,9;5943,6999
07/10/05;13,4317;1257;24;0,8624;472,5;523,9;5943,6999
10/10/05;13,4317;1257;24;0,8624;472,5;523,9;5943,6999
11/10/05;13,4317;1257;24;0,8624;472,5;523,9;5943,6999
12/10/05;13,4317;1257;24;0,8624;472,5;523,9;5943,6999
13/10/05;13,4317;1257;24;0,8624;472,5;523,9;5943,6999
14/10/05;13,4317;1257;24;0,8624;472,5;523,9;5943,6999
17/10/05;13,4317;1257;24;0,8624;472,5;523,9;5943,6999
18/10/05;13,4317;1257;24;0,8624;472,5;523,9;5943,6999
19/10/05;13,4317;1257;24;0,8624;472,5;523,9;5943,6999
20/10/05;13,4317;1257;24;0,8624;472,5;523,9;5943,6999
21/10/05;13,4317;1257;24;0,8624;472,5;523,9;5943,6999
24/10/05;13,4317;1257;24;0,8624;472,5;523,9;5943,6999
25/10/05;13,4317;1257;24;0,8624;472,5;523,9;5943,6999
26/10/05;13,4317;1257;24;0,8624;472,5;523,9;5943,6999
27/10/05;13,4317;1257;24;0,8624;472,5;523,9;5943,6999
28/10/05;13,4317;1257;24;0,8624;472,5;523,9;5943,6999
31/10/05;13,4317;1257;24;0,7762;472,5;523,9;5943,6999
02/11/05;13,4317;1257;24;0,8581;472,5;523,9;5943,6999
03/11/05;13,4317;1257;24;0,8285;472,5;523,9;5943,6999
04/11/05;13,4317;1257;24;0,7989;472,5;523,9;5943,6999
07/11/05;13,4317;1257;24;0,8289;472,5;523,9;5943,6999
08/11/05;13,4317;1257;24;0,8589;472,5;523,9;5943,6999
09/11/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
10/11/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
11/11/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
14/11/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
15/11/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
16/11/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
17/11/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
18/11/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
21/11/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
22/11/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
23/11/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
24/11/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
25/11/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
28/11/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
29/11/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
30/11/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
01/12/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
02/12/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
05/12/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
06/12/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
07/12/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
08/12/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
09/12/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
12/12/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
13/12/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
14/12/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
15/12/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
16/12/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
19/12/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
20/12/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
21/12/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
22/12/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
23/12/05;13,4317;1257;24;0,9019;472,5;523,9;5943,6999
