Date;PX_LAST
03/01/95;8,466
04/01/95;8,508
05/01/95;8,508
09/01/95;8,508
10/01/95;8,508
11/01/95;8,508
12/01/95;8,508
13/01/95;8,48
16/01/95;8,508
17/01/95;8,535
18/01/95;8,577
19/01/95;8,577
24/01/95;8,535
25/01/95;8,535
26/01/95;8,521
27/01/95;8,535
30/01/95;8,549
31/01/95;8,549
01/02/95;8,577
02/02/95;8,577
03/02/95;8,577
06/02/95;8,577
07/02/95;8,577
08/02/95;8,577
09/02/95;8,577
10/02/95;8,577
13/02/95;8,577
14/02/95;8,577
15/02/95;8,577
16/02/95;8,563
17/02/95;8,563
20/02/95;8,563
21/02/95;8,563
22/02/95;8,535
23/02/95;8,577
24/02/95;8,577
27/02/95;8,577
28/02/95;8,577
01/03/95;8,591
02/03/95;8,591
03/03/95;8,591
06/03/95;8,577
07/03/95;8,577
08/03/95;8,619
09/03/95;8,619
10/03/95;8,591
13/03/95;8,619
14/03/95;8,619
15/03/95;8,619
16/03/95;8,619
17/03/95;8,619
20/03/95;8,619
21/03/95;8,605
22/03/95;8,619
23/03/95;8,591
24/03/95;8,591
27/03/95;8,605
28/03/95;8,605
29/03/95;8,591
30/03/95;8,577
31/03/95;8,48
03/04/95;8,508
04/04/95;8,521
05/04/95;8,521
06/04/95;8,521
07/04/95;8,521
10/04/95;8,535
11/04/95;8,535
13/04/95;8,508
18/04/95;8,508
19/04/95;8,508
20/04/95;8,508
21/04/95;8,508
24/04/95;8,508
25/04/95;8,535
26/04/95;8,535
27/04/95;8,535
28/04/95;8,535
02/05/95;8,591
03/05/95;8,661
04/05/95;8,647
05/05/95;8,661
08/05/95;8,717
09/05/95;8,717
10/05/95;8,717
11/05/95;8,717
12/05/95;8,717
15/05/95;8,717
16/05/95;8,717
17/05/95;8,717
18/05/95;8,717
19/05/95;8,717
22/05/95;8,717
23/05/95;8,717
24/05/95;8,535
26/05/95;8,535
29/05/95;8,535
30/05/95;8,563
31/05/95;8,605
01/06/95;8,633
02/06/95;8,633
06/06/95;8,633
07/06/95;8,633
08/06/95;8,633
09/06/95;8,633
12/06/95;8,633
13/06/95;8,633
14/06/95;8,647
16/06/95;8,647
19/06/95;8,647
20/06/95;8,661
21/06/95;8,689
22/06/95;8,717
23/06/95;8,717
26/06/95;8,717
27/06/95;8,717
28/06/95;8,717
29/06/95;8,717
30/06/95;8,717
03/07/95;8,717
04/07/95;8,689
05/07/95;8,717
06/07/95;8,717
07/07/95;8,745
10/07/95;8,773
11/07/95;8,773
12/07/95;8,773
13/07/95;8,773
14/07/95;8,773
17/07/95;8,773
18/07/95;8,773
19/07/95;8,773
20/07/95;8,745
21/07/95;8,745
24/07/95;8,745
25/07/95;8,745
26/07/95;8,745
27/07/95;8,745
28/07/95;8,745
31/07/95;8,745
01/08/95;8,745
02/08/95;8,745
03/08/95;8,745
04/08/95;8,745
07/08/95;8,661
08/08/95;8,661
09/08/95;8,647
10/08/95;8,633
11/08/95;8,633
14/08/95;8,633
16/08/95;8,633
17/08/95;8,633
18/08/95;8,633
21/08/95;8,633
22/08/95;8,633
23/08/95;8,647
24/08/95;8,647
25/08/95;8,647
28/08/95;8,633
29/08/95;8,633
