Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
30/06/00;35,0191;145445;6407;1,6184;19106,5516;11806;394973
03/07/00;35,0191;145445;6407;1,5832;19106,5516;11806;394973
04/07/00;35,0191;145445;6407;1,611;19106,5516;11806;394973
05/07/00;35,0191;145445;6407;1,667;19106,5516;11806;394973
06/07/00;35,0191;145445;6407;1,6531;19106,5516;11806;394973
07/07/00;35,0191;145445;6407;1,6704;19106,5516;11806;394973
10/07/00;35,0191;145445;6407;1,6878;19106,5516;11806;394973
11/07/00;35,0191;145445;6407;1,6639;19106,5516;11806;394973
12/07/00;35,0191;145445;6407;1,6271;19106,5516;11806;394973
13/07/00;35,0191;145445;6407;1,6049;19106,5516;11806;394973
14/07/00;35,0191;145445;6407;1,6574;19106,5516;11806;394973
17/07/00;35,0191;145445;6407;1,6192;19106,5516;11806;394973
18/07/00;35,0191;145445;6407;1,575;19106,5516;11806;394973
19/07/00;35,0191;145445;6407;1,5923;19106,5516;11806;394973
20/07/00;35,0191;145445;6407;1,6314;19106,5516;11806;394973
21/07/00;35,0191;145445;6407;1,6314;19106,5516;11806;394973
24/07/00;35,0191;145445;6407;1,6227;19106,5516;11806;394973
25/07/00;35,0191;145445;6407;1,6171;19106,5516;11806;394973
26/07/00;35,0191;145445;6407;1,6067;19106,5516;11806;394973
27/07/00;35,0191;145445;6407;1,614;19106,5516;11806;394973
28/07/00;35,0191;145445;6407;1,6466;19106,5516;11806;394973
31/07/00;35,0191;145445;6407;1,6921;19106,5516;11806;394973
01/08/00;35,0191;145445;6407;1,6466;19106,5516;11806;394973
02/08/00;35,0191;145445;6407;1,6952;19106,5516;11806;394973
03/08/00;35,0191;145445;6407;1,6704;19106,5516;11806;394973
04/08/00;35,0191;145445;6407;1,6444;19106,5516;11806;394973
07/08/00;35,0191;145445;6407;1,6843;19106,5516;11806;394973
08/08/00;35,0191;145445;6407;1,7169;19106,5516;11806;394973
09/08/00;35,0191;145445;6407;1,7039;19106,5516;11806;394973
10/08/00;35,0191;145445;6407;1,7182;19106,5516;11806;394973
11/08/00;35,0191;145445;6407;1,6748;19106,5516;11806;394973
14/08/00;35,0191;145445;6407;1,6813;19106,5516;11806;394973
15/08/00;35,0191;145445;6407;1,6683;19106,5516;11806;394973
16/08/00;35,0191;145445;6407;1,6292;19106,5516;11806;394973
