Year,Quarter,MVA,DELTA_MVA
2000,3,413696.91425211815,0.000632310615640389
2000,4,430198.97649396455,0.039889256296916926
2001,1,442595.7836995602,0.02881644978941408
2001,2,477574.4269556447,0.07903067436319824
2001,3,496289.1867274075,0.03918710616701631
2001,4,494898.7226932362,-0.0028017213982440394
2002,1,489288.66279833514,-0.011335773639445147
2002,2,511669.85739606956,0.045742311848658235
2002,3,454311.72420661186,-0.11209988698837568
2002,4,416469.54057976033,-0.08329563515653773
2003,1,423755.29559848807,0.01749408854387132
2003,2,397481.44034523977,-0.062002423394238865
2003,3,414793.6594039943,0.04355478596363559
2003,4,367939.78498283087,-0.11295706517907353
2004,1,417677.96372626943,0.13518021364762034
2004,2,397864.8217965233,-0.047436407113713414
2004,3,405644.4909219467,0.019553548590435847
2004,4,395443.89679223613,-0.025146635435690786
2005,1,420414.3965644123,0.06314549288718824
2005,2,432136.2066940123,0.027881562157218088
2005,3,434416.8508507582,0.005277604888036629
2005,4,466643.22024716827,0.07418305559118672
2006,1,491446.4357555735,0.053152418019204575
2006,2,554476.0832286937,0.1282533413355931
2006,3,618635.5100606163,0.1157118021363963
2006,4,621490.9689248671,0.004615737082358905
2007,1,623751.6247262945,0.003637471684163327
2007,2,624355.8900434833,0.0009687595081679562
2007,3,643684.1321882128,0.030957091064494256
2007,4,625310.7459632673,-0.028544103087464606
2008,1,610950.9529993233,-0.022964251065001794
2008,2,581283.5502689207,-0.04855938530704837
2008,3,618527.367666666,0.06407168649536896
2008,4,604651.4372851712,-0.02243381797937316
2009,1,537512.1615052915,-0.1110379826124765
2009,2,776201.7326717487,0.44406357336736746
2009,3,1026362.7285087244,0.3222886336209292
2009,4,875875.0403978335,-0.1466223236004928
2010,1,785147.3209714276,-0.10358523218699801
2010,2,898300.120120636,0.14411664680866448
2010,3,869860.524915977,-0.03165934699066907
2010,4,879040.7739104746,0.01055370226782545
2011,1,822436.5366464837,-0.0643931873742136
2011,2,790610.6598716561,-0.03869706093627458
2011,3,887398.0740595734,0.1224210842333308
2011,4,687091.8441391103,-0.2257230838964115
2012,1,700277.6704641889,0.019190776950059354
2012,2,708781.9626995849,0.012144171653736721
2012,3,686921.2040895867,-0.03084271293633889
2012,4,679428.6738398547,-0.010907408601052476
2013,1,636449.973059313,-0.06325711945250043
2013,2,644975.1102433855,0.013394826844117143
2013,3,673619.3416857659,0.044411374931307444
2013,4,616633.5566409999,-0.08459642043851691
2014,1,572917.7445687073,-0.07089431251589122
2014,2,564110.5750928721,-0.015372485071945548
2014,3,581195.5884476592,0.03028663901926362
2014,4,592100.5988631888,0.01876306467613815
2015,1,571847.683062131,-0.03420519391458573
2015,2,593081.5080133196,0.03713195940129651
2015,3,600483.7205074837,0.012480936252691059
2015,4,564765.0697901489,-0.05948312917983539
2016,1,550522.851214777,-0.025217952272905107
2016,2,532382.7474898932,-0.0329506825826685
2016,3,529254.1053642104,-0.005876678274106137
