Date;PX_LAST
03/01/95;97,816
04/01/95;97,211
05/01/95;97,574
06/01/95;96,153
09/01/95;96,606
10/01/95;96,515
11/01/95;96,757
12/01/95;96,818
13/01/95;96,394
16/01/95;98,118
17/01/95;98,572
18/01/95;98,723
19/01/95;98,874
20/01/95;97,211
23/01/95;96,001
24/01/95;95,094
25/01/95;96,001
26/01/95;96,092
27/01/95;96,606
30/01/95;96,667
31/01/95;96,455
01/02/95;97,513
02/02/95;97,574
03/02/95;98,511
06/02/95;99,479
07/02/95;99,479
08/02/95;100,023
09/02/95;101,595
10/02/95;102,049
13/02/95;101,444
14/02/95;102,291
15/02/95;102,593
16/02/95;102,049
17/02/95;102,2
20/02/95;101,444
21/02/95;101,595
22/02/95;101,595
23/02/95;102,956
24/02/95;102,805
27/02/95;101,595
28/02/95;101,746
01/03/95;103,5
02/03/95;103,863
03/03/95;103,651
06/03/95;101,898
07/03/95;102,049
08/03/95;100,749
09/03/95;100,386
10/03/95;99,932
13/03/95;100,537
14/03/95;99,479
15/03/95;99,781
16/03/95;99,781
17/03/95;100,083
20/03/95;98,572
21/03/95;97,967
22/03/95;97,513
23/03/95;94,943
24/03/95;95,246
27/03/95;97,362
28/03/95;95,699
29/03/95;97,06
30/03/95;96,153
31/03/95;97,664
03/04/95;96,606
04/04/95;97,664
05/04/95;97,513
06/04/95;98,572
07/04/95;98,874
10/04/95;98,269
11/04/95;98,269
12/04/95;98,209
13/04/95;97,967
18/04/95;97,816
19/04/95;97,362
20/04/95;98,572
21/04/95;99,479
24/04/95;99,63
25/04/95;100,628
26/04/95;101,293
27/04/95;101,504
28/04/95;101,293
02/05/95;101,535
03/05/95;101,384
04/05/95;101,595
05/05/95;102,049
08/05/95;102,049
09/05/95;102,805
10/05/95;103,258
11/05/95;104,317
12/05/95;105,828
15/05/95;105,254
16/05/95;106,282
17/05/95;105,677
18/05/95;100,688
19/05/95;97,967
22/05/95;99,63
23/05/95;99,993
24/05/95;100,99
26/05/95;100,235
29/05/95;99,872
30/05/95;100,688
31/05/95;100,688
01/06/95;101,777
02/06/95;101,595
06/06/95;102,805
07/06/95;102,805
08/06/95;103,107
09/06/95;102,2
12/06/95;101,595
13/06/95;101,293
14/06/95;101,746
15/06/95;101,746
16/06/95;101,746
19/06/95;103,258
20/06/95;102,502
21/06/95;102,653
22/06/95;102,805
23/06/95;101,898
26/06/95;101,898
27/06/95;101,595
28/06/95;101,142
29/06/95;101,202
30/06/95;100,083
03/07/95;100,235
04/07/95;101,444
05/07/95;101,898
06/07/95;102,2
07/07/95;104,014
10/07/95;104,165
11/07/95;103,561
12/07/95;102,956
13/07/95;102,805
14/07/95;102,351
17/07/95;103,107
18/07/95;102,502
19/07/95;101,898
20/07/95;102,049
21/07/95;102,502
24/07/95;103,288
25/07/95;104,014
26/07/95;104,861
27/07/95;104,921
28/07/95;103,923
31/07/95;103,561
01/08/95;103,409
02/08/95;104,71
03/08/95;103,712
04/08/95;104,014
07/08/95;103,107
08/08/95;102,623
09/08/95;102,2
10/08/95;102,2
11/08/95;101,081
14/08/95;99,841
15/08/95;101,716
16/08/95;101,202
17/08/95;100,9
18/08/95;101,807
21/08/95;102,653
22/08/95;102,593
23/08/95;101,898
24/08/95;101,595
25/08/95;101,595
28/08/95;101,293
29/08/95;101,293
30/08/95;101,746
31/08/95;100,144
01/09/95;100,083
04/09/95;100,083
05/09/95;99,751
06/09/95;98,723
07/09/95;97,211
08/09/95;98,42
11/09/95;98,269
12/09/95;98,148
13/09/95;99,086
14/09/95;100,537
15/09/95;100,537
18/09/95;100,083
19/09/95;101,172
20/09/95;101,444
21/09/95;101,142
22/09/95;97,362
25/09/95;97,513
26/09/95;99,176
27/09/95;98,511
28/09/95;98,118
29/09/95;98,723
02/10/95;98,874
04/10/95;98,874
05/10/95;98,572
06/10/95;97,967
09/10/95;98,118
10/10/95;96,757
11/10/95;97,664
12/10/95;97,211
13/10/95;98,572
16/10/95;98,269
17/10/95;99,176
18/10/95;99,176
19/10/95;98,511
20/10/95;96,909
23/10/95;96,153
24/10/95;96,878
25/10/95;97,846
26/10/95;97,906
27/10/95;97,06
30/10/95;98,269
31/10/95;98,511
01/11/95;97,997
02/11/95;97,846
03/11/95;98,209
06/11/95;97,967
07/11/95;98,118
08/11/95;97,967
09/11/95;98,118
10/11/95;97,513
13/11/95;97,574
14/11/95;97,543
15/11/95;97,362
16/11/95;97,241
17/11/95;97,937
20/11/95;98,662
21/11/95;99,176
22/11/95;99,479
23/11/95;99,993
24/11/95;100,083
27/11/95;100,87
28/11/95;100,235
29/11/95;100,688
30/11/95;101,142
01/12/95;101,746
04/12/95;101,384
05/12/95;101,746
06/12/95;101,988
07/12/95;102,139
08/12/95;102,805
11/12/95;102,865
12/12/95;102,956
13/12/95;102,895
14/12/95;102,895
15/12/95;102,502
18/12/95;101,746
19/12/95;101,142
20/12/95;101,656
21/12/95;101,595
22/12/95;102,351
27/12/95;103,319
28/12/95;103,409
29/12/95;102,714
02/01/96;103,742
03/01/96;104,619
04/01/96;105,828
05/01/96;105,133
08/01/96;106,282
09/01/96;105,526
10/01/96;104,71
11/01/96;103,833
12/01/96;104,951
15/01/96;104,468
16/01/96;104,619
17/01/96;104,256
18/01/96;105,526
19/01/96;105,224
22/01/96;103,44
23/01/96;103,712
24/01/96;104,921
25/01/96;102,502
26/01/96;104,317
29/01/96;104,317
30/01/96;104,619
31/01/96;104,468
01/02/96;105,738
02/02/96;106,675
05/02/96;104,921
06/02/96;104,619
07/02/96;105,224
08/02/96;104,165
09/02/96;103,863
12/02/96;104,317
13/02/96;104,014
14/02/96;104,014
15/02/96;103,712
16/02/96;102,865
19/02/96;101,172
20/02/96;100,749
21/02/96;101,051
22/02/96;102,079
23/02/96;103,047
26/02/96;102,714
27/02/96;102,26
28/02/96;102,291
29/02/96;101,746
01/03/96;101,988
04/03/96;101,898
05/03/96;102,835
06/03/96;103,561
07/03/96;102,956
08/03/96;101,293
11/03/96;99,025
12/03/96;99,932
13/03/96;99,327
14/03/96;99,781
15/03/96;99,645
18/03/96;99,781
19/03/96;100,295
20/03/96;100,386
21/03/96;101,777
22/03/96;100,446
25/03/96;101,807
26/03/96;101,595
27/03/96;103,107
28/03/96;103,016
29/03/96;102,351
01/04/96;102,2
02/04/96;102,442
03/04/96;102,381
04/04/96;102,139
09/04/96;102,744
10/04/96;102,563
11/04/96;102,291
12/04/96;101,898
15/04/96;102,291
16/04/96;101,928
17/04/96;101,202
18/04/96;101,444
19/04/96;101,504
22/04/96;101,384
23/04/96;101,293
24/04/96;100,839
25/04/96;100,779
26/04/96;101,504
29/04/96;100,99
30/04/96;100,083
02/05/96;99,63
03/05/96;99,176
06/05/96;100,114
07/05/96;99,781
08/05/96;99,63
09/05/96;99,705
10/05/96;100,87
13/05/96;101,323
14/05/96;102,442
15/05/96;102,502
17/05/96;103,107
20/05/96;102,805
21/05/96;102,895
22/05/96;101,928
23/05/96;101,898
24/05/96;100,99
28/05/96;96,697
29/05/96;96,364
30/05/96;96,455
31/05/96;96,032
03/06/96;94,943
04/06/96;94,822
05/06/96;95,729
06/06/96;96,999
07/06/96;94,943
10/06/96;94,852
11/06/96;95,684
12/06/96;95,699
13/06/96;95,608
14/06/96;94,822
17/06/96;95,034
18/06/96;95,246
19/06/96;94,671
20/06/96;94,097
21/06/96;94,641
24/06/96;95,246
25/06/96;95,094
26/06/96;95,306
27/06/96;94,883
28/06/96;95,487
01/07/96;95,336
02/07/96;95,034
03/07/96;95,004
04/07/96;95,397
05/07/96;94,49
08/07/96;94,338
09/07/96;95,548
10/07/96;98,572
11/07/96;100,749
12/07/96;99,63
15/07/96;99,025
16/07/96;99,025
17/07/96;99,63
18/07/96;100,839
19/07/96;101,384
22/07/96;101,444
23/07/96;101,898
24/07/96;101,021
25/07/96;100,688
26/07/96;102,351
29/07/96;102,653
30/07/96;102,926
31/07/96;103,409
01/08/96;104,921
02/08/96;104,498
05/08/96;104,8
06/08/96;106,282
07/08/96;106,07
08/08/96;104,982
09/08/96;105,329
12/08/96;104,831
13/08/96;104,921
14/08/96;105,224
15/08/96;104,982
16/08/96;105,526
19/08/96;105,828
20/08/96;105,526
21/08/96;104,09
22/08/96;105,103
23/08/96;105,133
26/08/96;104,921
27/08/96;105,072
28/08/96;103,5
29/08/96;103,621
30/08/96;103,107
02/09/96;102,956
03/09/96;102,502
04/09/96;102,895
05/09/96;103,409
06/09/96;103,198
09/09/96;103,561
10/09/96;103,984
11/09/96;103,409
12/09/96;103,409
13/09/96;103,621
16/09/96;103,137
17/09/96;104,014
18/09/96;104,014
19/09/96;103,893
20/09/96;103,712
23/09/96;103,258
24/09/96;103,772
25/09/96;104,619
26/09/96;104,619
27/09/96;104,77
30/09/96;105,072
01/10/96;104,921
02/10/96;105,224
04/10/96;104,437
07/10/96;104,317
08/10/96;104,044
09/10/96;103,863
10/10/96;104,165
11/10/96;104,619
14/10/96;104,014
15/10/96;103,712
16/10/96;103,409
17/10/96;103,5
18/10/96;103,137
21/10/96;103,319
22/10/96;103,772
23/10/96;103,319
24/10/96;103,561
25/10/96;103,258
28/10/96;103,409
29/10/96;102,593
30/10/96;102,865
31/10/96;102,593
01/11/96;102,744
04/11/96;102,442
05/11/96;102,563
06/11/96;103,258
07/11/96;103,561
08/11/96;103,107
11/11/96;103,712
12/11/96;105,012
13/11/96;106,524
