Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
30/06/00;25,3142;4062,3;50,9;2,4852;1526,4189;614,2;13810,8
03/07/00;25,3142;4062,3;50,9;2,4885;1526,4189;614,2;13810,8
04/07/00;25,3142;4062,3;50,9;2,4927;1526,4189;614,2;13810,8
05/07/00;25,3142;4062,3;50,9;2,5143;1526,4189;614,2;13810,8
06/07/00;25,3142;4062,3;50,9;2,5268;1526,4189;614,2;13810,8
07/07/00;25,3142;4062,3;50,9;2,5151;1526,4189;614,2;13810,8
10/07/00;25,3142;4062,3;50,9;2,5168;1526,4189;614,2;13810,8
11/07/00;25,3142;4062,3;50,9;2,5492;1526,4189;614,2;13810,8
12/07/00;25,3142;4062,3;50,9;2,5584;1526,4189;614,2;13810,8
13/07/00;25,3142;4062,3;50,9;2,5958;1526,4189;614,2;13810,8
14/07/00;25,3142;4062,3;50,9;2,58;1526,4189;614,2;13810,8
17/07/00;25,3142;4062,3;50,9;2,5924;1526,4189;614,2;13810,8
18/07/00;25,3142;4062,3;50,9;2,5808;1526,4189;614,2;13810,8
19/07/00;25,3142;4062,3;50,9;2,6016;1526,4189;614,2;13810,8
20/07/00;25,3142;4062,3;50,9;2,5916;1526,4189;614,2;13810,8
21/07/00;25,3142;4062,3;50,9;2,6116;1526,4189;614,2;13810,8
24/07/00;25,3142;4062,3;50,9;2,6149;1526,4189;614,2;13810,8
25/07/00;25,3142;4062,3;50,9;2,585;1526,4189;614,2;13810,8
26/07/00;25,3142;4062,3;50,9;2,5168;1526,4189;614,2;13810,8
27/07/00;25,3142;4062,3;50,9;2,5284;1526,4189;614,2;13810,8
28/07/00;25,3142;4062,3;50,9;2,5417;1526,4189;614,2;13810,8
31/07/00;25,3142;4062,3;50,9;2,521;1526,4189;614,2;13810,8
01/08/00;25,3142;4062,3;50,9;2,5326;1526,4189;614,2;13810,8
02/08/00;25,3142;4062,3;50,9;2,5442;1526,4189;614,2;13810,8
03/08/00;25,3142;4062,3;50,9;2,5151;1526,4189;614,2;13810,8
04/08/00;25,3142;4062,3;50,9;2,5401;1526,4189;614,2;13810,8
07/08/00;25,3142;4062,3;50,9;2,6382;1526,4189;614,2;13810,8
08/08/00;25,3142;4062,3;50,9;2,7495;1526,4189;614,2;13810,8
09/08/00;25,3142;4062,3;50,9;2,7113;1526,4189;614,2;13810,8
10/08/00;25,3142;4062,3;50,9;2,7229;1526,4189;614,2;13810,8
11/08/00;25,3142;4062,3;50,9;2,7022;1526,4189;614,2;13810,8
14/08/00;25,3142;4062,3;50,9;2,7188;1526,4189;614,2;13810,8
16/08/00;25,3142;4062,3;50,9;2,7379;1526,4189;614,2;13810,8
17/08/00;25,3142;4062,3;50,9;2,713;1526,4189;614,2;13810,8
18/08/00;25,3142;4062,3;50,9;2,7155;1526,4189;614,2;13810,8
21/08/00;25,3142;4062,3;50,9;2,7113;1526,4189;614,2;13810,8
22/08/00;25,3142;4062,3;50,9;2,7188;1526,4189;614,2;13810,8
23/08/00;25,3142;4062,3;50,9;2,772;1526,4189;614,2;13810,8
24/08/00;25,3142;4062,3;50,9;2,772;1526,4189;614,2;13810,8
25/08/00;25,3142;4062,3;50,9;2,9041;1526,4189;614,2;13810,8
28/08/00;25,3142;4062,3;50,9;2,9191;1526,4189;614,2;13810,8
29/08/00;25,3142;4062,3;50,9;3,1601;1526,4189;614,2;13810,8
30/08/00;25,3142;4062,3;50,9;3,0753;1526,4189;614,2;13810,8
31/08/00;25,3142;4062,3;50,9;3,1626;1526,4189;614,2;13810,8
01/09/00;25,3142;4062,3;50,9;3,156;1526,4189;614,2;13810,8
