Year,Quarter,MVA,DELTA_MVA
2000,3,15530.122445844738,-0.0011486503244458454
2000,4,14336.269282632891,-0.07687339023725957
2001,1,14958.463938940431,0.0434000397203248
2001,2,16945.514645785628,0.1328378846221257
2001,3,18937.715235766587,0.11756506849300219
2001,4,17344.098669724277,-0.08415041340533716
2002,1,16371.151062127989,-0.0560967523377077
2002,2,16779.716290209097,0.02495641427597952
2002,3,18289.195849969277,0.08995858652514623
2002,4,19430.07715862123,0.06238006952360717
2003,1,19773.07195884855,0.01765277602488236
2003,2,18975.66351629551,-0.040327999827876895
2003,3,20069.401879983438,0.05763900496805662
2003,4,20764.096535509874,0.03461461680227263
2004,1,20835.083405273395,0.0034187314455084708
2004,2,20436.33272120868,-0.019138425141307102
2004,3,20423.0705154114,-0.0006489523329945058
2004,4,19338.040266589374,-0.05312767480302504
2005,1,19615.40977183287,0.014343206520399663
2005,2,20249.875061420586,0.03234524779078477
2005,3,21069.921372456174,0.04049636397993954
2005,4,21560.76474422464,0.023295928024208313
2006,1,21857.669080850206,0.013770584677665234
2006,2,20969.408716013015,-0.040638384703857014
2006,3,23685.20871387248,0.12951247384412792
2006,4,24072.783895701603,0.016363595799859725
2007,1,24662.891404144015,0.02451347176957712
2007,2,25966.43195870646,0.05285432811594087
2007,3,29668.778244113037,0.14258201863445438
2007,4,28189.00788797197,-0.04987634960784701
2008,1,27187.90230154821,-0.035514041161091185
2008,2,27177.644661733368,-0.00037728691610963754
2008,3,35507.10791725237,0.30648216058424815
2008,4,25019.643157968687,-0.29536240416212495
2009,1,31779.621040790284,0.27018682241551323
2009,2,28841.58677669998,-0.09245026113808064
2009,3,28865.794141853017,0.0008393215442845694
2009,4,30405.144729059673,0.05332784470234703
2010,1,28241.54604515379,-0.07115896678623687
2010,2,27479.370162818122,-0.026987753472032628
2010,3,28732.6697125009,0.04560874365958349
2010,4,29685.556985812484,0.03316389611011342
2011,1,29316.091909491264,-0.012445953986910084
2011,2,30781.88464446855,0.0499995954270674
2011,3,30513.60967362145,-0.008715352355636563
2011,4,29407.252455587433,-0.036257828223792386
2012,1,30251.377938220587,0.028704670179847687
2012,2,32759.757937066122,0.08291787580612538
2012,3,29987.41290688055,-0.0846265419760259
2012,4,31232.23933996867,0.04151163146196244
2013,1,31287.89074056087,0.001781857521851834
2013,2,30794.005342414723,-0.015785193135626936
2013,3,31557.17442168593,0.024783040425729912
2013,4,31427.9988778258,-0.004093381179633109
2014,1,31742.341639432812,0.010001997353665349
2014,2,31661.413900956082,-0.0025495201140484044
2014,3,32674.98999674277,0.03201297639320146
2014,4,33267.09742901,0.018121120536724055
2015,1,33863.5875674497,0.017930333108037936
2015,2,34770.224754428986,0.026773217255066085
2015,3,34856.743767974855,0.002488307572266933
2015,4,35922.945985329294,0.03058811874257825
2016,1,36912.66088928634,0.02755105063936673
2016,2,36484.8018193129,-0.011591119677249207
2016,3,36868.004779241215,0.010503084594678195
