Date;PX_LAST
03/01/95;2,7809
05/01/95;2,7611
11/01/95;2,6617
12/01/95;2,6419
13/01/95;2,7809
18/01/95;2,8802
19/01/95;3,1583
23/01/95;2,9994
24/01/95;3,0292
26/01/95;3,0292
30/01/95;3,0888
31/01/95;3,0789
01/02/95;3,059
02/02/95;3,0292
03/02/95;3,1285
10/02/95;3,1285
13/02/95;3,1285
14/02/95;3,1583
15/02/95;3,0789
16/02/95;2,9845
17/02/95;2,9796
21/02/95;2,9696
22/02/95;2,9299
27/02/95;2,8306
28/02/95;3,0789
01/03/95;3,0739
02/03/95;3,0491
03/03/95;2,766
06/03/95;2,6121
07/03/95;2,8604
17/03/95;2,6816
24/03/95;2,7313
30/03/95;2,8107
31/03/95;2,766
04/04/95;2,7561
05/04/95;2,92
07/04/95;2,776
10/04/95;2,7809
11/04/95;2,8802
12/04/95;3,0392
03/05/95;3,0342
16/05/95;2,7313
17/05/95;2,6816
18/05/95;2,6816
19/05/95;2,8753
31/05/95;2,6121
01/06/95;2,622
08/06/95;2,6021
16/06/95;2,5823
23/06/95;2,5873
06/07/95;2,5426
07/07/95;2,483
01/08/95;2,036
02/08/95;2,0956
03/08/95;2,036
04/08/95;2,2347
07/08/95;2,18
08/08/95;2,0261
09/08/95;1,9764
11/08/95;1,9864
16/08/95;1,9864
17/08/95;2,0658
21/08/95;2,1254
24/08/95;2,0261
28/08/95;2,036
29/08/95;1,9864
01/09/95;1,9864
07/09/95;1,9367
08/09/95;1,8871
11/09/95;1,9367
13/09/95;1,8374
14/09/95;1,8374
15/09/95;1,8424
18/09/95;1,7877
19/09/95;1,7778
20/09/95;1,7867
21/09/95;1,6884
22/09/95;1,7728
25/09/95;1,7381
26/09/95;1,7381
27/09/95;1,6874
28/09/95;1,6884
29/09/95;1,5891
02/10/95;1,5891
03/10/95;1,6388
04/10/95;1,6388
05/10/95;1,6705
06/10/95;1,6884
09/10/95;1,6884
10/10/95;1,6487
11/10/95;1,6487
12/10/95;1,6388
13/10/95;1,6388
16/10/95;1,6388
17/10/95;1,6388
18/10/95;1,6288
19/10/95;1,7381
20/10/95;1,8771
23/10/95;1,8076
24/10/95;1,7877
25/10/95;1,7877
26/10/95;1,7679
27/10/95;1,7877
30/10/95;1,7828
31/10/95;1,8076
02/11/95;1,7877
03/11/95;1,7877
06/11/95;1,7877
07/11/95;1,7679
08/11/95;1,8016
09/11/95;1,8016
10/11/95;1,7877
13/11/95;1,8026
14/11/95;1,9764
15/11/95;1,7877
16/11/95;1,7877
17/11/95;1,7877
20/11/95;1,7877
21/11/95;1,7877
22/11/95;1,7877
23/11/95;1,7778
24/11/95;1,7778
27/11/95;1,7877
28/11/95;1,7877
29/11/95;1,8722
30/11/95;2,0211
01/12/95;1,9367
04/12/95;1,9367
05/12/95;1,901
06/12/95;1,901
07/12/95;1,901
11/12/95;1,901
12/12/95;1,901
13/12/95;1,901
14/12/95;1,901
15/12/95;1,901
18/12/95;1,901
19/12/95;1,901
20/12/95;1,901
21/12/95;1,901
22/12/95;1,901
27/12/95;1,8275
28/12/95;1,7381
29/12/95;1,7778
02/01/96;1,7778
03/01/96;1,7381
04/01/96;1,7381
05/01/96;1,7381
08/01/96;1,7679
09/01/96;1,7381
10/01/96;1,7679
11/01/96;1,7132
12/01/96;1,7132
15/01/96;1,6884
16/01/96;1,6884
17/01/96;1,6884
18/01/96;1,6884
19/01/96;1,6884
22/01/96;1,6884
23/01/96;1,6586
24/01/96;1,6884
25/01/96;1,6884
26/01/96;1,6884
29/01/96;1,6884
30/01/96;1,6884
31/01/96;1,6884
01/02/96;1,6884
02/02/96;1,6884
05/02/96;1,6884
06/02/96;1,6884
07/02/96;1,6884
08/02/96;1,6686
09/02/96;1,6586
12/02/96;1,6686
13/02/96;1,6735
14/02/96;1,6586
15/02/96;1,6586
16/02/96;1,6527
19/02/96;1,6189
20/02/96;1,6189
21/02/96;1,5891
22/02/96;1,5891
23/02/96;1,5891
26/02/96;1,5792
27/02/96;1,5692
28/02/96;1,5692
29/02/96;1,7083
01/03/96;1,5891
04/03/96;1,5891
05/03/96;1,5891
06/03/96;1,5692
07/03/96;1,5643
08/03/96;1,4848
11/03/96;1,4898
12/03/96;1,5196
13/03/96;1,5196
14/03/96;1,5196
15/03/96;1,46
18/03/96;1,46
19/03/96;1,46
20/03/96;1,46
21/03/96;1,4501
22/03/96;1,4501
25/03/96;1,4501
26/03/96;1,3706
27/03/96;1,3507
28/03/96;1,4501
29/03/96;1,4501
01/04/96;1,4501
02/04/96;1,4501
03/04/96;1,5096
04/04/96;1,4401
05/04/96;1,3706
09/04/96;1,3706
10/04/96;1,4401
11/04/96;1,3607
12/04/96;1,3607
15/04/96;1,4401
16/04/96;1,4401
17/04/96;1,5096
18/04/96;1,5096
19/04/96;1,5096
22/04/96;1,5096
23/04/96;1,5394
24/04/96;1,5394
26/04/96;1,5394
29/04/96;1,5394
30/04/96;1,5394
02/05/96;1,5394
03/05/96;1,4898
06/05/96;1,5394
07/05/96;1,5295
08/05/96;1,4898
09/05/96;1,4898
10/05/96;1,4898
13/05/96;1,5146
14/05/96;1,3954
15/05/96;1,4649
16/05/96;1,4649
17/05/96;1,4401
20/05/96;1,5394
21/05/96;1,4649
22/05/96;1,5096
23/05/96;1,5096
24/05/96;1,5096
27/05/96;1,4749
28/05/96;1,5295
29/05/96;1,4848
30/05/96;1,4501
31/05/96;1,4898
03/06/96;1,4798
04/06/96;1,4798
05/06/96;1,46
06/06/96;1,4699
07/06/96;1,5394
10/06/96;1,5285
11/06/96;1,4997
12/06/96;1,5245
13/06/96;1,5245
14/06/96;1,5047
17/06/96;1,4401
18/06/96;1,4888
19/06/96;1,4103
20/06/96;1,4103
21/06/96;1,4302
24/06/96;1,4302
25/06/96;1,4312
26/06/96;1,4798
27/06/96;1,4103
28/06/96;1,5494
01/07/96;1,5494
02/07/96;1,5494
03/07/96;1,5494
04/07/96;1,5494
05/07/96;1,5494
08/07/96;1,4103
09/07/96;1,4103
10/07/96;1,4103
11/07/96;1,4103
12/07/96;1,4898
15/07/96;1,4401
16/07/96;1,4401
17/07/96;1,4203
18/07/96;1,4203
19/07/96;1,3905
22/07/96;1,3905
23/07/96;1,3905
24/07/96;1,3905
25/07/96;1,3905
26/07/96;1,3905
29/07/96;1,3905
30/07/96;1,3905
31/07/96;1,3905
