Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
30/06/00;7,5646;22,785;60,364;6,0306;4531,125;751,351;2583,263
03/07/00;7,5646;22,785;60,364;6,04;4531,125;751,351;2583,263
04/07/00;7,5646;22,785;60,364;5,9839;4531,125;751,351;2583,263
05/07/00;7,5646;22,785;60,364;5,9801;4531,125;751,351;2583,263
06/07/00;7,5646;22,785;60,364;5,9371;4531,125;751,351;2583,263
07/07/00;7,5646;22,785;60,364;5,9932;4531,125;751,351;2583,263
10/07/00;7,5646;22,785;60,364;6,0774;4531,125;751,351;2583,263
11/07/00;7,5646;22,785;60,364;5,9839;4531,125;751,351;2583,263
12/07/00;7,5646;22,785;60,364;6,1709;4531,125;751,351;2583,263
13/07/00;7,5646;22,785;60,364;6,3392;4531,125;751,351;2583,263
14/07/00;7,5646;22,785;60,364;6,5075;4531,125;751,351;2583,263
17/07/00;7,5646;22,785;60,364;6,5449;4531,125;751,351;2583,263
18/07/00;7,5646;22,785;60,364;6,414;4531,125;751,351;2583,263
19/07/00;7,5646;22,785;60,364;6,4645;4531,125;751,351;2583,263
20/07/00;7,5646;22,785;60,364;6,3205;4531,125;751,351;2583,263
21/07/00;7,5646;22,785;60,364;6,2307;4531,125;751,351;2583,263
24/07/00;7,5646;22,785;60,364;6,1335;4531,125;751,351;2583,263
25/07/00;7,5646;22,785;60,364;6,227;4531,125;751,351;2583,263
26/07/00;7,5646;22,785;60,364;6,1896;4531,125;751,351;2583,263
27/07/00;7,5646;22,785;60,364;6,2176;4531,125;751,351;2583,263
28/07/00;7,5646;22,785;60,364;6,2064;4531,125;751,351;2583,263
31/07/00;7,5646;22,785;60,364;6,3018;4531,125;751,351;2583,263
01/08/00;7,5646;22,785;60,364;6,1335;4531,125;751,351;2583,263
02/08/00;7,5646;22,785;60,364;6,0026;4531,125;751,351;2583,263
03/08/00;7,5646;22,785;60,364;5,9184;4531,125;751,351;2583,263
04/08/00;7,5646;22,785;60,364;5,9371;4531,125;751,351;2583,263
07/08/00;7,5646;22,785;60,364;5,9652;4531,125;751,351;2583,263
08/08/00;7,5646;22,785;60,364;6,0026;4531,125;751,351;2583,263
09/08/00;7,5646;22,785;60,364;6,0493;4531,125;751,351;2583,263
10/08/00;7,5646;22,785;60,364;5,9839;4531,125;751,351;2583,263
11/08/00;7,5646;22,785;60,364;6,1709;4531,125;751,351;2583,263
14/08/00;7,5646;22,785;60,364;6,2737;4531,125;751,351;2583,263
15/08/00;7,5646;22,785;60,364;6,2644;4531,125;751,351;2583,263
16/08/00;7,5646;22,785;60,364;6,1709;4531,125;751,351;2583,263
17/08/00;7,5646;22,785;60,364;6,0026;4531,125;751,351;2583,263
18/08/00;7,5646;22,785;60,364;6,0026;4531,125;751,351;2583,263
21/08/00;7,5646;22,785;60,364;5,8997;4531,125;751,351;2583,263
22/08/00;7,5646;22,785;60,364;5,9278;4531,125;751,351;2583,263
23/08/00;7,5646;22,785;60,364;5,9371;4531,125;751,351;2583,263
24/08/00;7,5646;22,785;60,364;5,9745;4531,125;751,351;2583,263
25/08/00;7,5646;22,785;60,364;5,9521;4531,125;751,351;2583,263
28/08/00;7,5646;22,785;60,364;5,9371;4531,125;751,351;2583,263
29/08/00;7,5646;22,785;60,364;6,0774;4531,125;751,351;2583,263
30/08/00;7,5646;22,785;60,364;6,2176;4531,125;751,351;2583,263
31/08/00;7,5646;22,785;60,364;6,3953;4531,125;751,351;2583,263
01/09/00;7,5646;22,785;60,364;6,2644;4531,125;751,351;2583,263
04/09/00;7,5646;22,785;60,364;6,3616;4531,125;751,351;2583,263
05/09/00;7,5646;22,785;60,364;6,2831;4531,125;751,351;2583,263
06/09/00;7,5646;22,785;60,364;6,1896;4531,125;751,351;2583,263
07/09/00;7,5646;22,785;60,364;6,1335;4531,125;751,351;2583,263
08/09/00;7,5646;22,785;60,364;6,2083;4531,125;751,351;2583,263
11/09/00;7,5646;22,785;60,364;6,1709;4531,125;751,351;2583,263
12/09/00;7,5646;22,785;60,364;6,2644;4531,125;751,351;2583,263
13/09/00;7,5646;22,785;60,364;6,2176;4531,125;751,351;2583,263
14/09/00;7,5646;22,785;60,364;6,3111;4531,125;751,351;2583,263
15/09/00;7,5646;22,785;60,364;6,2644;4531,125;751,351;2583,263
18/09/00;7,5646;22,785;60,364;6,0867;4531,125;751,351;2583,263
19/09/00;7,5646;22,785;60,364;6,2176;4531,125;751,351;2583,263
20/09/00;7,5646;22,785;60,364;6,0961;4531,125;751,351;2583,263
21/09/00;7,5646;22,785;60,364;5,9932;4531,125;751,351;2583,263
22/09/00;7,5646;22,785;60,364;5,9839;4531,125;751,351;2583,263
25/09/00;7,5646;22,785;60,364;5,9652;4531,125;751,351;2583,263
26/09/00;7,5646;22,785;60,364;5,9839;4531,125;751,351;2583,263
27/09/00;7,5646;22,785;60,364;5,9839;4531,125;751,351;2583,263
28/09/00;7,5646;22,785;60,364;6,0082;4531,125;751,351;2583,263
29/09/00;4,2685;24,477;13,908;6,0332;4512,86;748,005;2316,8151
02/10/00;4,2685;24,477;13,908;6,1327;4512,86;748,005;2316,8151
04/10/00;4,2685;24,477;13,908;6,1234;4512,86;748,005;2316,8151
05/10/00;4,2685;24,477;13,908;6,1421;4512,86;748,005;2316,8151
06/10/00;4,2685;24,477;13,908;6,0107;4512,86;748,005;2316,8151
09/10/00;4,2685;24,477;13,908;6,0294;4512,86;748,005;2316,8151
10/10/00;4,2685;24,477;13,908;5,9261;4512,86;748,005;2316,8151
11/10/00;4,2685;24,477;13,908;5,8472;4512,86;748,005;2316,8151
12/10/00;4,2685;24,477;13,908;5,8491;4512,86;748,005;2316,8151
13/10/00;4,2685;24,477;13,908;5,5035;4512,86;748,005;2316,8151
16/10/00;4,2685;24,477;13,908;5,4472;4512,86;748,005;2316,8151
17/10/00;4,2685;24,477;13,908;5,4659;4512,86;748,005;2316,8151
18/10/00;4,2685;24,477;13,908;5,4472;4512,86;748,005;2316,8151
19/10/00;4,2685;24,477;13,908;5,4659;4512,86;748,005;2316,8151
20/10/00;4,2685;24,477;13,908;5,4847;4512,86;748,005;2316,8151
23/10/00;4,2685;24,477;13,908;5,4659;4512,86;748,005;2316,8151
24/10/00;4,2685;24,477;13,908;5,4472;4512,86;748,005;2316,8151
25/10/00;4,2685;24,477;13,908;5,5091;4512,86;748,005;2316,8151
26/10/00;4,2685;24,477;13,908;5,4659;4512,86;748,005;2316,8151
27/10/00;4,2685;24,477;13,908;5,4472;4512,86;748,005;2316,8151
30/10/00;4,2685;24,477;13,908;5,496;4512,86;748,005;2316,8151
31/10/00;4,2685;24,477;13,908;5,4472;4512,86;748,005;2316,8151
01/11/00;4,2685;24,477;13,908;5,4753;4512,86;748,005;2316,8151
02/11/00;4,2685;24,477;13,908;5,4659;4512,86;748,005;2316,8151
03/11/00;4,2685;24,477;13,908;5,4753;4512,86;748,005;2316,8151
06/11/00;4,2685;24,477;13,908;5,4472;4512,86;748,005;2316,8151
07/11/00;4,2685;24,477;13,908;5,2593;4512,86;748,005;2316,8151
08/11/00;4,2685;24,477;13,908;5,1091;4512,86;748,005;2316,8151
09/11/00;4,2685;24,477;13,908;5,2969;4512,86;748,005;2316,8151
10/11/00;4,2685;24,477;13,908;5,3814;4512,86;748,005;2316,8151
13/11/00;4,2685;24,477;13,908;4,8799;4512,86;748,005;2316,8151
14/11/00;4,2685;24,477;13,908;5,0527;4512,86;748,005;2316,8151
15/11/00;4,2685;24,477;13,908;4,9306;4512,86;748,005;2316,8151
16/11/00;4,2685;24,477;13,908;4,7897;4512,86;748,005;2316,8151
17/11/00;4,2685;24,477;13,908;4,6864;4512,86;748,005;2316,8151
20/11/00;4,2685;24,477;13,908;4,5117;4512,86;748,005;2316,8151
21/11/00;4,2685;24,477;13,908;4,461;4512,86;748,005;2316,8151
22/11/00;4,2685;24,477;13,908;4,0948;4512,86;748,005;2316,8151
23/11/00;4,2685;24,477;13,908;4,4141;4512,86;748,005;2316,8151
24/11/00;4,2685;24,477;13,908;4,2563;4512,86;748,005;2316,8151
27/11/00;4,2685;24,477;13,908;4,3202;4512,86;748,005;2316,8151
28/11/00;4,2685;24,477;13,908;4,1793;4512,86;748,005;2316,8151
29/11/00;4,2685;24,477;13,908;4,076;4512,86;748,005;2316,8151
30/11/00;4,2685;24,477;13,908;4,076;4512,86;748,005;2316,8151
01/12/00;4,2685;24,477;13,908;4,3202;4512,86;748,005;2316,8151
04/12/00;4,2685;24,477;13,908;4,292;4512,86;748,005;2316,8151
05/12/00;4,2685;24,477;13,908;4,5737;4512,86;748,005;2316,8151
06/12/00;4,2685;24,477;13,908;4,4892;4512,86;748,005;2316,8151
07/12/00;4,2685;24,477;13,908;4,3577;4512,86;748,005;2316,8151
08/12/00;4,2685;24,477;13,908;4,5456;4512,86;748,005;2316,8151
11/12/00;4,2685;24,477;13,908;4,6958;4512,86;748,005;2316,8151
12/12/00;4,2685;24,477;13,908;4,7146;4512,86;748,005;2316,8151
13/12/00;4,2685;24,477;13,908;4,6958;4512,86;748,005;2316,8151
14/12/00;4,2685;24,477;13,908;4,7146;4512,86;748,005;2316,8151
15/12/00;4,2685;24,477;13,908;4,5606;4512,86;748,005;2316,8151
18/12/00;4,2685;24,477;13,908;4,3202;4512,86;748,005;2316,8151
19/12/00;4,2685;24,477;13,908;4,3202;4512,86;748,005;2316,8151
20/12/00;4,2685;24,477;13,908;4,3671;4512,86;748,005;2316,8151
21/12/00;4,2685;24,477;13,908;4,5099;4512,86;748,005;2316,8151
22/12/00;4,2685;24,477;13,908;4,7897;4512,86;748,005;2316,8151
27/12/00;4,2685;24,477;13,908;4,724;4512,86;748,005;2316,8151
28/12/00;4,2685;24,477;13,908;4,5456;4512,86;748,005;2316,8151
29/12/00;3,9927;3,678;0,515;4,5909;3395,885;739,698;2135,12
02/01/01;3,9927;3,678;0,515;4,6156;3395,885;739,698;2135,12
03/01/01;3,9927;3,678;0,515;4,7486;3395,885;739,698;2135,12
04/01/01;3,9927;3,678;0,515;4,6821;3395,885;739,698;2135,12
05/01/01;3,9927;3,678;0,515;4,2718;3395,885;739,698;2135,12
08/01/01;3,9927;3,678;0,515;4,0838;3395,885;739,698;2135,12
09/01/01;3,9927;3,678;0,515;3,9888;3395,885;739,698;2135,12
10/01/01;3,9927;3,678;0,515;3,7362;3395,885;739,698;2135,12
11/01/01;3,9927;3,678;0,515;3,8007;3395,885;739,698;2135,12
12/01/01;3,9927;3,678;0,515;4,0838;3395,885;739,698;2135,12
15/01/01;3,9927;3,678;0,515;4,1028;3395,885;739,698;2135,12
16/01/01;3,9927;3,678;0,515;3,7609;3395,885;739,698;2135,12
17/01/01;3,9927;3,678;0,515;3,9318;3395,885;739,698;2135,12
18/01/01;3,9927;3,678;0,515;3,7988;3395,885;739,698;2135,12
19/01/01;3,9927;3,678;0,515;3,8558;3395,885;739,698;2135,12
22/01/01;3,9927;3,678;0,515;3,6887;3395,885;739,698;2135,12
23/01/01;3,9927;3,678;0,515;3,7039;3395,885;739,698;2135,12
24/01/01;3,9927;3,678;0,515;3,6089;3395,885;739,698;2135,12
25/01/01;3,9927;3,678;0,515;3,7799;3395,885;739,698;2135,12
26/01/01;3,9927;3,678;0,515;3,457;3395,885;739,698;2135,12
29/01/01;3,9927;3,678;0,515;3,419;3395,885;739,698;2135,12
30/01/01;3,9927;3,678;0,515;3,438;3395,885;739,698;2135,12
31/01/01;3,9927;3,678;0,515;3,362;3395,885;739,698;2135,12
01/02/01;3,9927;3,678;0,515;3,4854;3395,885;739,698;2135,12
02/02/01;3,9927;3,678;0,515;3,4664;3395,885;739,698;2135,12
05/02/01;3,9927;3,678;0,515;3,438;3395,885;739,698;2135,12
06/02/01;3,9927;3,678;0,515;3,4854;3395,885;739,698;2135,12
07/02/01;3,9927;3,678;0,515;3,419;3395,885;739,698;2135,12
08/02/01;3,9927;3,678;0,515;3,362;3395,885;739,698;2135,12
09/02/01;3,9927;3,678;0,515;3,229;3395,885;739,698;2135,12
12/02/01;3,9927;3,678;0,515;3,21;3395,885;739,698;2135,12
13/02/01;3,9927;3,678;0,515;3,2708;3395,885;739,698;2135,12
14/02/01;3,9927;3,678;0,515;3,286;3395,885;739,698;2135,12
15/02/01;3,9927;3,678;0,515;3,4;3395,885;739,698;2135,12
16/02/01;3,9927;3,678;0,515;3,362;3395,885;739,698;2135,12
19/02/01;3,9927;3,678;0,515;3,21;3395,885;739,698;2135,12
20/02/01;3,9927;3,678;0,515;3,1777;3395,885;739,698;2135,12
21/02/01;3,9927;3,678;0,515;3,0676;3395,885;739,698;2135,12
22/02/01;3,9927;3,678;0,515;2,8396;3395,885;739,698;2135,12
23/02/01;3,9927;3,678;0,515;2,7827;3395,885;739,698;2135,12
26/02/01;3,9927;3,678;0,515;2,7827;3395,885;739,698;2135,12
27/02/01;3,9927;3,678;0,515;2,7352;3395,885;739,698;2135,12
28/02/01;3,9927;3,678;0,515;2,6402;3395,885;739,698;2135,12
01/03/01;3,9927;3,678;0,515;2,3876;3395,885;739,698;2135,12
02/03/01;3,9927;3,678;0,515;2,1274;3395,885;739,698;2135,12
05/03/01;3,9927;3,678;0,515;2,2223;3395,885;739,698;2135,12
06/03/01;3,9927;3,678;0,515;2,3553;3395,885;739,698;2135,12
07/03/01;3,9927;3,678;0,515;2,3363;3395,885;739,698;2135,12
08/03/01;3,9927;3,678;0,515;2,2641;3395,885;739,698;2135,12
09/03/01;3,9927;3,678;0,515;2,1653;3395,885;739,698;2135,12
12/03/01;3,9927;3,678;0,515;2,0818;3395,885;739,698;2135,12
