Year,Quarter,MVA,DELTA_MVA
2000,3,34044.2669084246,-0.00676509114710061
2000,4,19166.24797712378,-0.43701980633981874
2001,1,13429.554533253448,-0.2993122832761773
2001,2,5351.944880509883,-0.6014800887655862
2001,3,7709.4350732303965,0.44049224073771
2001,4,3427.1240433609482,-0.5554636609806846
2002,1,7038.883110013675,1.0538746251830176
2002,2,7264.406499437402,0.032039655425289346
2002,3,3445.378833882582,-0.5257177810534952
2002,4,1878.2596608805948,-0.4548466942417498
2003,1,1785.0535334484732,-0.04962366459407599
2003,2,1749.9470392955225,-0.01966691390208893
2003,3,4226.411536315626,1.4151653972437106
2003,4,5292.570417449034,0.2522610190636645
2004,1,6066.431350898629,0.14621646429082152
2004,2,5960.713021369102,-0.017426774229278467
2004,3,5273.248066979866,-0.11533267109566926
2004,4,4538.162860524587,-0.13939894295097757
2005,1,5094.490463737624,0.12258872594729414
2005,2,4313.464514281915,-0.1533079618099238
2005,3,4495.046588248008,0.04209657303656338
2005,4,4878.505652180738,0.08530702772586546
2006,1,6161.83538168587,0.26305795688306133
2006,2,8834.827347287175,0.433798016342004
2006,3,7758.735146121558,-0.12180115794747735
2006,4,9190.971297268588,0.1845966029479661
2007,1,10859.895325616848,0.18158298773539172
2007,2,15526.231964145416,0.42968523163583233
2007,3,18103.28555397055,0.16598061885049115
2007,4,20632.495992422977,0.13971002285260328
2008,1,20547.22488513087,-0.004132854663993299
2008,2,20120.312724924617,-0.020777120150915814
2008,3,21974.431918393857,0.09215160911353014
2008,4,19165.6153,-0.12782203557411262
2009,1,21275.440422371823,0.11008387100266076
2009,2,17373.405103893605,-0.18340561892082383
2009,3,15699.666420617881,-0.09633912714673402
2009,4,19535.666510238738,0.2443364073381303
2010,1,17566.321393446902,-0.100807674811591
2010,2,19117.927226180876,0.08832844384327382
2010,3,20780.23344911844,0.08695012818445788
2010,4,19234.43913787788,-0.07438772596205553
2011,1,21298.81777004489,0.107327207066916
2011,2,24293.500314497986,0.14060322862919086
2011,3,23887.409161802578,-0.016716041222477062
2011,4,24147.028158202756,0.010868445156259362
2012,1,22982.396982715083,-0.048230828566456434
2012,2,24592.149705708875,0.07004285602604796
2012,3,20757.544930729575,-0.15592800226362993
2012,4,23899.409518650933,0.1513601246393125
2013,1,23902.07909820564,0.00011170064903161665
2013,2,24507.35157229504,0.025323005233249336
2013,3,25177.40698731741,0.027340996559573172
2013,4,26554.30016519185,0.054687648277998685
2014,1,29985.786169078856,0.1292252472307705
2014,2,30478.95853313711,0.016446871236839848
2014,3,27258.895403405095,-0.10564872570140875
2014,4,29992.85876805419,0.10029619044312327
2015,1,30094.091238352106,0.0033752191173500555
2015,2,33753.14202303481,0.12158701705601212
2015,3,35349.566786963675,0.04729707127233924
2015,4,41137.64705564289,0.16373836498651978
2016,1,42315.886808947,0.028641398758427222
2016,2,36842.158094769715,-0.12935398799251804
2016,3,35953.152042899994,-0.024130129662407816
