Date;PX_LAST
06/06/00;35,9
07/06/00;35,22
08/06/00;35,1
09/06/00;34,8
12/06/00;34,2
13/06/00;33,8
14/06/00;33,95
15/06/00;33,01
16/06/00;33,2
19/06/00;32,8
20/06/00;31,8
21/06/00;31,15
22/06/00;31,1
23/06/00;31,1
26/06/00;31,1
27/06/00;31,1
28/06/00;31,02
29/06/00;32
30/06/00;32,25
03/07/00;32,3
04/07/00;32
05/07/00;31,98
06/07/00;31,75
07/07/00;32,05
10/07/00;32,5
11/07/00;32
12/07/00;33
13/07/00;33,9
14/07/00;34,8
17/07/00;35
18/07/00;34,3
19/07/00;34,57
20/07/00;33,8
21/07/00;33,32
24/07/00;32,8
25/07/00;33,3
26/07/00;33,1
27/07/00;33,25
28/07/00;33,19
31/07/00;33,7
01/08/00;32,8
02/08/00;32,1
03/08/00;31,65
04/08/00;31,75
07/08/00;31,9
08/08/00;32,1
09/08/00;32,35
10/08/00;32
11/08/00;33
14/08/00;33,55
15/08/00;33,5
16/08/00;33
17/08/00;32,1
18/08/00;32,1
21/08/00;31,55
22/08/00;31,7
23/08/00;31,75
24/08/00;31,95
25/08/00;31,83
28/08/00;31,75
29/08/00;32,5
30/08/00;33,25
31/08/00;34,2
01/09/00;33,5
04/09/00;34,02
05/09/00;33,6
06/09/00;33,1
07/09/00;32,8
08/09/00;33,2
11/09/00;33
12/09/00;33,5
13/09/00;33,25
14/09/00;33,75
15/09/00;33,5
18/09/00;32,55
19/09/00;33,25
20/09/00;32,6
21/09/00;32,05
22/09/00;32
25/09/00;31,9
26/09/00;32
27/09/00;32
28/09/00;32,13
29/09/00;32,12
02/10/00;32,65
04/10/00;32,6
05/10/00;32,7
06/10/00;32
09/10/00;32,1
10/10/00;31,55
11/10/00;31,13
12/10/00;31,14
13/10/00;29,3
16/10/00;29
17/10/00;29,1
18/10/00;29
19/10/00;29,1
20/10/00;29,2
23/10/00;29,1
24/10/00;29
25/10/00;29,33
26/10/00;29,1
27/10/00;29
30/10/00;29,26
31/10/00;29
01/11/00;29,15
02/11/00;29,1
03/11/00;29,15
06/11/00;29
07/11/00;28
08/11/00;27,2
09/11/00;28,2
10/11/00;28,65
13/11/00;25,98
14/11/00;26,9
15/11/00;26,25
16/11/00;25,5
17/11/00;24,95
20/11/00;24,02
21/11/00;23,75
22/11/00;21,8
23/11/00;23,5
24/11/00;22,66
27/11/00;23
28/11/00;22,25
29/11/00;21,7
30/11/00;21,7
01/12/00;23
04/12/00;22,85
05/12/00;24,35
06/12/00;23,9
07/12/00;23,2
08/12/00;24,2
11/12/00;25
12/12/00;25,1
13/12/00;25
14/12/00;25,1
15/12/00;24,28
18/12/00;23
19/12/00;23
20/12/00;23,25
21/12/00;24,01
22/12/00;25,5
27/12/00;25,15
28/12/00;24,2
29/12/00;24,17
02/01/01;24,3
03/01/01;25
04/01/01;24,65
05/01/01;22,49
08/01/01;21,5
09/01/01;21
10/01/01;19,67
11/01/01;20,01
12/01/01;21,5
15/01/01;21,6
16/01/01;19,8
17/01/01;20,7
18/01/01;20
19/01/01;20,3
22/01/01;19,42
23/01/01;19,5
24/01/01;19
25/01/01;19,9
26/01/01;18,2
29/01/01;18
30/01/01;18,1
31/01/01;17,7
01/02/01;18,35
02/02/01;18,25
05/02/01;18,1
06/02/01;18,35
07/02/01;18
08/02/01;17,7
09/02/01;17
12/02/01;16,9
13/02/01;17,22
14/02/01;17,3
15/02/01;17,9
16/02/01;17,7
19/02/01;16,9
20/02/01;16,73
21/02/01;16,15
22/02/01;14,95
23/02/01;14,65
26/02/01;14,65
27/02/01;14,4
28/02/01;13,9
01/03/01;12,57
02/03/01;11,2
05/03/01;11,7
06/03/01;12,4
07/03/01;12,3
08/03/01;11,92
09/03/01;11,4
12/03/01;10,96
13/03/01;11,3
14/03/01;10,84
15/03/01;11,1
16/03/01;11,2
19/03/01;10,5
20/03/01;11,21
21/03/01;10,78
22/03/01;10,05
23/03/01;10
26/03/01;10,15
27/03/01;11,37
28/03/01;11,24
29/03/01;10,55
30/03/01;9,5
02/04/01;10,08
03/04/01;9,55
04/04/01;11,2
05/04/01;13,28
06/04/01;12,49
09/04/01;12,7
10/04/01;13,5
11/04/01;14,77
12/04/01;15,1
17/04/01;13,46
18/04/01;15,25
19/04/01;15,4
20/04/01;15,5
23/04/01;14,8
24/04/01;14,35
25/04/01;14,5
26/04/01;15,15
27/04/01;15,45
30/04/01;16,15
02/05/01;16,15
03/05/01;15,6
04/05/01;15,15
07/05/01;15,45
08/05/01;14,95
09/05/01;13,9
10/05/01;13,95
11/05/01;14,3
14/05/01;12,8
15/05/01;12,98
16/05/01;13,1
17/05/01;13,9
18/05/01;14,2
21/05/01;14,85
22/05/01;15,6
23/05/01;15,6
24/05/01;15,35
25/05/01;15,3
28/05/01;15,15
29/05/01;14,9
30/05/01;13,55
31/05/01;13,45
01/06/01;13
04/06/01;13,1
05/06/01;13,2
06/06/01;12,8
07/06/01;12,41
08/06/01;12,3
11/06/01;11,85
12/06/01;11,1
13/06/01;11,46
14/06/01;11,03
15/06/01;10,57
18/06/01;11,36
19/06/01;11,75
20/06/01;11,55
21/06/01;11,5
22/06/01;11,55
25/06/01;11,05
26/06/01;11,55
27/06/01;12,65
28/06/01;13,1
29/06/01;13,3
02/07/01;13,3
03/07/01;12,8
04/07/01;12,16
05/07/01;11,75
06/07/01;10,55
09/07/01;10,68
10/07/01;10,75
11/07/01;10
12/07/01;10,35
13/07/01;10,29
16/07/01;10,1
17/07/01;9,9
18/07/01;9,5
19/07/01;8,95
20/07/01;8,25
23/07/01;7,65
24/07/01;7,6
25/07/01;7,6
26/07/01;7,95
27/07/01;9,2
30/07/01;9,9
31/07/01;10,44
01/08/01;10,3
02/08/01;10,9
03/08/01;10,1
06/08/01;9,15
07/08/01;9,4
08/08/01;8,8
09/08/01;8,25
10/08/01;8,4
13/08/01;8,44
14/08/01;8,6
15/08/01;8,1
16/08/01;7,05
17/08/01;7
20/08/01;7,08
21/08/01;7,1
22/08/01;6,7
23/08/01;6,7
24/08/01;6,98
27/08/01;7,06
28/08/01;6,92
29/08/01;6,97
30/08/01;6,6
31/08/01;6,31
03/09/01;5,95
04/09/01;5,95
05/09/01;5,85
06/09/01;5,85
07/09/01;5,75
10/09/01;6,06
11/09/01;5,5
12/09/01;5,5
13/09/01;5,66
14/09/01;5,52
17/09/01;5,35
18/09/01;5,4
19/09/01;5,4
20/09/01;4,65
21/09/01;4,25
24/09/01;4,4
25/09/01;4,65
26/09/01;5,05
27/09/01;5,04
28/09/01;5,57
01/10/01;5,38
02/10/01;5,3
03/10/01;5,65
04/10/01;6,22
05/10/01;5,95
08/10/01;5,8
09/10/01;5,65
10/10/01;5,85
11/10/01;6,65
12/10/01;7,05
15/10/01;7,25
16/10/01;7,8
17/10/01;8,2
18/10/01;8,33
19/10/01;8
22/10/01;8,77
23/10/01;10,77
24/10/01;12,3
25/10/01;11,05
26/10/01;10,9
29/10/01;9
30/10/01;9,27
31/10/01;8,9
01/11/01;9,2
02/11/01;9,37
05/11/01;9,9
06/11/01;9,52
07/11/01;9,91
08/11/01;10
09/11/01;9,55
12/11/01;9,01
13/11/01;9,92
14/11/01;10,4
15/11/01;10,5
16/11/01;11,05
19/11/01;12,62
20/11/01;11,8
21/11/01;11,9
22/11/01;12,04
23/11/01;12
26/11/01;12,23
27/11/01;11,8
28/11/01;10,55
29/11/01;10
30/11/01;10,37
03/12/01;9,85
04/12/01;10,45
05/12/01;12,22
06/12/01;13
07/12/01;12,1
10/12/01;12,25
11/12/01;12,12
12/12/01;11,45
13/12/01;10,3
14/12/01;10,15
17/12/01;11,15
18/12/01;11,82
19/12/01;11,2
20/12/01;11,1
21/12/01;10,85
27/12/01;10,6
28/12/01;10,6
02/01/02;10,8
03/01/02;12,27
04/01/02;12,5
07/01/02;12,9
08/01/02;12,54
09/01/02;12,4
10/01/02;11,85
11/01/02;11,95
14/01/02;11
15/01/02;11,15
16/01/02;10,42
17/01/02;10,9
18/01/02;11,1
21/01/02;11
22/01/02;11,1
23/01/02;11,2
24/01/02;11,12
25/01/02;11,05
28/01/02;10,7
29/01/02;10,7
30/01/02;10,16
31/01/02;10,45
01/02/02;10,4
04/02/02;10
05/02/02;9,4
06/02/02;8,8
07/02/02;8,9
08/02/02;8,75
11/02/02;9,4
12/02/02;9,22
13/02/02;9,15
14/02/02;9,1
15/02/02;8,9
18/02/02;8,55
19/02/02;8,05
20/02/02;7,6
21/02/02;8,27
22/02/02;8,12
25/02/02;8,51
26/02/02;8,75
27/02/02;9,25
28/02/02;9,15
01/03/02;9,2
04/03/02;9,65
05/03/02;9,7
06/03/02;9,7
07/03/02;10,08
08/03/02;10,75
11/03/02;10,95
12/03/02;10,2
13/03/02;9,82
14/03/02;10
15/03/02;9,85
18/03/02;10,13
19/03/02;10,5
20/03/02;10,1
21/03/02;10,05
22/03/02;10,4
25/03/02;10,4
26/03/02;10,4
27/03/02;10,3
28/03/02;10,35
02/04/02;10,2
03/04/02;9,94
04/04/02;9,34
05/04/02;9,4
08/04/02;9,2
09/04/02;9,34
10/04/02;9,25
11/04/02;9,2
12/04/02;8,75
15/04/02;8,5
16/04/02;9,1
17/04/02;9,2
18/04/02;9,1
19/04/02;8,95
22/04/02;8,35
23/04/02;8,41
24/04/02;8,2
25/04/02;7,75
26/04/02;7,8
29/04/02;7,8
30/04/02;8,4
02/05/02;8,1
03/05/02;7,84
06/05/02;7,45
07/05/02;6,8
08/05/02;8,15
09/05/02;7,95
10/05/02;7,85
13/05/02;8,3
14/05/02;8,65
15/05/02;8,6
16/05/02;8,6
17/05/02;8,6
20/05/02;8,26
21/05/02;7,85
22/05/02;7,65
23/05/02;7,6
24/05/02;7,65
27/05/02;7,63
28/05/02;7,32
29/05/02;7,19
30/05/02;7,05
31/05/02;7,4
03/06/02;7,3
04/06/02;7,14
05/06/02;7
06/06/02;7
07/06/02;6,9
10/06/02;6,7
11/06/02;6,5
12/06/02;6,65
13/06/02;6,5
14/06/02;6,1
17/06/02;6,5
18/06/02;6,43
19/06/02;6,04
20/06/02;5,41
21/06/02;5
24/06/02;4,4
25/06/02;4,65
26/06/02;4,4
27/06/02;5
28/06/02;5,11
01/07/02;5,05
02/07/02;5,1
03/07/02;5
04/07/02;5,03
05/07/02;5,35
08/07/02;5,05
09/07/02;5,05
10/07/02;4,9
11/07/02;4,6
12/07/02;4,35
15/07/02;4,25
16/07/02;4,25
17/07/02;4,46
18/07/02;4,66
19/07/02;4,37
22/07/02;4,15
23/07/02;4,21
24/07/02;4,45
25/07/02;4,4
26/07/02;4,3
29/07/02;4,45
30/07/02;4,33
31/07/02;4,2
01/08/02;4,01
02/08/02;3,95
05/08/02;3,5
06/08/02;3,35
07/08/02;3,33
08/08/02;3,35
09/08/02;3,3
12/08/02;3,45
13/08/02;3,35
14/08/02;3,3
15/08/02;3,45
16/08/02;3,47
19/08/02;3,55
20/08/02;3,75
21/08/02;4,12
22/08/02;4,65
23/08/02;4,41
26/08/02;4,3
27/08/02;4,34
