Year,Quarter,MVA,DELTA_MVA
2000,3,16932.547324951684,-0.02294534993673621
2000,4,16490.98472049737,-0.026077742231000865
2001,1,16854.333946482635,0.02203320372576914
2001,2,17847.55034920606,0.05892943654001238
2001,3,18225.77446892696,0.02119193459721634
2001,4,18699.460927775537,0.025989922110369726
2002,1,19510.41007605422,0.043367514786168376
2002,2,20481.7641979048,0.04978645338893996
2002,3,20844.010464452593,0.017686282443621266
2002,4,21561.511940782268,0.034422429289857774
2003,1,23142.438752667273,0.07332170472214333
2003,2,28185.66372056636,0.21792106794785548
2003,3,31395.97572404021,0.1138987548883359
2003,4,33174.61777549141,0.05665191192287983
2004,1,34536.02347045339,0.04103756987270401
2004,2,38657.85980656256,0.11934889781493031
2004,3,39724.75809515841,0.027598483049357272
2004,4,37983.59589613427,-0.04383065580546229
2005,1,38544.71419140206,0.014772648087404987
2005,2,41610.02119192261,0.07952600154976143
2005,3,32881.63843988336,-0.2097663616122747
2005,4,36566.66665419733,0.1120694828224941
2006,1,39510.7285016122,0.08051217452375929
2006,2,44086.93833592418,0.11582195539941137
2006,3,48674.41778908716,0.10405529679126936
2006,4,52397.12375869364,0.07648177705458073
2007,1,45815.81333161688,-0.12560442167371447
2007,2,47949.43911936752,0.046569636826205796
2007,3,44691.35876219302,-0.06794824750845749
2007,4,44267.407614234944,-0.009486199562961612
2008,1,46377.6507818392,0.04767035797519052
2008,2,38930.06361414478,-0.1605856925079694
2008,3,32840.36868624878,-0.15642653421412295
2008,4,26672.23165941617,-0.18782179596587137
2009,1,26580.159543347472,-0.0034519839676105425
2009,2,40015.616583056384,0.505469390347266
2009,3,32263.257853952473,-0.19373333191088338
2009,4,33606.67146858248,0.04163911842726158
2010,1,31189.506221824588,-0.07192516072344743
2010,2,34766.337497566994,0.11468059963192202
2010,3,29894.95467756909,-0.14011780275500146
2010,4,33614.785658341265,0.12443005921541851
2011,1,30638.480898869675,-0.08854153614788977
2011,2,31968.44325649605,0.04340823430561931
2011,3,30933.639770123435,-0.032369530104107994
2011,4,33340.184394435375,0.07779700811788233
2012,1,39742.163993727656,0.1920199217722623
2012,2,30077.983264723476,-0.2431719805325507
2012,3,19944.299341455804,-0.33691367649482057
2012,4,22199.539823582913,0.11307694712741363
2013,1,24738.47518556017,0.11436882846013362
2013,2,16923.834108206363,-0.31589016779478823
2013,3,12924.687950045512,-0.23630260924276408
2013,4,16293.597484142418,0.2606569340101586
2014,1,23307.67137373417,0.43048037098118636
2014,2,36091.21284549419,0.5484692686274109
2014,3,43732.19755967216,0.21171315984555247
2014,4,23812.562370579035,-0.45549129247193615
2015,1,11228.091880573098,-0.5284803161525505
2015,2,15828.674830601974,0.4097386269156586
2015,3,21733.54901125429,0.3730491809229838
2015,4,14464.844929046021,-0.3344462553467137
2016,1,12752.618420064511,-0.11837157725371025
2016,2,5640.099128863834,-0.557730111332281
2016,3,3650.0444005077425,-0.3528403815053118
