Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
01/07/05;20,1197;1110,605;113,749;1,664;906,9387;543,001;11204,617
04/07/05;20,1197;1110,605;113,749;1,635;906,9387;543,001;11204,617
05/07/05;20,1197;1110,605;113,749;1,6389;906,9387;543,001;11204,617
06/07/05;20,1197;1110,605;113,749;1,6562;906,9387;543,001;11204,617
07/07/05;20,1197;1110,605;113,749;1,6464;906,9387;543,001;11204,617
08/07/05;20,1197;1110,605;113,749;1,6452;906,9387;543,001;11204,617
11/07/05;20,1197;1110,605;113,749;1,6371;906,9387;543,001;11204,617
12/07/05;20,1197;1110,605;113,749;1,622;906,9387;543,001;11204,617
13/07/05;20,1197;1110,605;113,749;1,6364;906,9387;543,001;11204,617
14/07/05;20,1197;1110,605;113,749;1,6552;906,9387;543,001;11204,617
15/07/05;20,1197;1110,605;113,749;1,6452;906,9387;543,001;11204,617
18/07/05;20,1197;1110,605;113,749;1,6587;906,9387;543,001;11204,617
19/07/05;20,1197;1110,605;113,749;1,6604;906,9387;543,001;11204,617
20/07/05;20,1197;1110,605;113,749;1,6501;906,9387;543,001;11204,617
21/07/05;20,1197;1110,605;113,749;1,6738;906,9387;543,001;11204,617
22/07/05;20,1197;1110,605;113,749;1,6681;906,9387;543,001;11204,617
25/07/05;20,1197;1110,605;113,749;1,6513;906,9387;543,001;11204,617
26/07/05;20,1197;1110,605;113,749;1,6497;906,9387;543,001;11204,617
27/07/05;20,1197;1110,605;113,749;1,6363;906,9387;543,001;11204,617
28/07/05;20,1197;1110,605;113,749;1,6305;906,9387;543,001;11204,617
29/07/05;20,1197;1110,605;113,749;1,626;906,9387;543,001;11204,617
01/08/05;20,1197;1110,605;113,749;1,6299;906,9387;543,001;11204,617
02/08/05;20,1197;1110,605;113,749;1,6475;906,9387;543,001;11204,617
03/08/05;20,1197;1110,605;113,749;1,6597;906,9387;543,001;11204,617
04/08/05;20,1197;1110,605;113,749;1,6621;906,9387;543,001;11204,617
05/08/05;20,1197;1110,605;113,749;1,6892;906,9387;543,001;11204,617
08/08/05;20,1197;1110,605;113,749;1,674;906,9387;543,001;11204,617
09/08/05;20,1197;1110,605;113,749;1,6676;906,9387;543,001;11204,617
10/08/05;20,1197;1110,605;113,749;1,6825;906,9387;543,001;11204,617
11/08/05;20,1197;1110,605;113,749;1,6811;906,9387;543,001;11204,617
12/08/05;20,1197;1110,605;113,749;1,6763;906,9387;543,001;11204,617
16/08/05;20,1197;1110,605;113,749;1,6757;906,9387;543,001;11204,617
17/08/05;20,1197;1110,605;113,749;1,6594;906,9387;543,001;11204,617
18/08/05;20,1197;1110,605;113,749;1,6535;906,9387;543,001;11204,617
19/08/05;20,1197;1110,605;113,749;1,6474;906,9387;543,001;11204,617
22/08/05;20,1197;1110,605;113,749;1,6419;906,9387;543,001;11204,617
23/08/05;20,1197;1110,605;113,749;1,6301;906,9387;543,001;11204,617
24/08/05;20,1197;1110,605;113,749;1,6581;906,9387;543,001;11204,617
25/08/05;20,1197;1110,605;113,749;1,6471;906,9387;543,001;11204,617
26/08/05;20,1197;1110,605;113,749;1,651;906,9387;543,001;11204,617
29/08/05;20,1197;1110,605;113,749;1,6395;906,9387;543,001;11204,617
30/08/05;20,1197;1110,605;113,749;1,6448;906,9387;543,001;11204,617
31/08/05;20,1197;1110,605;113,749;1,6461;906,9387;543,001;11204,617
