Year,Quarter,MVA,DELTA_MVA
2005,4,18580.842419319368,0.017947912334037402
2006,1,15559.58604756021,-0.16260061323257427
2006,2,16756.68523824437,0.07693644207661089
2006,3,16904.99504503842,0.008850784309987467
2006,4,17755.95957066678,0.05033805235442022
2007,1,18759.301865929414,0.05650735412352357
2007,2,19113.090327462018,0.018859361828126097
2007,3,23088.036326177047,0.20796982228476985
2007,4,16992.48588041137,-0.26401337730288427
2008,1,15659.31907441586,-0.0784562550399032
2008,2,14935.37471339003,-0.046230896604476705
2008,3,14023.35056432948,-0.0610646981788072
2008,4,12856.602360363588,-0.08320038771145698
2009,1,16779.929379553163,0.3051604855793815
2009,2,15968.462488718094,-0.048359374612378575
2009,3,18418.951183510355,0.15345802368409353
2009,4,19370.161622072355,0.05164302945835351
2010,1,15287.61030417654,-0.21076495888623542
2010,2,13123.493418830134,-0.1415601812374282
2010,3,11728.360105002628,-0.10630807432918056
2010,4,9368.982387110453,-0.20116859448115035
2011,1,10278.644595507414,0.09709295746445694
2011,2,10615.422638676731,0.032764830035714634
2011,3,10185.392555061633,-0.0405099352378403
2011,4,8544.517683239974,-0.16110079831986704
2012,1,7107.171052443276,-0.16821857992242745
2012,2,10054.827658528164,0.41474400775418996
2012,3,7606.513158649997,-0.24349641615205497
2012,4,7088.558372379369,-0.06809358972601252
2013,1,7313.021511552675,0.03166555558714577
2013,2,5862.69718757329,-0.19832080648036515
2013,3,6773.430345191581,0.1553437144167539
2013,4,7012.3608975906845,0.03527467475453096
2014,1,9769.840911859521,0.3932313317211404
2014,2,10150.250231976885,0.03893710486683445
2014,3,14158.03778863615,0.39484618261265264
2014,4,11507.469593135322,-0.18721296235190782
2015,1,11581.166552644023,0.00640427149619969
2015,2,19486.85945101026,0.6826335553011572
2015,3,17979.5661655664,-0.07734921521003303
2015,4,16771.518320530104,-0.0671900441819276
2016,1,15048.088863620904,-0.10275929847088089
2016,2,7793.043026109721,-0.4821240692597464
2016,3,5699.048044095749,-0.26870055445584934
