Date;PX_LAST
03/01/95;3,6382
04/01/95;3,6382
05/01/95;3,6144
09/01/95;3,5906
10/01/95;3,5669
11/01/95;3,5669
12/01/95;3,5669
13/01/95;3,5669
16/01/95;3,5621
17/01/95;3,2078
18/01/95;3,234
19/01/95;3,2149
20/01/95;3,2815
23/01/95;3,2601
24/01/95;3,3053
25/01/95;3,2577
26/01/95;3,2815
27/01/95;3,3172
30/01/95;3,3291
31/01/95;3,341
01/02/95;3,3053
02/02/95;3,3291
03/02/95;3,3172
06/02/95;3,3267
07/02/95;3,2863
08/02/95;3,3885
09/02/95;3,448
10/02/95;3,5669
13/02/95;3,555
14/02/95;3,5906
15/02/95;3,6382
16/02/95;3,6025
17/02/95;3,6144
20/02/95;3,6739
21/02/95;3,6382
22/02/95;3,6382
23/02/95;3,5431
24/02/95;3,5312
27/02/95;3,5431
28/02/95;3,5906
01/03/95;3,6382
02/03/95;3,5669
03/03/95;3,5193
06/03/95;3,4717
07/03/95;3,4717
08/03/95;3,4717
09/03/95;3,448
10/03/95;3,4694
13/03/95;3,448
14/03/95;3,4147
15/03/95;3,4242
16/03/95;3,3885
17/03/95;3,3374
20/03/95;3,3529
21/03/95;3,4242
22/03/95;3,3766
23/03/95;3,3291
24/03/95;3,3362
27/03/95;3,3576
28/03/95;3,3291
29/03/95;3,3053
30/03/95;3,3291
31/03/95;3,3053
03/04/95;3,2102
04/04/95;3,2577
05/04/95;3,2458
06/04/95;3,2102
07/04/95;3,2078
10/04/95;3,2102
11/04/95;3,2102
12/04/95;3,2078
13/04/95;3,1626
14/04/95;3,2102
18/04/95;3,1626
19/04/95;3,2078
20/04/95;3,2458
21/04/95;3,2815
24/04/95;3,2768
26/04/95;3,3291
27/04/95;3,3529
28/04/95;3,3338
02/05/95;3,341
03/05/95;3,3291
04/05/95;3,3291
05/05/95;3,3291
08/05/95;3,3291
09/05/95;3,341
10/05/95;3,3291
11/05/95;3,3624
12/05/95;3,3291
15/05/95;3,3576
16/05/95;3,3291
17/05/95;3,3766
18/05/95;3,2815
19/05/95;3,2815
22/05/95;3,2815
23/05/95;3,2696
24/05/95;3,272
25/05/95;3,291
26/05/95;3,2815
29/05/95;3,3029
30/05/95;3,3053
31/05/95;3,3291
01/06/95;3,3172
02/06/95;3,3005
05/06/95;3,2934
06/06/95;3,2815
07/06/95;3,2696
08/06/95;3,2102
09/06/95;3,2102
12/06/95;3,1388
13/06/95;3,1626
14/06/95;3,1626
15/06/95;3,2102
16/06/95;3,1864
19/06/95;3,1864
20/06/95;3,1864
21/06/95;3,1745
22/06/95;3,2102
23/06/95;3,2102
26/06/95;3,234
27/06/95;3,234
28/06/95;3,234
29/06/95;3,2221
30/06/95;3,2268
03/07/95;3,2696
04/07/95;3,2577
05/07/95;3,3053
06/07/95;3,2934
07/07/95;3,3101
10/07/95;3,2934
11/07/95;3,2815
12/07/95;3,3053
13/07/95;3,2934
14/07/95;3,2601
17/07/95;3,2637
18/07/95;3,3053
19/07/95;3,2815
20/07/95;3,2815
21/07/95;3,2768
24/07/95;3,2696
25/07/95;3,2696
26/07/95;3,3124
27/07/95;3,2815
28/07/95;3,3148
31/07/95;3,3053
01/08/95;3,2934
02/08/95;3,3053
03/08/95;3,3053
04/08/95;3,3291
07/08/95;3,3291
08/08/95;3,3053
09/08/95;3,2815
10/08/95;3,2934
11/08/95;3,2887
16/08/95;3,3053
17/08/95;3,2934
18/08/95;3,2815
21/08/95;3,2815
22/08/95;3,2791
23/08/95;3,2696
24/08/95;3,2815
25/08/95;3,2696
28/08/95;3,2934
29/08/95;3,2577
30/08/95;3,2577
31/08/95;3,234
01/09/95;3,2458
04/09/95;3,1959
05/09/95;3,2577
06/09/95;3,2102
07/09/95;3,2102
08/09/95;3,234
11/09/95;3,234
12/09/95;3,1864
13/09/95;3,1983
14/09/95;3,2102
15/09/95;3,2577
18/09/95;3,2796
19/09/95;3,2577
20/09/95;3,2577
21/09/95;3,2577
22/09/95;3,2356
25/09/95;3,2577
26/09/95;3,1367
27/09/95;3,1864
28/09/95;3,0996
29/09/95;3,1227
02/10/95;3,1864
03/10/95;3,1904
04/10/95;3,1745
05/10/95;3,2102
06/10/95;3,2102
09/10/95;3,2292
10/10/95;3,1626
11/10/95;3,1983
12/10/95;3,1745
13/10/95;3,1388
16/10/95;3,1286
17/10/95;3,127
18/10/95;3,1602
19/10/95;3,1626
20/10/95;3,1567
23/10/95;3,1507
24/10/95;3,1462
25/10/95;3,1745
26/10/95;3,2328
27/10/95;3,2542
30/10/95;3,2815
31/10/95;3,2718
02/11/95;3,2102
03/11/95;3,2102
06/11/95;3,1983
07/11/95;3,1626
08/11/95;3,1978
09/11/95;3,1736
10/11/95;3,2085
13/11/95;3,234
14/11/95;3,2102
15/11/95;3,1814
16/11/95;3,234
17/11/95;3,2266
20/11/95;3,234
21/11/95;3,2102
22/11/95;3,2078
23/11/95;3,2095
24/11/95;3,2102
27/11/95;3,194
28/11/95;3,1626
29/11/95;3,1745
30/11/95;3,1626
01/12/95;3,1626
04/12/95;3,1448
05/12/95;3,1448
06/12/95;3,1448
07/12/95;3,1388
11/12/95;3,1448
12/12/95;3,1626
13/12/95;3,1652
14/12/95;3,1959
15/12/95;3,1983
18/12/95;3,2054
19/12/95;3,2102
20/12/95;3,2078
21/12/95;3,1928
22/12/95;3,2102
27/12/95;3,1983
28/12/95;3,2054
29/12/95;3,2092
02/01/96;3,1864
03/01/96;3,2078
04/01/96;3,175
05/01/96;3,1864
08/01/96;3,1626
09/01/96;3,1745
10/01/96;3,1786
11/01/96;3,1736
12/01/96;3,1602
15/01/96;3,14
16/01/96;3,127
17/01/96;3,1217
18/01/96;3,127
19/01/96;3,127
22/01/96;3,1151
23/01/96;3,1388
24/01/96;3,127
25/01/96;3,1457
26/01/96;3,1277
29/01/96;3,1084
30/01/96;3,1015
31/01/96;3,1253
01/02/96;3,1388
02/02/96;3,1484
05/02/96;3,1032
06/02/96;3,1251
07/02/96;3,1374
08/02/96;3,1151
09/02/96;3,1151
12/02/96;3,1032
13/02/96;3,1189
14/02/96;3,1341
15/02/96;3,1224
16/02/96;3,127
19/02/96;3,1117
20/02/96;3,127
21/02/96;3,127
22/02/96;3,1377
23/02/96;3,1388
26/02/96;3,1507
27/02/96;3,1586
28/02/96;3,1667
29/02/96;3,1381
01/03/96;3,127
04/03/96;3,1388
05/03/96;3,1507
06/03/96;3,146
07/03/96;3,1626
08/03/96;3,1412
11/03/96;3,131
12/03/96;3,136
13/03/96;3,1745
14/03/96;3,1388
15/03/96;3,1698
18/03/96;3,1626
19/03/96;3,1745
20/03/96;3,1864
21/03/96;3,1983
22/03/96;3,1983
25/03/96;3,1864
26/03/96;3,1864
27/03/96;3,1864
28/03/96;3,1864
29/03/96;3,1983
01/04/96;3,2033
02/04/96;3,2102
03/04/96;3,2102
04/04/96;3,1997
05/04/96;3,2397
09/04/96;3,2211
10/04/96;3,2863
11/04/96;3,306
12/04/96;3,3312
15/04/96;3,3022
16/04/96;3,3869
17/04/96;3,3624
18/04/96;3,3529
19/04/96;3,341
22/04/96;3,3291
23/04/96;3,3141
24/04/96;3,3291
26/04/96;3,3291
29/04/96;3,3291
30/04/96;3,3291
02/05/96;3,3291
03/05/96;3,3291
06/05/96;3,2007
07/05/96;3,1833
08/05/96;3,1507
09/05/96;3,1374
10/05/96;3,1343
13/05/96;3,1341
14/05/96;3,102
15/05/96;3,1393
16/05/96;3,1151
17/05/96;3,1436
20/05/96;3,127
21/05/96;3,1336
22/05/96;3,1262
23/05/96;3,1151
24/05/96;3,111
27/05/96;3,1063
28/05/96;3,1103
29/05/96;3,0913
30/05/96;3,0913
31/05/96;3,0906
03/06/96;3,091
04/06/96;3,0675
05/06/96;3,0535
06/06/96;3,0199
07/06/96;3,0047
10/06/96;2,9802
11/06/96;3,0199
12/06/96;3,0509
13/06/96;3,0437
14/06/96;3,0318
17/06/96;3,0318
18/06/96;3,0002
19/06/96;3,0551
20/06/96;3,0556
21/06/96;3,0081
24/06/96;2,9724
25/06/96;3,0228
26/06/96;3,0081
27/06/96;3,0199
28/06/96;2,9676
01/07/96;2,9676
02/07/96;2,9626
03/07/96;2,9619
04/07/96;2,9562
05/07/96;2,9486
08/07/96;2,9581
09/07/96;2,9524
10/07/96;2,9439
11/07/96;2,9341
12/07/96;2,9486
15/07/96;2,9251
16/07/96;2,9011
17/07/96;2,9011
18/07/96;2,8939
19/07/96;2,8861
22/07/96;2,9075
23/07/96;2,9129
24/07/96;2,932
25/07/96;2,9367
26/07/96;2,9843
29/07/96;2,9486
30/07/96;2,9355
31/07/96;2,9177
01/08/96;2,8892
02/08/96;2,8892
