Date;PX_LAST
05/04/94;34,754
06/04/94;35,189
07/04/94;35,167
08/04/94;35,254
11/04/94;35,211
12/04/94;34,449
13/04/94;34,623
14/04/94;34,07
15/04/94;33,927
18/04/94;33,883
19/04/94;32,556
20/04/94;32,599
21/04/94;33,318
22/04/94;33,97
25/04/94;33,992
26/04/94;34,266
27/04/94;34,036
28/04/94;33,97
29/04/94;34,001
02/05/94;34,667
03/05/94;34,493
04/05/94;34,384
05/05/94;34,218
06/05/94;34,179
09/05/94;34,044
10/05/94;34,558
11/05/94;34,471
13/05/94;34,427
16/05/94;34,427
17/05/94;33,992
18/05/94;34,188
19/05/94;33,775
20/05/94;33,244
24/05/94;32,643
25/05/94;32,295
26/05/94;32,034
27/05/94;32,208
30/05/94;31,859
31/05/94;32,077
01/06/94;32,186
02/06/94;31,981
03/06/94;32,351
06/06/94;32,643
07/06/94;32,295
08/06/94;32,077
09/06/94;32,26
10/06/94;32,425
13/06/94;32,338
14/06/94;31,99
15/06/94;32,251
16/06/94;31,947
17/06/94;31,947
20/06/94;30,162
21/06/94;30,206
22/06/94;29,901
23/06/94;29,966
24/06/94;29,161
27/06/94;29,03
28/06/94;29,518
29/06/94;29,574
30/06/94;29,77
01/07/94;30,206
04/07/94;30,684
05/07/94;30,497
06/07/94;30,467
07/07/94;30,815
08/07/94;31,098
11/07/94;31,446
12/07/94;31,25
13/07/94;31,337
14/07/94;31,402
15/07/94;32,012
18/07/94;31,947
19/07/94;32,36
20/07/94;32,216
21/07/94;31,359
22/07/94;31,859
25/07/94;31,772
26/07/94;32,012
27/07/94;31,968
28/07/94;31,707
29/07/94;31,859
01/08/94;31,933
02/08/94;32,338
03/08/94;32,404
04/08/94;32,36
05/08/94;32,121
08/08/94;32,055
09/08/94;31,794
10/08/94;31,49
11/08/94;30,728
12/08/94;30,171
15/08/94;30,293
16/08/94;30,641
17/08/94;30,576
18/08/94;30,576
19/08/94;30,323
22/08/94;29,792
23/08/94;29,857
24/08/94;30,532
25/08/94;31,011
26/08/94;30,902
29/08/94;31,729
30/08/94;32,121
31/08/94;31,859
01/09/94;31,664
02/09/94;31,859
05/09/94;31,337
06/09/94;31,302
07/09/94;31,12
08/09/94;31,459
09/09/94;31,881
12/09/94;31,215
13/09/94;30,945
14/09/94;30,71
15/09/94;30,597
16/09/94;30,619
19/09/94;30,619
20/09/94;30,663
21/09/94;30,467
22/09/94;30,445
23/09/94;30,75
26/09/94;30,162
27/09/94;29,857
28/09/94;30,097
29/09/94;29,923
30/09/94;29,379
04/10/94;29,205
05/10/94;29,074
06/10/94;29,117
07/10/94;29,487
10/10/94;30,684
11/10/94;31,12
12/10/94;31,011
13/10/94;30,945
14/10/94;31,424
17/10/94;30,989
18/10/94;31,402
19/10/94;31,468
20/10/94;32,121
21/10/94;31,555
24/10/94;31,694
25/10/94;30,993
26/10/94;31,272
27/10/94;31,185
28/10/94;31,511
31/10/94;32,273
01/11/94;32,142
02/11/94;31,729
03/11/94;32,099
04/11/94;32,273
07/11/94;32,034
08/11/94;32,099
09/11/94;32,795
10/11/94;32,586
11/11/94;32,717
14/11/94;32,839
15/11/94;33,122
17/11/94;32,961
18/11/94;32,926
21/11/94;33,056
22/11/94;32,425
23/11/94;31,455
24/11/94;32,112
25/11/94;32,108
28/11/94;32,26
29/11/94;32,208
30/11/94;32,229
01/12/94;32,382
02/12/94;32,164
05/12/94;32,686
06/12/94;32,112
07/12/94;32,012
08/12/94;31,751
09/12/94;31,468
12/12/94;31,381
13/12/94;30,75
14/12/94;31,041
15/12/94;31,25
16/12/94;31,22
19/12/94;31,337
20/12/94;31,381
21/12/94;31,546
22/12/94;31,642
23/12/94;31,459
27/12/94;31,49
28/12/94;31,62
29/12/94;31,228
30/12/94;31,337
02/01/95;30,959
03/01/95;31,12
04/01/95;31,141
05/01/95;30,967
06/01/95;30,858
