Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
02/01/02;22,84532132;47575;10388;1,2333;49352,4986;40193;878029
03/01/02;22,84532132;47575;10388;1,2434;49352,4986;40193;878029
04/01/02;22,84532132;47575;10388;1,2743;49352,4986;40193;878029
07/01/02;22,84532132;47575;10388;1,2488;49352,4986;40193;878029
08/01/02;22,84532132;47575;10388;1,2232;49352,4986;40193;878029
09/01/02;22,84532132;47575;10388;1,2217;49352,4986;40193;878029
10/01/02;22,84532132;47575;10388;1,2163;49352,4986;40193;878029
11/01/02;22,84532132;47575;10388;1,2178;49352,4986;40193;878029
14/01/02;22,84532132;47575;10388;1,1835;49352,4986;40193;878029
15/01/02;22,84532132;47575;10388;1,1871;49352,4986;40193;878029
16/01/02;22,84532132;47575;10388;1,1598;49352,4986;40193;878029
17/01/02;22,84532132;47575;10388;1,2117;49352,4986;40193;878029
18/01/02;22,84532132;47575;10388;1,2067;49352,4986;40193;878029
21/01/02;22,84532132;47575;10388;1,183;49352,4986;40193;878029
22/01/02;22,84532132;47575;10388;1,1762;49352,4986;40193;878029
23/01/02;22,84532132;47575;10388;1,1861;49352,4986;40193;878029
24/01/02;22,84532132;47575;10388;1,1869;49352,4986;40193;878029
25/01/02;22,84532132;47575;10388;1,1622;49352,4986;40193;878029
28/01/02;22,84532132;47575;10388;1,1622;49352,4986;40193;878029
29/01/02;22,84532132;47575;10388;1,1328;49352,4986;40193;878029
30/01/02;22,84532132;47575;10388;1,0933;49352,4986;40193;878029
31/01/02;22,84532132;47575;10388;1,1153;49352,4986;40193;878029
01/02/02;22,84532132;47575;10388;1,1224;49352,4986;40193;878029
04/02/02;22,84532132;47575;10388;1,0794;49352,4986;40193;878029
05/02/02;22,84532132;47575;10388;1,0439;49352,4986;40193;878029
06/02/02;22,84532132;47575;10388;1,0313;49352,4986;40193;878029
07/02/02;22,84532132;47575;10388;1,0572;49352,4986;40193;878029
08/02/02;22,84532132;47575;10388;1,0395;49352,4986;40193;878029
11/02/02;22,84532132;47575;10388;1,0643;49352,4986;40193;878029
12/02/02;22,84532132;47575;10388;1,0483;49352,4986;40193;878029
13/02/02;22,84532132;47575;10388;1,0555;49352,4986;40193;878029
14/02/02;22,84532132;47575;10388;1,0862;49352,4986;40193;878029
15/02/02;22,84532132;47575;10388;1,0586;49352,4986;40193;878029
18/02/02;22,84532132;47575;10388;1,0493;49352,4986;40193;878029
19/02/02;22,84532132;47575;10388;0,9897;49352,4986;40193;878029
20/02/02;22,84532132;47575;10388;0,9866;49352,4986;40193;878029
21/02/02;22,84532132;47575;10388;1,0088;49352,4986;40193;878029
22/02/02;22,84532132;47575;10388;0,9967;49352,4986;40193;878029
25/02/02;22,84532132;47575;10388;1,0152;49352,4986;40193;878029
26/02/02;22,84532132;47575;10388;1,0299;49352,4986;40193;878029
27/02/02;22,84532132;47575;10388;1,0363;49352,4986;40193;878029
28/02/02;22,84532132;47575;10388;1,05;49352,4986;40193;878029
01/03/02;22,84532132;47575;10388;1,0655;49352,4986;40193;878029
04/03/02;22,84532132;47575;10388;1,1233;49352,4986;40193;878029
05/03/02;22,84532132;47575;10388;1,1212;49352,4986;40193;878029
06/03/02;22,84532132;47575;10388;1,1382;49352,4986;40193;878029
07/03/02;22,84532132;47575;10388;1,1289;49352,4986;40193;878029
08/03/02;22,84532132;47575;10388;1,1455;49352,4986;40193;878029
11/03/02;22,84532132;47575;10388;1,1442;49352,4986;40193;878029
12/03/02;22,84532132;47575;10388;1,1198;49352,4986;40193;878029
13/03/02;22,84532132;47575;10388;1,0941;49352,4986;40193;878029
14/03/02;22,84532132;47575;10388;1,0967;49352,4986;40193;878029
15/03/02;22,84532132;47575;10388;1,1212;49352,4986;40193;878029
18/03/02;22,84532132;47575;10388;1,1204;49352,4986;40193;878029
19/03/02;22,84532132;47575;10388;1,1475;49352,4986;40193;878029
20/03/02;22,84532132;47575;10388;1,1235;49352,4986;40193;878029
21/03/02;22,84532132;47575;10388;1,1104;49352,4986;40193;878029
22/03/02;22,84532132;47575;10388;1,1274;49352,4986;40193;878029
25/03/02;22,84532132;47575;10388;1,1297;49352,4986;40193;878029
26/03/02;22,84532132;47575;10388;1,1413;49352,4986;40193;878029
27/03/02;22,84532132;47575;10388;1,1359;49352,4986;40193;878029
28/03/02;22,766;36467;9901;1,0971;45958,7312;41891;908608
02/04/02;22,766;36467;9901;1,0946;45958,7312;41891;908608
03/04/02;22,766;36467;9901;1,0968;45958,7312;41891;908608
04/04/02;22,766;36467;9901;1,0832;45958,7312;41891;908608
05/04/02;22,766;36467;9901;1,0743;45958,7312;41891;908608
08/04/02;22,766;36467;9901;1,0475;45958,7312;41891;908608
09/04/02;22,766;36467;9901;1,0336;45958,7312;41891;908608
10/04/02;22,766;36467;9901;1,0609;45958,7312;41891;908608
11/04/02;22,766;36467;9901;1,0378;45958,7312;41891;908608
12/04/02;22,766;36467;9901;1,0275;45958,7312;41891;908608
15/04/02;22,766;36467;9901;1,0379;45958,7312;41891;908608
16/04/02;22,766;36467;9901;1,0695;45958,7312;41891;908608
17/04/02;22,766;36467;9901;1,0836;45958,7312;41891;908608
18/04/02;22,766;36467;9901;1,0772;45958,7312;41891;908608
19/04/02;22,766;36467;9901;1,0864;45958,7312;41891;908608
22/04/02;22,766;36467;9901;1,0821;45958,7312;41891;908608
23/04/02;22,766;36467;9901;1,08;45958,7312;41891;908608
24/04/02;22,766;36467;9901;1,0713;45958,7312;41891;908608
25/04/02;22,766;36467;9901;1,0372;45958,7312;41891;908608
26/04/02;22,766;36467;9901;1,0646;45958,7312;41891;908608
29/04/02;22,766;36467;9901;1,057;45958,7312;41891;908608
30/04/02;22,766;36467;9901;1,0921;45958,7312;41891;908608
02/05/02;22,766;36467;9901;1,1054;45958,7312;41891;908608
