Year,Quarter,MVA,DELTA_MVA
2002,2,1045810.5070127273,-0.07134829159305843
2002,3,1010483.2570544624,-0.03377978106107797
2002,4,707384.9147390213,-0.29995384901177524
2003,1,697438.4673117127,-0.014060870143065236
2003,2,633048.0887139005,-0.092324099710195
2003,3,914914.3630180996,0.4452525476806005
2003,4,878046.8459885136,-0.04029613974795221
2004,1,1101480.3442291187,0.2544664891872159
2004,2,1163122.0349665373,0.05596258803924378
2004,3,1087499.5580992461,-0.06501680356306445
2004,4,996692.688262439,-0.0835006038949765
2005,1,1093239.9629449619,0.09686764618574288
2005,2,1202433.9831749098,0.09988110929992161
2005,3,1031093.9957367806,-0.14249429892668428
2005,4,1223638.9007130244,0.18673846009418238
2006,1,1357472.453388697,0.10937340468473719
2006,2,1426534.59377146,0.05087553726070921
2006,3,1400680.2040861587,-0.01812391357222381
2006,4,1671261.840735623,0.1931787397723658
2007,1,2136176.9930195296,0.2781821142276961
2007,2,2451965.068973259,0.1478286101693084
2007,3,2714972.685991126,0.10726401462480842
2007,4,2355531.690929142,-0.13239212199689848
2008,1,2365456.4008396175,0.004213362931475075
2008,2,2181800.881969566,-0.07764062732454635
2008,3,1786173.941450177,-0.1813304521915156
2008,4,1657638.956212999,-0.07196106843481416
2009,1,1037941.6985350273,-0.37384332417821353
2009,2,1283072.0943160707,0.2361697156275979
2009,3,1508891.882086536,0.17599929791227853
2009,4,1611670.682743682,0.06811541759706526
2010,1,1362205.217979948,-0.1547868726749115
2010,2,1476330.8615478184,0.08378006636702688
2010,3,1285935.8618662315,-0.128964993309137
2010,4,1208429.9001469854,-0.06027202756968342
2011,1,1587611.0977127783,0.313780052545598
2011,2,1460038.2398312734,-0.08035523187340718
2011,3,1361049.1930748415,-0.06779894118928789
2011,4,957092.1634320464,-0.2967982580630958
2012,1,1128626.3094027261,0.1792242717311295
2012,2,1353348.328924137,0.1991110943004108
2012,3,1027832.4590608939,-0.24052630273095799
2012,4,1126503.2678406816,0.09599892269401661
2013,1,1160665.760294225,0.030326137019582068
2013,2,1048172.1283660891,-0.09692164254041509
2013,3,1146168.6950584808,0.09349281863194617
2013,4,1122213.741563526,-0.020900024227003166
2014,1,1078948.7124012562,-0.038553287631276655
2014,2,973423.6659419516,-0.09780357976835913
2014,3,972236.4646996694,-0.0012196141144086058
2014,4,980379.8977197907,0.008375979831857948
2015,1,878566.2091490721,-0.10385126093213584
2015,2,1149633.3576051744,0.3085335466277973
2015,3,959610.2103640551,-0.1652902170801311
2015,4,839338.0634469243,-0.1253343759978358
2016,1,822343.3915384441,-0.02024770786479993
2016,2,552593.8861704548,-0.32802538227168165
2016,3,484731.9711963806,-0.1228061270173758
