Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
02/01/03;39,50982163;120578;2198;1,6366;13741,728;8858;341120
03/01/03;39,50982163;120578;2198;1,5605;13741,728;8858;341120
06/01/03;39,50982163;120578;2198;1,5671;13741,728;8858;341120
07/01/03;39,50982163;120578;2198;1,5369;13741,728;8858;341120
08/01/03;39,50982163;120578;2198;1,4884;13741,728;8858;341120
09/01/03;39,50982163;120578;2198;1,5277;13741,728;8858;341120
10/01/03;39,50982163;120578;2198;1,5067;13741,728;8858;341120
13/01/03;39,50982163;120578;2198;1,5474;13741,728;8858;341120
14/01/03;39,50982163;120578;2198;1,5461;13741,728;8858;341120
15/01/03;39,50982163;120578;2198;1,5081;13741,728;8858;341120
16/01/03;39,50982163;120578;2198;1,47;13741,728;8858;341120
17/01/03;39,50982163;120578;2198;1,4268;13741,728;8858;341120
20/01/03;39,50982163;120578;2198;1,4163;13741,728;8858;341120
21/01/03;39,50982163;120578;2198;1,4058;13741,728;8858;341120
22/01/03;39,50982163;120578;2198;1,3402;13741,728;8858;341120
23/01/03;39,50982163;120578;2198;1,3481;13741,728;8858;341120
24/01/03;39,50982163;120578;2198;1,3192;13741,728;8858;341120
27/01/03;39,50982163;120578;2198;1,3258;13741,728;8858;341120
28/01/03;39,50982163;120578;2198;1,3114;13741,728;8858;341120
29/01/03;39,50982163;120578;2198;1,31;13741,728;8858;341120
30/01/03;39,50982163;120578;2198;1,3507;13741,728;8858;341120
31/01/03;39,50982163;120578;2198;1,4032;13741,728;8858;341120
03/02/03;39,50982163;120578;2198;1,4058;13741,728;8858;341120
04/02/03;39,50982163;120578;2198;1,3546;13741,728;8858;341120
05/02/03;39,50982163;120578;2198;1,3468;13741,728;8858;341120
06/02/03;39,50982163;120578;2198;1,3218;13741,728;8858;341120
07/02/03;39,50982163;120578;2198;1,276;13741,728;8858;341120
10/02/03;39,50982163;120578;2198;1,2641;13741,728;8858;341120
11/02/03;39,50982163;120578;2198;1,2812;13741,728;8858;341120
12/02/03;39,50982163;120578;2198;1,2353;13741,728;8858;341120
13/02/03;39,50982163;120578;2198;1,1999;13741,728;8858;341120
14/02/03;39,50982163;120578;2198;1,2196;13741,728;8858;341120
17/02/03;39,50982163;120578;2198;1,2353;13741,728;8858;341120
18/02/03;39,50982163;120578;2198;1,2589;13741,728;8858;341120
19/02/03;39,50982163;120578;2198;1,2379;13741,728;8858;341120
20/02/03;39,50982163;120578;2198;1,2379;13741,728;8858;341120
21/02/03;39,50982163;120578;2198;1,2301;13741,728;8858;341120
24/02/03;39,50982163;120578;2198;1,154;13741,728;8858;341120
25/02/03;39,50982163;120578;2198;1,1133;13741,728;8858;341120
26/02/03;39,50982163;120578;2198;1,0884;13741,728;8858;341120
27/02/03;39,50982163;120578;2198;1,091;13741,728;8858;341120
28/02/03;39,50982163;120578;2198;1,1107;13741,728;8858;341120
03/03/03;39,50982163;120578;2198;1,1055;13741,728;8858;341120
04/03/03;39,50982163;120578;2198;1,0727;13741,728;8858;341120
05/03/03;39,50982163;120578;2198;1,0635;13741,728;8858;341120
