Year,Quarter,MVA,DELTA_MVA
2003,2,349977.99999853986,1.6631805688846232e-16
2003,3,349977.99999853974,-3.326361137769246e-16
2003,4,349979.88759770774,5.393479498722668e-06
2004,1,348978.00000410003,-0.002862700483975672
2004,2,348978.00000410003,0.0
2004,3,348978.00000410003,0.0
2004,4,348978.00000410003,0.0
2005,1,348978.00000410003,0.0
2005,2,348978.00000410003,0.0
2005,3,348978.00000410003,0.0
2005,4,348978.00000410003,0.0
2006,1,348978.00000410003,0.0
2006,2,348978.00000410003,0.0
2006,3,348978.00000410003,0.0
2006,4,348978.00000410003,0.0
2007,1,348978.00000410003,0.0
2007,2,352980.01299441024,0.011467808831110236
2007,3,575610.0000372604,0.6307155613549589
2007,4,575610.0000372604,0.0
2008,1,575610.0000372605,2.022468717002815e-16
2008,2,581086.2756617775,0.009513864637797312
2008,3,621313.9999894806,0.06922848811373022
2008,4,619963.8045174052,-0.0021731290009531913
2009,1,398516.83080000064,-0.35719339113641363
2009,2,404630.89915894956,0.015342058067347529
2009,3,808436.1318999991,0.9979594578179368
2009,4,808436.6074085198,5.881831624860223e-07
2010,1,682400.6946000005,-0.15590079871881748
2010,2,679609.5496116406,-0.004090184858319869
2010,3,507489.0893999995,-0.2532637457934464
2010,4,509333.0582285348,0.0036335142312428
2011,1,634855.2739999997,0.24644427402382318
2011,2,632216.7785637438,-0.004156058151067573
2011,3,473991.38849999994,-0.25027078595287655
2011,4,477257.34907099593,0.006890337356827291
2012,1,-381116.4530000003,-1.7985554412977853
2012,2,-383553.3368709681,0.006394066306467693
2012,3,-532203.2530000005,0.3875599606086597
2012,4,-1471378.1385831058,1.7646921176994468
2013,1,64464510.9243999,-44.812334323845086
2013,2,63535547.79690743,-0.014410458005054862
2013,3,315093.7607999998,-0.9950406698025616
2013,4,314233.3541955565,-0.0027306367547831434
2014,1,248691.26080000028,-0.20857777355731458
2014,2,248467.1609398546,-0.0009011167478293674
2014,3,234106.20000000016,-0.057798225268613015
2014,4,233866.23457990744,-0.001025028043224476
2015,1,208388.60580000002,-0.10894103129369119
2015,2,209388.53101186265,0.004798367972298377
2015,3,272287.6529999997,0.3003943037576092
2015,4,272239.74351907667,-0.00017595172015761622
2016,1,257423.90730000022,-0.05442201798885494
2016,2,256551.02587067478,-0.00339083280368435
