Date;FNCL_LVRG;BS_ST_BORROW;BS_CASH_NEAR_CASH_ITEM;PX_TO_BOOK_RATIO;HISTORICAL_MARKET_CAP;TOT_COMMON_EQY;BS_TOT_LIAB2
30/06/04;31,272;34743;724;1,1207;4859,32;4336;135640
01/07/04;31,272;34743;724;1,1256;4859,32;4336;135640
02/07/04;31,272;34743;724;1,1245;4859,32;4336;135640
05/07/04;31,272;34743;724;1,123;4859,32;4336;135640
06/07/04;31,272;34743;724;1,1196;4859,32;4336;135640
07/07/04;31,272;34743;724;1,1143;4859,32;4336;135640
08/07/04;31,272;34743;724;1,112;4859,32;4336;135640
09/07/04;31,272;34743;724;1,1044;4859,32;4336;135640
12/07/04;31,272;34743;724;1,0946;4859,32;4336;135640
13/07/04;31,272;34743;724;1,1022;4859,32;4336;135640
14/07/04;31,272;34743;724;1,0969;4859,32;4336;135640
15/07/04;31,272;34743;724;1,0893;4859,32;4336;135640
16/07/04;31,272;34743;724;1,0912;4859,32;4336;135640
19/07/04;31,272;34743;724;1,0727;4859,32;4336;135640
20/07/04;31,272;34743;724;1,0795;4859,32;4336;135640
21/07/04;31,272;34743;724;1,0795;4859,32;4336;135640
22/07/04;31,272;34743;724;1,0764;4859,32;4336;135640
23/07/04;31,272;34743;724;1,0783;4859,32;4336;135640
26/07/04;31,272;34743;724;1,0761;4859,32;4336;135640
27/07/04;31,272;34743;724;1,0874;4859,32;4336;135640
28/07/04;31,272;34743;724;1,078;4859,32;4336;135640
29/07/04;31,272;34743;724;1,0912;4859,32;4336;135640
30/07/04;31,272;34743;724;1,0855;4859,32;4336;135640
02/08/04;31,272;34743;724;1,0912;4859,32;4336;135640
03/08/04;31,272;34743;724;1,0931;4859,32;4336;135640
04/08/04;31,272;34743;724;1,0893;4859,32;4336;135640
05/08/04;31,272;34743;724;1,0893;4859,32;4336;135640
06/08/04;31,272;34743;724;1,0798;4859,32;4336;135640
09/08/04;31,272;34743;724;1,059;4859,32;4336;135640
10/08/04;31,272;34743;724;1,0598;4859,32;4336;135640
11/08/04;31,272;34743;724;1,0571;4859,32;4336;135640
12/08/04;31,272;34743;724;1,0658;4859,32;4336;135640
13/08/04;31,272;34743;724;1,0772;4859,32;4336;135640
16/08/04;31,272;34743;724;1,087;4859,32;4336;135640
17/08/04;31,272;34743;724;1,095;4859,32;4336;135640
18/08/04;31,272;34743;724;1,095;4859,32;4336;135640
19/08/04;31,272;34743;724;1,095;4859,32;4336;135640
20/08/04;31,272;34743;724;1,0969;4859,32;4336;135640
23/08/04;31,272;34743;724;1,1006;4859,32;4336;135640
24/08/04;31,272;34743;724;1,095;4859,32;4336;135640
25/08/04;31,272;34743;724;1,0923;4859,32;4336;135640
26/08/04;31,272;34743;724;1,095;4859,32;4336;135640
27/08/04;31,272;34743;724;1,0988;4859,32;4336;135640
30/08/04;31,272;34743;724;1,0999;4859,32;4336;135640
31/08/04;31,272;34743;724;1,1006;4859,32;4336;135640
01/09/04;31,272;34743;724;1,0942;4859,32;4336;135640
02/09/04;31,272;34743;724;1,0969;4859,32;4336;135640
03/09/04;31,272;34743;724;1,0912;4859,32;4336;135640
06/09/04;31,272;34743;724;1,1037;4859,32;4336;135640
07/09/04;31,272;34743;724;1,1233;4859,32;4336;135640
08/09/04;31,272;34743;724;1,1385;4859,32;4336;135640
09/09/04;31,272;34743;724;1,1347;4859,32;4336;135640
10/09/04;31,272;34743;724;1,1347;4859,32;4336;135640
13/09/04;31,272;34743;724;1,1309;4859,32;4336;135640
14/09/04;31,272;34743;724;1,1366;4859,32;4336;135640
15/09/04;31,272;34743;724;1,1574;4859,32;4336;135640
16/09/04;31,272;34743;724;1,1744;4859,32;4336;135640
17/09/04;31,272;34743;724;1,174;4859,32;4336;135640
20/09/04;31,272;34743;724;1,1642;4859,32;4336;135640
21/09/04;31,272;34743;724;1,1744;4859,32;4336;135640
22/09/04;31,272;34743;724;1,1736;4859,32;4336;135640
23/09/04;31,272;34743;724;1,1668;4859,32;4336;135640
24/09/04;31,272;34743;724;1,1631;4859,32;4336;135640
27/09/04;31,272;34743;724;1,1634;4859,32;4336;135640
28/09/04;31,272;34743;724;1,1767;4859,32;4336;135640
29/09/04;31,272;34743;724;1,1823;4859,32;4336;135640
30/09/04;30,9289;24396;707;1,1447;5143,04;4493;128574
01/10/04;30,9289;24396;707;1,1662;5143,04;4493;128574
04/10/04;30,9289;24396;707;1,1699;5143,04;4493;128574
05/10/04;30,9289;24396;707;1,1607;5143,04;4493;128574
06/10/04;30,9289;24396;707;1,1644;5143,04;4493;128574
07/10/04;30,9289;24396;707;1,1607;5143,04;4493;128574
08/10/04;30,9289;24396;707;1,1644;5143,04;4493;128574
11/10/04;30,9289;24396;707;1,1644;5143,04;4493;128574
12/10/04;30,9289;24396;707;1,1644;5143,04;4493;128574
