Year,Quarter,MVA,DELTA_MVA
2004,3,135647.22845814956,0.0003822877561323751
2004,4,138905.20454804666,0.024018007053511335
2005,1,134438.2191752342,-0.03215851693496012
2005,2,130137.78334523075,-0.031988193955455664
2005,3,133029.05230066561,0.022216983270453253
2005,4,137801.83279040514,0.03587773051973884
2006,1,137180.51321420103,-0.004508790366737236
2006,2,163390.0436651667,0.19105869949648546
2006,3,174385.46623235516,0.0672955482509157
2006,4,189935.10488150673,0.08916820297646182
2007,1,187139.88387055678,-0.014716716073596764
2007,2,188168.85217151305,0.005498391255110545
2007,3,187761.40044700596,-0.0021653515967440945
2007,4,196140.46414461525,0.04462612484600749
2008,1,196197.68321519232,0.0002917249677500242
2008,2,202971.0998491701,0.034523428222894004
2008,3,212661.4156453165,0.04774234264556567
2008,4,206153.37641129014,-0.03060282098789693
2009,1,259570.96079667422,0.25911573855968445
2009,2,236409.45601082206,-0.0892299535925165
2009,3,239497.4001256885,0.013061846877753814
2009,4,244590.2334402115,0.021264670563648246
2010,1,232400.16470723072,-0.049838738699926735
2010,2,237042.24175432103,0.01997449981560137
2010,3,241259.63210883827,0.017791724898080775
2010,4,241594.9169920657,0.0013897264133942505
2011,1,221180.1778745115,-0.08449987016169161
2011,2,214559.4171964475,-0.02993378855957127
2011,3,204769.0755314969,-0.0456299788323283
2011,4,196756.2789956055,-0.039130891786728274
2012,1,198349.82122963291,0.00809906673455133
2012,2,203832.68447434928,0.027642390654684615
2012,3,204655.87981931333,0.004038583640729291
2012,4,197638.91694068693,-0.03428664197100778
2013,1,190760.78760952153,-0.03480149273045037
2013,2,176445.8217856388,-0.0750414485244462
2013,3,167127.19165824162,-0.05281298266568332
2013,4,166729.80655983332,-0.0023777405368057
2014,1,170196.0466958429,0.020789564910612873
2014,2,160322.71758457337,-0.058011506747357895
2014,3,161965.35655188223,0.01024582786555082
2014,4,157534.74725483864,-0.027355289991439203
2015,1,154885.5995253969,-0.01681627561922145
2015,2,157678.11083795538,0.018029509012557343
2015,3,152478.38659145992,-0.03297682994083548
2015,4,155164.05839999995,0.017613458986392865
