Date;PX_LAST
23/06/04;28,81
24/06/04;29,15
25/06/04;29,48
28/06/04;29,48
29/06/04;29,93
30/06/04;29,63
01/07/04;29,76
02/07/04;29,73
05/07/04;29,69
06/07/04;29,6
07/07/04;29,46
08/07/04;29,4
09/07/04;29,2
12/07/04;28,94
13/07/04;29,14
14/07/04;29
15/07/04;28,8
16/07/04;28,85
19/07/04;28,36
20/07/04;28,54
21/07/04;28,54
22/07/04;28,46
23/07/04;28,51
26/07/04;28,45
27/07/04;28,75
28/07/04;28,5
29/07/04;28,85
30/07/04;28,7
02/08/04;28,85
03/08/04;28,9
04/08/04;28,8
05/08/04;28,8
06/08/04;28,55
09/08/04;28
10/08/04;28,02
11/08/04;27,95
12/08/04;28,18
13/08/04;28,48
16/08/04;28,74
17/08/04;28,95
18/08/04;28,95
19/08/04;28,95
20/08/04;29
23/08/04;29,1
24/08/04;28,95
25/08/04;28,88
26/08/04;28,95
27/08/04;29,05
30/08/04;29,08
31/08/04;29,1
01/09/04;28,93
02/09/04;29
03/09/04;28,85
06/09/04;29,18
07/09/04;29,7
08/09/04;30,1
09/09/04;30
10/09/04;30
13/09/04;29,9
14/09/04;30,05
15/09/04;30,6
16/09/04;31,05
17/09/04;31,04
20/09/04;30,78
21/09/04;31,05
22/09/04;31,03
23/09/04;30,85
24/09/04;30,75
27/09/04;30,76
28/09/04;31,11
29/09/04;31,26
30/09/04;31,36
01/10/04;31,95
04/10/04;32,05
05/10/04;31,8
06/10/04;31,9
07/10/04;31,8
08/10/04;31,9
11/10/04;31,9
12/10/04;31,9
13/10/04;32,1
14/10/04;31,85
15/10/04;31,4
18/10/04;30,65
19/10/04;31,3
20/10/04;31,55
21/10/04;31,4
22/10/04;31,3
25/10/04;30,9
26/10/04;31
27/10/04;31,3
28/10/04;31,23
29/10/04;31,15
01/11/04;31,35
02/11/04;31,4
03/11/04;31,95
04/11/04;32,24
05/11/04;32,7
08/11/04;32,7
09/11/04;33
10/11/04;33,65
11/11/04;33
12/11/04;32,7
15/11/04;33
